iterations,accuracy,syllable
0,0.39,[V]
0,0.17,[VC]
0,1.0,[CV]
0,0.22,[VCC]
0,0.37,[CVC]
0,0.28,[CCV]
0,0.26,[CVCC]
0,0.21,[CCVC]
0,0.11,[CCVCC]
100,0.46,[V]
100,0.42,[VC]
100,1.0,[CV]
100,0.4,[VCC]
100,0.65,[CVC]
100,0.41,[CCV]
100,0.47,[CVCC]
100,0.52,[CCVC]
100,0.27,[CCVCC]
200,0.66,[V]
200,0.69,[VC]
200,1.0,[CV]
200,0.65,[VCC]
200,0.74,[CVC]
200,0.64,[CCV]
200,0.6,[CVCC]
200,0.53,[CCVC]
200,0.43,[CCVCC]
300,0.78,[V]
300,0.74,[VC]
300,1.0,[CV]
300,0.65,[VCC]
300,0.9,[CVC]
300,0.72,[CCV]
300,0.69,[CVCC]
300,0.74,[CCVC]
300,0.48,[CCVCC]
400,0.78,[V]
400,0.77,[VC]
400,1.0,[CV]
400,0.71,[VCC]
400,0.85,[CVC]
400,0.71,[CCV]
400,0.73,[CVCC]
400,0.68,[CCVC]
400,0.49,[CCVCC]
500,0.83,[V]
500,0.85,[VC]
500,1.0,[CV]
500,0.8,[VCC]
500,0.94,[CVC]
500,0.77,[CCV]
500,0.7,[CVCC]
500,0.84,[CCVC]
500,0.66,[CCVCC]
600,0.86,[V]
600,0.9,[VC]
600,1.0,[CV]
600,0.84,[VCC]
600,0.97,[CVC]
600,0.83,[CCV]
600,0.76,[CVCC]
600,0.78,[CCVC]
600,0.63,[CCVCC]
700,0.95,[V]
700,0.92,[VC]
700,1.0,[CV]
700,0.89,[VCC]
700,1.0,[CVC]
700,0.82,[CCV]
700,0.87,[CVCC]
700,0.84,[CCVC]
700,0.67,[CCVCC]
800,0.91,[V]
800,0.96,[VC]
800,1.0,[CV]
800,0.89,[VCC]
800,0.99,[CVC]
800,0.79,[CCV]
800,0.93,[CVCC]
800,0.76,[CCVC]
800,0.72,[CCVCC]
900,0.94,[V]
900,0.97,[VC]
900,1.0,[CV]
900,0.91,[VCC]
900,0.98,[CVC]
900,0.87,[CCV]
900,0.86,[CVCC]
900,0.9,[CCVC]
900,0.78,[CCVCC]
1000,0.932,[V]
1000,0.969,[VC]
1000,1.0,[CV]
1000,0.904,[VCC]
1000,0.987,[CVC]
1000,0.868,[CCV]
1000,0.909,[CVCC]
1000,0.861,[CCVC]
1000,0.788,[CCVCC]
