iterations,accuracy,syllable
0,0.29,[V]
0,0.15,[VC]
0,1.0,[CV]
0,0.05,[VCC]
0,0.45,[CVC]
0,0.39,[CCV]
0,0.17,[CVCC]
0,0.1,[CCVC]
0,0.05,[CCVCC]
100,0.7,[V]
100,0.69,[VC]
100,1.0,[CV]
100,0.47,[VCC]
100,0.89,[CVC]
100,0.61,[CCV]
100,0.56,[CVCC]
100,0.59,[CCVC]
100,0.41,[CCVCC]
200,0.73,[V]
200,0.83,[VC]
200,1.0,[CV]
200,0.65,[VCC]
200,0.96,[CVC]
200,0.69,[CCV]
200,0.76,[CVCC]
200,0.65,[CCVC]
200,0.5,[CCVCC]
300,0.87,[V]
300,0.83,[VC]
300,1.0,[CV]
300,0.68,[VCC]
300,0.94,[CVC]
300,0.87,[CCV]
300,0.75,[CVCC]
300,0.78,[CCVC]
300,0.58,[CCVCC]
400,0.87,[V]
400,0.89,[VC]
400,1.0,[CV]
400,0.8,[VCC]
400,0.99,[CVC]
400,0.85,[CCV]
400,0.86,[CVCC]
400,0.85,[CCVC]
400,0.77,[CCVCC]
500,0.91,[V]
500,0.91,[VC]
500,1.0,[CV]
500,0.79,[VCC]
500,0.99,[CVC]
500,0.84,[CCV]
500,0.84,[CVCC]
500,0.84,[CCVC]
500,0.74,[CCVCC]
600,0.92,[V]
600,0.94,[VC]
600,1.0,[CV]
600,0.83,[VCC]
600,0.98,[CVC]
600,0.89,[CCV]
600,0.91,[CVCC]
600,0.86,[CCVC]
600,0.77,[CCVCC]
700,0.96,[V]
700,0.95,[VC]
700,1.0,[CV]
700,0.86,[VCC]
700,0.98,[CVC]
700,0.89,[CCV]
700,0.91,[CVCC]
700,0.86,[CCVC]
700,0.78,[CCVCC]
800,0.93,[V]
800,0.97,[VC]
800,1.0,[CV]
800,0.85,[VCC]
800,1.0,[CVC]
800,0.96,[CCV]
800,0.89,[CVCC]
800,0.93,[CCVC]
800,0.87,[CCVCC]
900,0.93,[V]
900,0.98,[VC]
900,1.0,[CV]
900,0.88,[VCC]
900,0.99,[CVC]
900,0.91,[CCV]
900,0.93,[CVCC]
900,0.89,[CCVC]
900,0.92,[CCVCC]
1000,0.975,[V]
1000,0.976,[VC]
1000,1.0,[CV]
1000,0.89,[VCC]
1000,0.996,[CVC]
1000,0.935,[CCV]
1000,0.934,[CVCC]
1000,0.946,[CCVC]
1000,0.901,[CCVCC]
