iterations,accuracy,syllable
0,0.29,[V]
0,0.15,[VC]
0,1.0,[CV]
0,0.07,[VCC]
0,0.29,[CVC]
0,0.27,[CCV]
0,0.14,[CVCC]
0,0.14,[CCVC]
0,0.11,[CCVCC]
100,0.45,[V]
100,0.24,[VC]
100,1.0,[CV]
100,0.21,[VCC]
100,0.46,[CVC]
100,0.37,[CCV]
100,0.25,[CVCC]
100,0.25,[CCVC]
100,0.11,[CCVCC]
200,0.5,[V]
200,0.49,[VC]
200,1.0,[CV]
200,0.28,[VCC]
200,0.75,[CVC]
200,0.4,[CCV]
200,0.53,[CVCC]
200,0.42,[CCVC]
200,0.24,[CCVCC]
300,0.64,[V]
300,0.69,[VC]
300,1.0,[CV]
300,0.4,[VCC]
300,0.92,[CVC]
300,0.56,[CCV]
300,0.55,[CVCC]
300,0.53,[CCVC]
300,0.34,[CCVCC]
400,0.67,[V]
400,0.62,[VC]
400,1.0,[CV]
400,0.49,[VCC]
400,0.91,[CVC]
400,0.59,[CCV]
400,0.61,[CVCC]
400,0.51,[CCVC]
400,0.52,[CCVCC]
500,0.7,[V]
500,0.8,[VC]
500,1.0,[CV]
500,0.51,[VCC]
500,0.97,[CVC]
500,0.73,[CCV]
500,0.62,[CVCC]
500,0.69,[CCVC]
500,0.52,[CCVCC]
600,0.8,[V]
600,0.72,[VC]
600,1.0,[CV]
600,0.58,[VCC]
600,0.97,[CVC]
600,0.76,[CCV]
600,0.65,[CVCC]
600,0.67,[CCVC]
600,0.54,[CCVCC]
700,0.8,[V]
700,0.83,[VC]
700,1.0,[CV]
700,0.6,[VCC]
700,0.97,[CVC]
700,0.82,[CCV]
700,0.77,[CVCC]
700,0.81,[CCVC]
700,0.58,[CCVCC]
800,0.93,[V]
800,0.93,[VC]
800,1.0,[CV]
800,0.79,[VCC]
800,0.97,[CVC]
800,0.73,[CCV]
800,0.79,[CVCC]
800,0.75,[CCVC]
800,0.55,[CCVCC]
900,0.87,[V]
900,0.88,[VC]
900,1.0,[CV]
900,0.85,[VCC]
900,0.97,[CVC]
900,0.77,[CCV]
900,0.83,[CVCC]
900,0.8,[CCVC]
900,0.7,[CCVCC]
1000,0.939,[V]
1000,0.938,[VC]
1000,1.0,[CV]
1000,0.772,[VCC]
1000,0.983,[CVC]
1000,0.839,[CCV]
1000,0.835,[CVCC]
1000,0.829,[CCVC]
1000,0.695,[CCVCC]
