iterations,accuracy,syllable
0,0.31,[V]
0,0.18,[VC]
0,1.0,[CV]
0,0.22,[VCC]
0,0.31,[CVC]
0,0.34,[CCV]
0,0.26,[CVCC]
0,0.24,[CCVC]
0,0.09,[CCVCC]
100,0.65,[V]
100,0.7,[VC]
100,1.0,[CV]
100,0.58,[VCC]
100,0.73,[CVC]
100,0.6,[CCV]
100,0.71,[CVCC]
100,0.56,[CCVC]
100,0.41,[CCVCC]
200,0.82,[V]
200,0.85,[VC]
200,1.0,[CV]
200,0.78,[VCC]
200,0.95,[CVC]
200,0.7,[CCV]
200,0.68,[CVCC]
200,0.68,[CCVC]
200,0.49,[CCVCC]
300,0.84,[V]
300,0.89,[VC]
300,1.0,[CV]
300,0.84,[VCC]
300,0.97,[CVC]
300,0.71,[CCV]
300,0.78,[CVCC]
300,0.72,[CCVC]
300,0.65,[CCVCC]
400,0.88,[V]
400,0.91,[VC]
400,1.0,[CV]
400,0.9,[VCC]
400,0.96,[CVC]
400,0.86,[CCV]
400,0.9,[CVCC]
400,0.8,[CCVC]
400,0.74,[CCVCC]
500,0.9,[V]
500,0.95,[VC]
500,1.0,[CV]
500,0.87,[VCC]
500,0.97,[CVC]
500,0.83,[CCV]
500,0.98,[CVCC]
500,0.86,[CCVC]
500,0.81,[CCVCC]
600,0.92,[V]
600,0.97,[VC]
600,1.0,[CV]
600,0.94,[VCC]
600,0.97,[CVC]
600,0.81,[CCV]
600,0.9,[CVCC]
600,0.82,[CCVC]
600,0.82,[CCVCC]
700,0.98,[V]
700,1.0,[VC]
700,1.0,[CV]
700,0.97,[VCC]
700,0.99,[CVC]
700,0.88,[CCV]
700,0.94,[CVCC]
700,0.89,[CCVC]
700,0.87,[CCVCC]
800,0.96,[V]
800,0.96,[VC]
800,1.0,[CV]
800,0.98,[VCC]
800,0.99,[CVC]
800,0.88,[CCV]
800,0.94,[CVCC]
800,0.89,[CCVC]
800,0.87,[CCVCC]
900,0.97,[V]
900,0.97,[VC]
900,1.0,[CV]
900,0.95,[VCC]
900,0.98,[CVC]
900,0.82,[CCV]
900,0.95,[CVCC]
900,0.96,[CCVC]
900,0.93,[CCVCC]
1000,0.966,[V]
1000,0.973,[VC]
1000,1.0,[CV]
1000,0.946,[VCC]
1000,0.994,[CVC]
1000,0.905,[CCV]
1000,0.945,[CVCC]
1000,0.909,[CCVC]
1000,0.875,[CCVCC]
