iterations,accuracy,syllable
0,0.35,[V]
0,0.2,[VC]
0,1.0,[CV]
0,0.23,[VCC]
0,0.33,[CVC]
0,0.38,[CCV]
0,0.21,[CVCC]
0,0.15,[CCVC]
0,0.12,[CCVCC]
100,0.57,[V]
100,0.45,[VC]
100,1.0,[CV]
100,0.51,[VCC]
100,0.66,[CVC]
100,0.41,[CCV]
100,0.41,[CVCC]
100,0.45,[CCVC]
100,0.22,[CCVCC]
200,0.66,[V]
200,0.74,[VC]
200,1.0,[CV]
200,0.66,[VCC]
200,0.89,[CVC]
200,0.44,[CCV]
200,0.51,[CVCC]
200,0.6,[CCVC]
200,0.38,[CCVCC]
300,0.83,[V]
300,0.84,[VC]
300,1.0,[CV]
300,0.74,[VCC]
300,0.94,[CVC]
300,0.54,[CCV]
300,0.67,[CVCC]
300,0.61,[CCVC]
300,0.43,[CCVCC]
400,0.88,[V]
400,0.91,[VC]
400,1.0,[CV]
400,0.84,[VCC]
400,1.0,[CVC]
400,0.72,[CCV]
400,0.77,[CVCC]
400,0.65,[CCVC]
400,0.59,[CCVCC]
500,0.85,[V]
500,0.94,[VC]
500,1.0,[CV]
500,0.83,[VCC]
500,0.97,[CVC]
500,0.7,[CCV]
500,0.78,[CVCC]
500,0.64,[CCVC]
500,0.58,[CCVCC]
600,0.89,[V]
600,0.98,[VC]
600,1.0,[CV]
600,0.94,[VCC]
600,0.99,[CVC]
600,0.67,[CCV]
600,0.82,[CVCC]
600,0.72,[CCVC]
600,0.74,[CCVCC]
700,0.97,[V]
700,0.93,[VC]
700,1.0,[CV]
700,0.86,[VCC]
700,0.98,[CVC]
700,0.77,[CCV]
700,0.84,[CVCC]
700,0.79,[CCVC]
700,0.68,[CCVCC]
800,0.94,[V]
800,0.98,[VC]
800,1.0,[CV]
800,0.95,[VCC]
800,0.99,[CVC]
800,0.79,[CCV]
800,0.91,[CVCC]
800,0.72,[CCVC]
800,0.7,[CCVCC]
900,0.99,[V]
900,0.96,[VC]
900,1.0,[CV]
900,0.89,[VCC]
900,1.0,[CVC]
900,0.73,[CCV]
900,0.89,[CVCC]
900,0.77,[CCVC]
900,0.73,[CCVCC]
1000,0.947,[V]
1000,0.974,[VC]
1000,1.0,[CV]
1000,0.902,[VCC]
1000,0.99,[CVC]
1000,0.842,[CCV]
1000,0.874,[CVCC]
1000,0.791,[CCVC]
1000,0.742,[CCVCC]
