iterations,accuracy,syllable
0,0.38,[V]
0,0.16,[VC]
0,1.0,[CV]
0,0.13,[VCC]
0,0.31,[CVC]
0,0.36,[CCV]
0,0.21,[CVCC]
0,0.15,[CCVC]
0,0.11,[CCVCC]
100,0.72,[V]
100,0.68,[VC]
100,1.0,[CV]
100,0.55,[VCC]
100,0.91,[CVC]
100,0.63,[CCV]
100,0.56,[CVCC]
100,0.57,[CCVC]
100,0.48,[CCVCC]
200,0.8,[V]
200,0.82,[VC]
200,1.0,[CV]
200,0.62,[VCC]
200,0.98,[CVC]
200,0.64,[CCV]
200,0.7,[CVCC]
200,0.53,[CCVC]
200,0.58,[CCVCC]
300,0.95,[V]
300,0.89,[VC]
300,1.0,[CV]
300,0.7,[VCC]
300,0.96,[CVC]
300,0.7,[CCV]
300,0.84,[CVCC]
300,0.67,[CCVC]
300,0.58,[CCVCC]
400,0.92,[V]
400,0.94,[VC]
400,1.0,[CV]
400,0.85,[VCC]
400,1.0,[CVC]
400,0.73,[CCV]
400,0.85,[CVCC]
400,0.81,[CCVC]
400,0.74,[CCVCC]
500,0.94,[V]
500,0.96,[VC]
500,1.0,[CV]
500,0.88,[VCC]
500,1.0,[CVC]
500,0.82,[CCV]
500,0.89,[CVCC]
500,0.71,[CCVC]
500,0.73,[CCVCC]
600,0.96,[V]
600,0.93,[VC]
600,1.0,[CV]
600,0.92,[VCC]
600,0.99,[CVC]
600,0.84,[CCV]
600,0.86,[CVCC]
600,0.79,[CCVC]
600,0.71,[CCVCC]
700,0.94,[V]
700,0.95,[VC]
700,1.0,[CV]
700,0.89,[VCC]
700,1.0,[CVC]
700,0.8,[CCV]
700,0.95,[CVCC]
700,0.86,[CCVC]
700,0.73,[CCVCC]
800,0.95,[V]
800,0.96,[VC]
800,1.0,[CV]
800,0.9,[VCC]
800,1.0,[CVC]
800,0.79,[CCV]
800,0.93,[CVCC]
800,0.88,[CCVC]
800,0.8,[CCVCC]
900,0.99,[V]
900,0.94,[VC]
900,1.0,[CV]
900,0.89,[VCC]
900,1.0,[CVC]
900,0.88,[CCV]
900,0.9,[CVCC]
900,0.91,[CCVC]
900,0.84,[CCVCC]
1000,0.974,[V]
1000,0.974,[VC]
1000,1.0,[CV]
1000,0.914,[VCC]
1000,0.999,[CVC]
1000,0.891,[CCV]
1000,0.922,[CVCC]
1000,0.877,[CCVC]
1000,0.829,[CCVCC]
