iterations,accuracy,syllable
0,0.3,[V]
0,0.19,[VC]
0,1.0,[CV]
0,0.07,[VCC]
0,0.32,[CVC]
0,0.36,[CCV]
0,0.2,[CVCC]
0,0.2,[CCVC]
0,0.1,[CCVCC]
100,0.4,[V]
100,0.21,[VC]
100,1.0,[CV]
100,0.2,[VCC]
100,0.5,[CVC]
100,0.45,[CCV]
100,0.22,[CVCC]
100,0.27,[CCVC]
100,0.18,[CCVCC]
200,0.51,[V]
200,0.57,[VC]
200,1.0,[CV]
200,0.38,[VCC]
200,0.76,[CVC]
200,0.53,[CCV]
200,0.49,[CVCC]
200,0.52,[CCVC]
200,0.36,[CCVCC]
300,0.6,[V]
300,0.55,[VC]
300,1.0,[CV]
300,0.59,[VCC]
300,0.94,[CVC]
300,0.69,[CCV]
300,0.64,[CVCC]
300,0.58,[CCVC]
300,0.41,[CCVCC]
400,0.95,[V]
400,0.84,[VC]
400,1.0,[CV]
400,0.74,[VCC]
400,0.95,[CVC]
400,0.77,[CCV]
400,0.8,[CVCC]
400,0.77,[CCVC]
400,0.63,[CCVCC]
500,0.9,[V]
500,0.9,[VC]
500,1.0,[CV]
500,0.74,[VCC]
500,0.99,[CVC]
500,0.81,[CCV]
500,0.88,[CVCC]
500,0.75,[CCVC]
500,0.73,[CCVCC]
600,0.92,[V]
600,0.93,[VC]
600,1.0,[CV]
600,0.87,[VCC]
600,0.99,[CVC]
600,0.81,[CCV]
600,0.92,[CVCC]
600,0.79,[CCVC]
600,0.82,[CCVCC]
700,0.92,[V]
700,0.91,[VC]
700,1.0,[CV]
700,0.86,[VCC]
700,1.0,[CVC]
700,0.87,[CCV]
700,0.89,[CVCC]
700,0.82,[CCVC]
700,0.79,[CCVCC]
800,0.93,[V]
800,0.95,[VC]
800,1.0,[CV]
800,0.9,[VCC]
800,1.0,[CVC]
800,0.86,[CCV]
800,0.93,[CVCC]
800,0.85,[CCVC]
800,0.81,[CCVCC]
900,0.95,[V]
900,0.97,[VC]
900,1.0,[CV]
900,0.91,[VCC]
900,0.99,[CVC]
900,0.87,[CCV]
900,0.94,[CVCC]
900,0.91,[CCVC]
900,0.82,[CCVCC]
1000,0.971,[V]
1000,0.964,[VC]
1000,1.0,[CV]
1000,0.907,[VCC]
1000,0.996,[CVC]
1000,0.88,[CCV]
1000,0.945,[CVCC]
1000,0.884,[CCVC]
1000,0.865,[CCVCC]
