iterations,accuracy,syllable
0,0.32,[V]
0,0.15,[VC]
0,1.0,[CV]
0,0.07,[VCC]
0,0.29,[CVC]
0,0.0,[CCV]
0,0.18,[CVCC]
0,0.0,[CCVC]
0,0.0,[CCVCC]
100,0.53,[V]
100,0.4,[VC]
100,1.0,[CV]
100,0.16,[VCC]
100,0.56,[CVC]
100,0.0,[CCV]
100,0.28,[CVCC]
100,0.0,[CCVC]
100,0.0,[CCVCC]
200,0.76,[V]
200,0.73,[VC]
200,1.0,[CV]
200,0.42,[VCC]
200,0.8,[CVC]
200,0.0,[CCV]
200,0.5,[CVCC]
200,0.0,[CCVC]
200,0.0,[CCVCC]
300,0.82,[V]
300,0.81,[VC]
300,1.0,[CV]
300,0.54,[VCC]
300,0.88,[CVC]
300,0.0,[CCV]
300,0.67,[CVCC]
300,0.0,[CCVC]
300,0.0,[CCVCC]
400,0.94,[V]
400,0.86,[VC]
400,1.0,[CV]
400,0.72,[VCC]
400,0.93,[CVC]
400,0.0,[CCV]
400,0.79,[CVCC]
400,0.0,[CCVC]
400,0.0,[CCVCC]
500,0.92,[V]
500,0.89,[VC]
500,1.0,[CV]
500,0.83,[VCC]
500,0.97,[CVC]
500,0.0,[CCV]
500,0.84,[CVCC]
500,0.0,[CCVC]
500,0.0,[CCVCC]
600,0.95,[V]
600,0.96,[VC]
600,1.0,[CV]
600,0.85,[VCC]
600,1.0,[CVC]
600,0.0,[CCV]
600,0.89,[CVCC]
600,0.0,[CCVC]
600,0.0,[CCVCC]
700,0.99,[V]
700,0.94,[VC]
700,1.0,[CV]
700,0.91,[VCC]
700,0.99,[CVC]
700,0.0,[CCV]
700,0.9,[CVCC]
700,0.0,[CCVC]
700,0.0,[CCVCC]
800,0.96,[V]
800,0.97,[VC]
800,1.0,[CV]
800,0.93,[VCC]
800,0.99,[CVC]
800,0.0,[CCV]
800,0.96,[CVCC]
800,0.0,[CCVC]
800,0.0,[CCVCC]
900,0.97,[V]
900,0.96,[VC]
900,1.0,[CV]
900,0.88,[VCC]
900,0.99,[CVC]
900,0.0,[CCV]
900,0.96,[CVCC]
900,0.0,[CCVC]
900,0.0,[CCVCC]
1000,0.988,[V]
1000,0.976,[VC]
1000,1.0,[CV]
1000,0.93,[VCC]
1000,0.989,[CVC]
1000,0.0,[CCV]
1000,0.959,[CVCC]
1000,0.0,[CCVC]
1000,0.0,[CCVCC]
