iterations,accuracy,syllable
0,0.27,[V]
0,0.23,[VC]
0,1.0,[CV]
0,0.05,[VCC]
0,0.28,[CVC]
0,0.33,[CCV]
0,0.18,[CVCC]
0,0.21,[CCVC]
0,0.09,[CCVCC]
0,0.33,[VV]
0,0.36,[CVV]
0,0.16,[VVC]
0,0.32,[VCV]
0,0.18,[CCVV]
0,0.1,[VVCC]
0,0.22,[VCVC]
0,0.22,[VCCV]
0,0.19,[CVVC]
0,1.0,[CVCV]
0,0.09,[CVVCC]
0,0.37,[CVCVC]
0,0.1,[CCVVC]
0,0.09,[VCVCC]
0,0.15,[VCCVC]
0,0.1,[VCCCV]
0,0.57,[CVCCV]
0,0.34,[CCVCV]
100,0.92,[V]
100,0.87,[VC]
100,1.0,[CV]
100,0.78,[VCC]
100,0.92,[CVC]
100,0.72,[CCV]
100,0.75,[CVCC]
100,0.7,[CCVC]
100,0.62,[CCVCC]
100,0.96,[VV]
100,0.93,[CVV]
100,0.91,[VVC]
100,0.93,[VCV]
100,0.67,[CCVV]
100,0.73,[VVCC]
100,0.86,[VCVC]
100,0.87,[VCCV]
100,0.9,[CVVC]
100,1.0,[CVCV]
100,0.68,[CVVCC]
100,0.91,[CVCVC]
100,0.7,[CCVVC]
100,0.64,[VCVCC]
100,0.88,[VCCVC]
100,0.79,[VCCCV]
100,0.96,[CVCCV]
100,0.83,[CCVCV]
200,0.94,[V]
200,0.95,[VC]
200,1.0,[CV]
200,0.77,[VCC]
200,0.95,[CVC]
200,0.73,[CCV]
200,0.78,[CVCC]
200,0.82,[CCVC]
200,0.76,[CCVCC]
200,0.98,[VV]
200,0.99,[CVV]
200,0.9,[VVC]
200,0.99,[VCV]
200,0.89,[CCVV]
200,0.72,[VVCC]
200,0.91,[VCVC]
200,0.96,[VCCV]
200,0.98,[CVVC]
200,1.0,[CVCV]
200,0.76,[CVVCC]
200,0.96,[CVCVC]
200,0.88,[CCVVC]
200,0.73,[VCVCC]
200,0.96,[VCCVC]
200,0.93,[VCCCV]
200,0.99,[CVCCV]
200,0.86,[CCVCV]
300,0.99,[V]
300,0.95,[VC]
300,1.0,[CV]
300,0.84,[VCC]
300,0.99,[CVC]
300,0.87,[CCV]
300,0.85,[CVCC]
300,0.84,[CCVC]
300,0.67,[CCVCC]
300,0.98,[VV]
300,0.98,[CVV]
300,0.97,[VVC]
300,0.97,[VCV]
300,0.85,[CCVV]
300,0.85,[VVCC]
300,0.96,[VCVC]
300,0.97,[VCCV]
300,0.93,[CVVC]
300,1.0,[CVCV]
300,0.82,[CVVCC]
300,0.97,[CVCVC]
300,0.9,[CCVVC]
300,0.83,[VCVCC]
300,0.98,[VCCVC]
300,0.93,[VCCCV]
300,1.0,[CVCCV]
300,0.92,[CCVCV]
400,0.99,[V]
400,0.95,[VC]
400,1.0,[CV]
400,0.83,[VCC]
400,0.97,[CVC]
400,0.87,[CCV]
400,0.86,[CVCC]
400,0.85,[CCVC]
400,0.73,[CCVCC]
400,0.98,[VV]
400,0.98,[CVV]
400,0.95,[VVC]
400,0.98,[VCV]
400,0.81,[CCVV]
400,0.81,[VVCC]
400,0.98,[VCVC]
400,0.99,[VCCV]
400,0.97,[CVVC]
400,1.0,[CVCV]
400,0.81,[CVVCC]
400,0.99,[CVCVC]
400,0.86,[CCVVC]
400,0.78,[VCVCC]
400,0.95,[VCCVC]
400,0.97,[VCCCV]
400,1.0,[CVCCV]
400,0.85,[CCVCV]
500,1.0,[V]
500,0.99,[VC]
500,1.0,[CV]
500,0.77,[VCC]
500,0.99,[CVC]
500,0.91,[CCV]
500,0.88,[CVCC]
500,0.84,[CCVC]
500,0.71,[CCVCC]
500,0.97,[VV]
500,0.98,[CVV]
500,0.97,[VVC]
500,0.97,[VCV]
500,0.88,[CCVV]
500,0.89,[VVCC]
500,0.97,[VCVC]
500,0.96,[VCCV]
500,0.99,[CVVC]
500,1.0,[CVCV]
500,0.84,[CVVCC]
500,0.98,[CVCVC]
500,0.84,[CCVVC]
500,0.84,[VCVCC]
500,0.99,[VCCVC]
500,0.92,[VCCCV]
500,0.98,[CVCCV]
500,0.89,[CCVCV]
600,0.96,[V]
600,0.98,[VC]
600,1.0,[CV]
600,0.85,[VCC]
600,0.96,[CVC]
600,0.94,[CCV]
600,0.86,[CVCC]
600,0.89,[CCVC]
600,0.81,[CCVCC]
600,0.98,[VV]
600,0.99,[CVV]
600,0.99,[VVC]
600,0.99,[VCV]
600,0.92,[CCVV]
600,0.85,[VVCC]
600,0.96,[VCVC]
600,1.0,[VCCV]
600,0.99,[CVVC]
600,1.0,[CVCV]
600,0.84,[CVVCC]
600,0.98,[CVCVC]
600,0.86,[CCVVC]
600,0.8,[VCVCC]
600,0.98,[VCCVC]
600,0.9,[VCCCV]
600,1.0,[CVCCV]
600,0.91,[CCVCV]
700,0.99,[V]
700,1.0,[VC]
700,1.0,[CV]
700,0.89,[VCC]
700,1.0,[CVC]
700,0.92,[CCV]
700,0.95,[CVCC]
700,0.86,[CCVC]
700,0.82,[CCVCC]
700,1.0,[VV]
700,0.99,[CVV]
700,0.99,[VVC]
700,1.0,[VCV]
700,0.87,[CCVV]
700,0.87,[VVCC]
700,0.98,[VCVC]
700,0.97,[VCCV]
700,0.99,[CVVC]
700,1.0,[CVCV]
700,0.79,[CVVCC]
700,0.99,[CVCVC]
700,0.89,[CCVVC]
700,0.9,[VCVCC]
700,0.97,[VCCVC]
700,0.97,[VCCCV]
700,1.0,[CVCCV]
700,0.91,[CCVCV]
800,0.99,[V]
800,0.99,[VC]
800,1.0,[CV]
800,0.93,[VCC]
800,1.0,[CVC]
800,0.93,[CCV]
800,0.88,[CVCC]
800,0.92,[CCVC]
800,0.83,[CCVCC]
800,1.0,[VV]
800,0.99,[CVV]
800,0.98,[VVC]
800,0.99,[VCV]
800,0.89,[CCVV]
800,0.9,[VVCC]
800,0.99,[VCVC]
800,0.99,[VCCV]
800,0.99,[CVVC]
800,1.0,[CVCV]
800,0.87,[CVVCC]
800,1.0,[CVCVC]
800,0.9,[CCVVC]
800,0.92,[VCVCC]
800,0.98,[VCCVC]
800,0.97,[VCCCV]
800,1.0,[CVCCV]
800,0.89,[CCVCV]
900,0.98,[V]
900,0.99,[VC]
900,1.0,[CV]
900,0.87,[VCC]
900,0.99,[CVC]
900,0.92,[CCV]
900,0.88,[CVCC]
900,0.98,[CCVC]
900,0.77,[CCVCC]
900,1.0,[VV]
900,0.97,[CVV]
900,0.97,[VVC]
900,0.97,[VCV]
900,0.85,[CCVV]
900,0.91,[VVCC]
900,0.97,[VCVC]
900,1.0,[VCCV]
900,0.98,[CVVC]
900,1.0,[CVCV]
900,0.95,[CVVCC]
900,0.99,[CVCVC]
900,0.94,[CCVVC]
900,0.9,[VCVCC]
900,0.95,[VCCVC]
900,0.95,[VCCCV]
900,1.0,[CVCCV]
900,0.91,[CCVCV]
1000,0.992,[V]
1000,0.989,[VC]
1000,1.0,[CV]
1000,0.902,[VCC]
1000,0.995,[CVC]
1000,0.923,[CCV]
1000,0.911,[CVCC]
1000,0.896,[CCVC]
1000,0.84,[CCVCC]
1000,0.984,[VV]
1000,0.993,[CVV]
1000,0.983,[VVC]
1000,0.995,[VCV]
1000,0.901,[CCVV]
1000,0.916,[VVCC]
1000,0.987,[VCVC]
1000,0.989,[VCCV]
1000,0.988,[CVVC]
1000,1.0,[CVCV]
1000,0.891,[CVVCC]
1000,0.991,[CVCVC]
1000,0.915,[CCVVC]
1000,0.904,[VCVCC]
1000,0.982,[VCCVC]
1000,0.96,[VCCCV]
1000,0.995,[CVCCV]
1000,0.929,[CCVCV]
