iterations,accuracy,syllable
0,0.37,[V]
0,0.21,[VC]
0,1.0,[CV]
0,0.16,[VCC]
0,0.33,[CVC]
0,0.32,[CCV]
0,0.22,[CVCC]
0,0.17,[CCVC]
0,0.13,[CCVCC]
0,0.33,[V.V]
0,0.41,[CV.V]
0,0.14,[V.VC]
0,0.38,[V.CV]
0,0.16,[CCV.V]
0,0.09,[V.VCC]
0,0.23,[V.CVC]
0,0.12,[V.CCV]
0,0.24,[CV.VC]
0,1.0,[CV.CV]
0,0.13,[CV.VCC]
0,0.45,[CV.CVC]
0,0.22,[CCV.VC]
0,0.11,[V.CVCC]
0,0.0,[V.CCVC]
0,0.08,[VC.CCV]
0,0.26,[CV.CCV]
0,0.36,[CCV.CV]
100,0.8,[V]
100,0.47,[VC]
100,1.0,[CV]
100,0.28,[VCC]
100,0.58,[CVC]
100,0.84,[CCV]
100,0.45,[CVCC]
100,0.49,[CCVC]
100,0.33,[CCVCC]
100,0.79,[V.V]
100,0.75,[CV.V]
100,0.47,[V.VC]
100,0.8,[V.CV]
100,0.7,[CCV.V]
100,0.34,[V.VCC]
100,0.6,[V.CVC]
100,0.68,[V.CCV]
100,0.5,[CV.VC]
100,1.0,[CV.CV]
100,0.22,[CV.VCC]
100,0.57,[CV.CVC]
100,0.48,[CCV.VC]
100,0.27,[V.CVCC]
100,0.0,[V.CCVC]
100,0.39,[VC.CCV]
100,0.75,[CV.CCV]
100,0.86,[CCV.CV]
200,0.84,[V]
200,0.65,[VC]
200,1.0,[CV]
200,0.43,[VCC]
200,0.82,[CVC]
200,0.99,[CCV]
200,0.46,[CVCC]
200,0.73,[CCVC]
200,0.4,[CCVCC]
200,0.91,[V.V]
200,0.93,[CV.V]
200,0.7,[V.VC]
200,0.86,[V.CV]
200,0.87,[CCV.V]
200,0.51,[V.VCC]
200,0.7,[V.CVC]
200,0.78,[V.CCV]
200,0.64,[CV.VC]
200,1.0,[CV.CV]
200,0.38,[CV.VCC]
200,0.62,[CV.CVC]
200,0.63,[CCV.VC]
200,0.43,[V.CVCC]
200,0.0,[V.CCVC]
200,0.59,[VC.CCV]
200,0.85,[CV.CCV]
200,0.96,[CCV.CV]
300,0.92,[V]
300,0.78,[VC]
300,1.0,[CV]
300,0.57,[VCC]
300,0.77,[CVC]
300,0.99,[CCV]
300,0.54,[CVCC]
300,0.81,[CCVC]
300,0.45,[CCVCC]
300,0.95,[V.V]
300,0.96,[CV.V]
300,0.7,[V.VC]
300,0.92,[V.CV]
300,0.94,[CCV.V]
300,0.58,[V.VCC]
300,0.73,[V.CVC]
300,0.85,[V.CCV]
300,0.81,[CV.VC]
300,1.0,[CV.CV]
300,0.54,[CV.VCC]
300,0.77,[CV.CVC]
300,0.77,[CCV.VC]
300,0.56,[V.CVCC]
300,0.0,[V.CCVC]
300,0.76,[VC.CCV]
300,0.94,[CV.CCV]
300,1.0,[CCV.CV]
400,0.97,[V]
400,0.87,[VC]
400,1.0,[CV]
400,0.64,[VCC]
400,0.88,[CVC]
400,1.0,[CCV]
400,0.47,[CVCC]
400,0.78,[CCVC]
400,0.56,[CCVCC]
400,0.97,[V.V]
400,0.98,[CV.V]
400,0.83,[V.VC]
400,0.89,[V.CV]
400,0.96,[CCV.V]
400,0.56,[V.VCC]
400,0.72,[V.CVC]
400,0.91,[V.CCV]
400,0.76,[CV.VC]
400,1.0,[CV.CV]
400,0.58,[CV.VCC]
400,0.78,[CV.CVC]
400,0.83,[CCV.VC]
400,0.47,[V.CVCC]
400,0.0,[V.CCVC]
400,0.71,[VC.CCV]
400,0.94,[CV.CCV]
400,0.99,[CCV.CV]
500,0.97,[V]
500,0.85,[VC]
500,1.0,[CV]
500,0.49,[VCC]
500,0.9,[CVC]
500,0.99,[CCV]
500,0.59,[CVCC]
500,0.85,[CCVC]
500,0.63,[CCVCC]
500,1.0,[V.V]
500,0.98,[CV.V]
500,0.83,[V.VC]
500,0.94,[V.CV]
500,0.96,[CCV.V]
500,0.54,[V.VCC]
500,0.85,[V.CVC]
500,0.88,[V.CCV]
500,0.86,[CV.VC]
500,1.0,[CV.CV]
500,0.53,[CV.VCC]
500,0.76,[CV.CVC]
500,0.87,[CCV.VC]
500,0.55,[V.CVCC]
500,0.0,[V.CCVC]
500,0.83,[VC.CCV]
500,0.95,[CV.CCV]
500,1.0,[CCV.CV]
600,0.97,[V]
600,0.85,[VC]
600,1.0,[CV]
600,0.62,[VCC]
600,0.87,[CVC]
600,0.99,[CCV]
600,0.64,[CVCC]
600,0.79,[CCVC]
600,0.59,[CCVCC]
600,0.99,[V.V]
600,0.94,[CV.V]
600,0.83,[V.VC]
600,0.98,[V.CV]
600,0.96,[CCV.V]
600,0.58,[V.VCC]
600,0.82,[V.CVC]
600,0.95,[V.CCV]
600,0.85,[CV.VC]
600,1.0,[CV.CV]
600,0.61,[CV.VCC]
600,0.87,[CV.CVC]
600,0.93,[CCV.VC]
600,0.6,[V.CVCC]
600,0.0,[V.CCVC]
600,0.84,[VC.CCV]
600,0.97,[CV.CCV]
600,0.99,[CCV.CV]
700,1.0,[V]
700,0.86,[VC]
700,1.0,[CV]
700,0.68,[VCC]
700,0.82,[CVC]
700,1.0,[CCV]
700,0.61,[CVCC]
700,0.9,[CCVC]
700,0.72,[CCVCC]
700,0.96,[V.V]
700,1.0,[CV.V]
700,0.87,[V.VC]
700,0.94,[V.CV]
700,0.94,[CCV.V]
700,0.69,[V.VCC]
700,0.82,[V.CVC]
700,0.95,[V.CCV]
700,0.9,[CV.VC]
700,1.0,[CV.CV]
700,0.65,[CV.VCC]
700,0.88,[CV.CVC]
700,0.94,[CCV.VC]
700,0.67,[V.CVCC]
700,0.0,[V.CCVC]
700,0.79,[VC.CCV]
700,0.87,[CV.CCV]
700,1.0,[CCV.CV]
800,1.0,[V]
800,0.84,[VC]
800,1.0,[CV]
800,0.71,[VCC]
800,0.93,[CVC]
800,1.0,[CCV]
800,0.7,[CVCC]
800,0.85,[CCVC]
800,0.7,[CCVCC]
800,0.99,[V.V]
800,1.0,[CV.V]
800,0.92,[V.VC]
800,0.99,[V.CV]
800,0.96,[CCV.V]
800,0.66,[V.VCC]
800,0.85,[V.CVC]
800,0.9,[V.CCV]
800,0.9,[CV.VC]
800,1.0,[CV.CV]
800,0.67,[CV.VCC]
800,0.92,[CV.CVC]
800,0.96,[CCV.VC]
800,0.7,[V.CVCC]
800,0.0,[V.CCVC]
800,0.84,[VC.CCV]
800,0.96,[CV.CCV]
800,1.0,[CCV.CV]
900,1.0,[V]
900,0.86,[VC]
900,1.0,[CV]
900,0.66,[VCC]
900,0.83,[CVC]
900,1.0,[CCV]
900,0.67,[CVCC]
900,0.87,[CCVC]
900,0.78,[CCVCC]
900,0.99,[V.V]
900,0.98,[CV.V]
900,0.88,[V.VC]
900,0.96,[V.CV]
900,0.99,[CCV.V]
900,0.73,[V.VCC]
900,0.88,[V.CVC]
900,0.95,[V.CCV]
900,0.85,[CV.VC]
900,1.0,[CV.CV]
900,0.74,[CV.VCC]
900,0.87,[CV.CVC]
900,0.94,[CCV.VC]
900,0.73,[V.CVCC]
900,0.0,[V.CCVC]
900,0.86,[VC.CCV]
900,0.96,[CV.CCV]
900,1.0,[CCV.CV]
1000,0.989,[V]
1000,0.892,[VC]
1000,1.0,[CV]
1000,0.725,[VCC]
1000,0.892,[CVC]
1000,0.998,[CCV]
1000,0.699,[CVCC]
1000,0.901,[CCVC]
1000,0.721,[CCVCC]
1000,0.981,[V.V]
1000,0.988,[CV.V]
1000,0.897,[V.VC]
1000,0.984,[V.CV]
1000,0.991,[CCV.V]
1000,0.705,[V.VCC]
1000,0.899,[V.CVC]
1000,0.935,[V.CCV]
1000,0.898,[CV.VC]
1000,1.0,[CV.CV]
1000,0.728,[CV.VCC]
1000,0.907,[CV.CVC]
