iterations,accuracy,syllable
0,0.34,[V]
0,0.15,[VC]
0,1.0,[CV]
0,0.08,[VCC]
0,0.37,[CVC]
0,0.37,[CCV]
0,0.15,[CVCC]
0,0.18,[CCVC]
0,0.11,[CCVCC]
100,0.55,[V]
100,0.45,[VC]
100,1.0,[CV]
100,0.32,[VCC]
100,0.75,[CVC]
100,0.63,[CCV]
100,0.5,[CVCC]
100,0.51,[CCVC]
100,0.41,[CCVCC]
200,0.74,[V]
200,0.68,[VC]
200,1.0,[CV]
200,0.47,[VCC]
200,0.88,[CVC]
200,0.81,[CCV]
200,0.6,[CVCC]
200,0.82,[CCVC]
200,0.56,[CCVCC]
300,0.79,[V]
300,0.82,[VC]
300,1.0,[CV]
300,0.6,[VCC]
300,0.96,[CVC]
300,0.91,[CCV]
300,0.77,[CVCC]
300,0.84,[CCVC]
300,0.66,[CCVCC]
400,0.84,[V]
400,0.81,[VC]
400,1.0,[CV]
400,0.65,[VCC]
400,1.0,[CVC]
400,0.97,[CCV]
400,0.78,[CVCC]
400,0.92,[CCVC]
400,0.69,[CCVCC]
500,0.95,[V]
500,0.9,[VC]
500,1.0,[CV]
500,0.72,[VCC]
500,0.96,[CVC]
500,0.96,[CCV]
500,0.76,[CVCC]
500,0.91,[CCVC]
500,0.81,[CCVCC]
600,0.88,[V]
600,0.84,[VC]
600,1.0,[CV]
600,0.86,[VCC]
600,0.96,[CVC]
600,0.98,[CCV]
600,0.82,[CVCC]
600,0.92,[CCVC]
600,0.79,[CCVCC]
700,0.93,[V]
700,0.95,[VC]
700,1.0,[CV]
700,0.78,[VCC]
700,0.99,[CVC]
700,0.99,[CCV]
700,0.81,[CVCC]
700,0.97,[CCVC]
700,0.86,[CCVCC]
800,0.93,[V]
800,0.85,[VC]
800,1.0,[CV]
800,0.75,[VCC]
800,0.99,[CVC]
800,0.96,[CCV]
800,0.8,[CVCC]
800,0.95,[CCVC]
800,0.78,[CCVCC]
900,0.94,[V]
900,0.95,[VC]
900,1.0,[CV]
900,0.8,[VCC]
900,0.99,[CVC]
900,0.97,[CCV]
900,0.85,[CVCC]
900,0.97,[CCVC]
900,0.81,[CCVCC]
1000,0.926,[V]
1000,0.928,[VC]
1000,1.0,[CV]
1000,0.821,[VCC]
1000,0.985,[CVC]
1000,0.97,[CCV]
1000,0.856,[CVCC]
1000,0.957,[CCVC]
1000,0.814,[CCVCC]
