iterations,accuracy,syllable
0,0.35,[V]
0,0.2,[VC]
0,1.0,[CV]
0,0.19,[VCC]
0,0.33,[CVC]
0,0.39,[CCV]
0,0.19,[CVCC]
0,0.28,[CCVC]
0,0.08,[CCVCC]
100,0.44,[V]
100,0.53,[VC]
100,1.0,[CV]
100,0.47,[VCC]
100,0.76,[CVC]
100,0.6,[CCV]
100,0.53,[CVCC]
100,0.54,[CCVC]
100,0.35,[CCVCC]
200,0.79,[V]
200,0.79,[VC]
200,1.0,[CV]
200,0.78,[VCC]
200,0.84,[CVC]
200,0.76,[CCV]
200,0.67,[CVCC]
200,0.7,[CCVC]
200,0.52,[CCVCC]
300,0.83,[V]
300,0.85,[VC]
300,1.0,[CV]
300,0.83,[VCC]
300,0.91,[CVC]
300,0.82,[CCV]
300,0.76,[CVCC]
300,0.72,[CCVC]
300,0.61,[CCVCC]
400,0.89,[V]
400,0.92,[VC]
400,1.0,[CV]
400,0.82,[VCC]
400,0.92,[CVC]
400,0.84,[CCV]
400,0.79,[CVCC]
400,0.87,[CCVC]
400,0.68,[CCVCC]
500,0.87,[V]
500,0.93,[VC]
500,1.0,[CV]
500,0.92,[VCC]
500,0.97,[CVC]
500,0.86,[CCV]
500,0.87,[CVCC]
500,0.85,[CCVC]
500,0.74,[CCVCC]
600,0.95,[V]
600,0.94,[VC]
600,1.0,[CV]
600,0.91,[VCC]
600,0.92,[CVC]
600,0.91,[CCV]
600,0.91,[CVCC]
600,0.9,[CCVC]
600,0.71,[CCVCC]
700,0.93,[V]
700,0.97,[VC]
700,1.0,[CV]
700,0.88,[VCC]
700,0.99,[CVC]
700,0.92,[CCV]
700,0.89,[CVCC]
700,0.85,[CCVC]
700,0.8,[CCVCC]
800,0.92,[V]
800,0.93,[VC]
800,1.0,[CV]
800,0.96,[VCC]
800,0.95,[CVC]
800,0.92,[CCV]
800,0.86,[CVCC]
800,0.91,[CCVC]
800,0.82,[CCVCC]
900,0.97,[V]
900,0.95,[VC]
900,1.0,[CV]
900,0.94,[VCC]
900,0.94,[CVC]
900,0.94,[CCV]
900,0.88,[CVCC]
900,0.94,[CCVC]
900,0.84,[CCVCC]
1000,0.96,[V]
1000,0.956,[VC]
1000,1.0,[CV]
1000,0.946,[VCC]
1000,0.989,[CVC]
1000,0.939,[CCV]
1000,0.909,[CVCC]
1000,0.942,[CCVC]
1000,0.855,[CCVCC]
