iterations,accuracy,syllable
0,0.29,[V]
0,0.3,[VC]
0,1.0,[CV]
0,0.17,[VCC]
0,0.32,[CVC]
0,0.38,[CCV]
0,0.29,[CVCC]
0,0.24,[CCVC]
0,0.09,[CCVCC]
100,0.57,[V]
100,0.5,[VC]
100,1.0,[CV]
100,0.38,[VCC]
100,0.59,[CVC]
100,0.53,[CCV]
100,0.37,[CVCC]
100,0.43,[CCVC]
100,0.24,[CCVCC]
200,0.68,[V]
200,0.69,[VC]
200,1.0,[CV]
200,0.61,[VCC]
200,0.76,[CVC]
200,0.68,[CCV]
200,0.58,[CVCC]
200,0.74,[CCVC]
200,0.45,[CCVCC]
300,0.8,[V]
300,0.83,[VC]
300,1.0,[CV]
300,0.72,[VCC]
300,0.85,[CVC]
300,0.76,[CCV]
300,0.68,[CVCC]
300,0.69,[CCVC]
300,0.71,[CCVCC]
400,0.88,[V]
400,0.8,[VC]
400,1.0,[CV]
400,0.84,[VCC]
400,0.96,[CVC]
400,0.83,[CCV]
400,0.76,[CVCC]
400,0.87,[CCVC]
400,0.72,[CCVCC]
500,0.87,[V]
500,0.92,[VC]
500,1.0,[CV]
500,0.88,[VCC]
500,0.98,[CVC]
500,0.88,[CCV]
500,0.8,[CVCC]
500,0.86,[CCVC]
500,0.74,[CCVCC]
600,0.95,[V]
600,0.93,[VC]
600,1.0,[CV]
600,0.93,[VCC]
600,0.97,[CVC]
600,0.91,[CCV]
600,0.85,[CVCC]
600,0.85,[CCVC]
600,0.75,[CCVCC]
700,0.92,[V]
700,0.99,[VC]
700,1.0,[CV]
700,0.93,[VCC]
700,0.99,[CVC]
700,0.85,[CCV]
700,0.81,[CVCC]
700,0.88,[CCVC]
700,0.79,[CCVCC]
800,0.93,[V]
800,0.96,[VC]
800,1.0,[CV]
800,0.91,[VCC]
800,0.99,[CVC]
800,0.94,[CCV]
800,0.91,[CVCC]
800,0.96,[CCVC]
800,0.8,[CCVCC]
900,0.96,[V]
900,0.94,[VC]
900,1.0,[CV]
900,0.9,[VCC]
900,1.0,[CVC]
900,0.95,[CCV]
900,0.89,[CVCC]
900,0.95,[CCVC]
900,0.84,[CCVCC]
1000,0.965,[V]
1000,0.967,[VC]
1000,1.0,[CV]
1000,0.928,[VCC]
1000,0.987,[CVC]
1000,0.947,[CCV]
1000,0.885,[CVCC]
1000,0.946,[CCVC]
1000,0.858,[CCVCC]
