iterations,accuracy,syllable
0,0.39,[V]
0,0.13,[VC]
0,1.0,[CV]
0,0.1,[VCC]
0,0.33,[CVC]
0,0.32,[CCV]
0,0.16,[CVCC]
0,0.16,[CCVC]
0,0.13,[CCVCC]
100,0.74,[V]
100,0.62,[VC]
100,1.0,[CV]
100,0.3,[VCC]
100,0.73,[CVC]
100,0.63,[CCV]
100,0.54,[CVCC]
100,0.53,[CCVC]
100,0.41,[CCVCC]
200,0.8,[V]
200,0.83,[VC]
200,1.0,[CV]
200,0.62,[VCC]
200,0.88,[CVC]
200,0.87,[CCV]
200,0.74,[CVCC]
200,0.78,[CCVC]
200,0.55,[CCVCC]
300,0.82,[V]
300,0.8,[VC]
300,1.0,[CV]
300,0.74,[VCC]
300,0.95,[CVC]
300,0.86,[CCV]
300,0.82,[CVCC]
300,0.77,[CCVC]
300,0.67,[CCVCC]
400,0.92,[V]
400,0.87,[VC]
400,1.0,[CV]
400,0.86,[VCC]
400,0.92,[CVC]
400,0.93,[CCV]
400,0.78,[CVCC]
400,0.91,[CCVC]
400,0.82,[CCVCC]
500,0.91,[V]
500,0.88,[VC]
500,1.0,[CV]
500,0.93,[VCC]
500,0.99,[CVC]
500,0.94,[CCV]
500,0.83,[CVCC]
500,0.93,[CCVC]
500,0.87,[CCVCC]
600,0.95,[V]
600,0.92,[VC]
600,1.0,[CV]
600,0.86,[VCC]
600,0.98,[CVC]
600,0.93,[CCV]
600,0.8,[CVCC]
600,0.92,[CCVC]
600,0.84,[CCVCC]
700,0.95,[V]
700,0.97,[VC]
700,1.0,[CV]
700,0.91,[VCC]
700,1.0,[CVC]
700,0.94,[CCV]
700,0.88,[CVCC]
700,0.98,[CCVC]
700,0.89,[CCVCC]
800,1.0,[V]
800,0.93,[VC]
800,1.0,[CV]
800,0.93,[VCC]
800,1.0,[CVC]
800,0.97,[CCV]
800,0.92,[CVCC]
800,0.97,[CCVC]
800,0.95,[CCVCC]
900,0.98,[V]
900,0.93,[VC]
900,1.0,[CV]
900,0.9,[VCC]
900,0.99,[CVC]
900,0.99,[CCV]
900,0.96,[CVCC]
900,0.99,[CCVC]
900,0.93,[CCVCC]
1000,0.971,[V]
1000,0.973,[VC]
1000,1.0,[CV]
1000,0.915,[VCC]
1000,0.993,[CVC]
1000,0.974,[CCV]
1000,0.938,[CVCC]
1000,0.964,[CCVC]
1000,0.928,[CCVCC]
