iterations,accuracy,syllable
0,0.31,[V]
0,0.19,[VC]
0,1.0,[CV]
0,0.15,[VCC]
0,0.29,[CVC]
0,0.26,[CCV]
0,0.15,[CVCC]
0,0.16,[CCVC]
0,0.1,[CCVCC]
100,0.46,[V]
100,0.27,[VC]
100,1.0,[CV]
100,0.19,[VCC]
100,0.36,[CVC]
100,0.42,[CCV]
100,0.23,[CVCC]
100,0.24,[CCVC]
100,0.17,[CCVCC]
200,0.53,[V]
200,0.35,[VC]
200,1.0,[CV]
200,0.21,[VCC]
200,0.49,[CVC]
200,0.55,[CCV]
200,0.3,[CVCC]
200,0.29,[CCVC]
200,0.27,[CCVCC]
300,0.55,[V]
300,0.41,[VC]
300,1.0,[CV]
300,0.3,[VCC]
300,0.55,[CVC]
300,0.58,[CCV]
300,0.42,[CVCC]
300,0.44,[CCVC]
300,0.31,[CCVCC]
400,0.6,[V]
400,0.58,[VC]
400,1.0,[CV]
400,0.41,[VCC]
400,0.74,[CVC]
400,0.77,[CCV]
400,0.57,[CVCC]
400,0.61,[CCVC]
400,0.42,[CCVCC]
500,0.76,[V]
500,0.72,[VC]
500,1.0,[CV]
500,0.65,[VCC]
500,0.83,[CVC]
500,0.79,[CCV]
500,0.74,[CVCC]
500,0.76,[CCVC]
500,0.56,[CCVCC]
600,0.85,[V]
600,0.84,[VC]
600,1.0,[CV]
600,0.77,[VCC]
600,0.9,[CVC]
600,0.92,[CCV]
600,0.77,[CVCC]
600,0.82,[CCVC]
600,0.76,[CCVCC]
700,0.89,[V]
700,0.94,[VC]
700,1.0,[CV]
700,0.82,[VCC]
700,0.96,[CVC]
700,0.94,[CCV]
700,0.83,[CVCC]
700,0.92,[CCVC]
700,0.76,[CCVCC]
800,0.97,[V]
800,0.87,[VC]
800,1.0,[CV]
800,0.78,[VCC]
800,0.98,[CVC]
800,0.98,[CCV]
800,0.87,[CVCC]
800,0.91,[CCVC]
800,0.79,[CCVCC]
900,0.93,[V]
900,0.85,[VC]
900,1.0,[CV]
900,0.87,[VCC]
900,0.97,[CVC]
900,0.96,[CCV]
900,0.8,[CVCC]
900,0.95,[CCVC]
900,0.85,[CCVCC]
1000,0.945,[V]
1000,0.941,[VC]
1000,1.0,[CV]
1000,0.836,[VCC]
1000,0.973,[CVC]
1000,0.969,[CCV]
1000,0.89,[CVCC]
1000,0.94,[CCVC]
1000,0.84,[CCVCC]
