iterations,accuracy,syllable
0,0.31,[V]
0,0.16,[VC]
0,1.0,[CV]
0,0.14,[VCC]
0,0.46,[CVC]
0,0.32,[CCV]
0,0.17,[CVCC]
0,0.23,[CCVC]
0,0.1,[CCVCC]
0,0.31,[V.V]
0,0.42,[CV.V]
0,0.19,[V.VC]
0,0.41,[V.CV]
0,0.18,[CCV.V]
0,0.12,[V.VCC]
0,0.13,[V.CVC]
0,0.1,[VC.CV]
0,0.16,[CV.VC]
0,1.0,[CV.CV]
0,0.06,[CV.VCC]
0,0.26,[CV.CVC]
0,0.16,[CCV.VC]
0,0.11,[V.CVCC]
0,0.11,[VC.CVC]
0,0.02,[VC.CCV]
0,0.21,[CVC.CV]
0,0.31,[CCV.CV]
100,0.86,[V]
100,0.72,[VC]
100,1.0,[CV]
100,0.44,[VCC]
100,0.74,[CVC]
100,0.67,[CCV]
100,0.42,[CVCC]
100,0.5,[CCVC]
100,0.26,[CCVCC]
100,0.79,[V.V]
100,0.9,[CV.V]
100,0.74,[V.VC]
100,0.83,[V.CV]
100,0.51,[CCV.V]
100,0.42,[V.VCC]
100,0.74,[V.CVC]
100,0.53,[VC.CV]
100,0.73,[CV.VC]
100,1.0,[CV.CV]
100,0.45,[CV.VCC]
100,0.81,[CV.CVC]
100,0.47,[CCV.VC]
100,0.32,[V.CVCC]
100,0.81,[VC.CVC]
100,0.35,[VC.CCV]
100,0.68,[CVC.CV]
100,0.58,[CCV.CV]
200,0.87,[V]
200,0.79,[VC]
200,1.0,[CV]
200,0.46,[VCC]
200,0.95,[CVC]
200,0.59,[CCV]
200,0.48,[CVCC]
200,0.57,[CCVC]
200,0.34,[CCVCC]
200,0.89,[V.V]
200,0.89,[CV.V]
200,0.82,[V.VC]
200,0.81,[V.CV]
200,0.47,[CCV.V]
200,0.42,[V.VCC]
200,0.78,[V.CVC]
200,0.68,[VC.CV]
200,0.87,[CV.VC]
200,1.0,[CV.CV]
200,0.44,[CV.VCC]
200,0.96,[CV.CVC]
200,0.57,[CCV.VC]
200,0.44,[V.CVCC]
200,0.79,[VC.CVC]
200,0.41,[VC.CCV]
200,0.85,[CVC.CV]
200,0.58,[CCV.CV]
300,0.95,[V]
300,0.94,[VC]
300,1.0,[CV]
300,0.46,[VCC]
300,0.98,[CVC]
300,0.68,[CCV]
300,0.53,[CVCC]
300,0.83,[CCVC]
300,0.37,[CCVCC]
300,0.97,[V.V]
300,0.94,[CV.V]
300,0.9,[V.VC]
300,0.9,[V.CV]
300,0.73,[CCV.V]
300,0.5,[V.VCC]
300,0.95,[V.CVC]
300,0.86,[VC.CV]
300,0.95,[CV.VC]
300,1.0,[CV.CV]
300,0.6,[CV.VCC]
300,1.0,[CV.CVC]
300,0.71,[CCV.VC]
300,0.48,[V.CVCC]
300,0.88,[VC.CVC]
300,0.62,[VC.CCV]
300,0.93,[CVC.CV]
300,0.76,[CCV.CV]
400,0.98,[V]
400,0.97,[VC]
400,1.0,[CV]
400,0.35,[VCC]
400,0.96,[CVC]
400,0.88,[CCV]
400,0.46,[CVCC]
400,0.72,[CCVC]
400,0.3,[CCVCC]
400,0.99,[V.V]
400,0.99,[CV.V]
400,0.99,[V.VC]
400,0.98,[V.CV]
400,0.73,[CCV.V]
400,0.4,[V.VCC]
400,0.97,[V.CVC]
400,0.85,[VC.CV]
400,0.98,[CV.VC]
400,1.0,[CV.CV]
400,0.46,[CV.VCC]
400,0.99,[CV.CVC]
400,0.87,[CCV.VC]
400,0.46,[V.CVCC]
400,0.99,[VC.CVC]
400,0.66,[VC.CCV]
400,0.86,[CVC.CV]
400,0.83,[CCV.CV]
500,0.96,[V]
500,0.97,[VC]
500,1.0,[CV]
500,0.49,[VCC]
500,0.99,[CVC]
500,0.8,[CCV]
500,0.4,[CVCC]
500,0.78,[CCVC]
500,0.35,[CCVCC]
500,0.98,[V.V]
500,0.98,[CV.V]
500,0.97,[V.VC]
500,0.99,[V.CV]
500,0.85,[CCV.V]
500,0.39,[V.VCC]
500,0.98,[V.CVC]
500,0.88,[VC.CV]
500,0.98,[CV.VC]
500,1.0,[CV.CV]
500,0.42,[CV.VCC]
500,0.99,[CV.CVC]
500,0.76,[CCV.VC]
500,0.48,[V.CVCC]
500,0.97,[VC.CVC]
500,0.68,[VC.CCV]
500,0.94,[CVC.CV]
500,0.83,[CCV.CV]
600,0.99,[V]
600,0.97,[VC]
600,1.0,[CV]
600,0.46,[VCC]
