iterations,accuracy,syllable
0,0.31,[V]
0,0.19,[VC]
0,1.0,[CV]
0,0.12,[VCC]
0,0.4,[CVC]
0,0.31,[CCV]
0,0.12,[CVCC]
0,0.26,[CCVC]
0,0.08,[CCVCC]
0,0.33,[V.V]
0,0.33,[CV.V]
0,0.15,[V.VC]
0,0.26,[V.CV]
0,0.22,[CCV.V]
0,0.1,[V.VCC]
0,0.23,[V.CVC]
0,0.13,[VC.CV]
0,0.2,[CV.VC]
0,1.0,[CV.CV]
0,0.1,[CV.VCC]
0,0.33,[CV.CVC]
0,0.14,[CCV.VC]
0,0.11,[V.CVCC]
0,0.2,[VC.CVC]
0,0.06,[VC.CCV]
0,0.23,[CVC.CV]
0,0.37,[CCV.CV]
100,0.86,[V]
100,0.84,[VC]
100,1.0,[CV]
100,0.54,[VCC]
100,0.94,[CVC]
100,0.56,[CCV]
100,0.5,[CVCC]
100,0.66,[CCVC]
100,0.32,[CCVCC]
100,0.83,[V.V]
100,0.9,[CV.V]
100,0.85,[V.VC]
100,0.9,[V.CV]
100,0.69,[CCV.V]
100,0.52,[V.VCC]
100,0.83,[V.CVC]
100,0.82,[VC.CV]
100,0.91,[CV.VC]
100,1.0,[CV.CV]
100,0.58,[CV.VCC]
100,0.98,[CV.CVC]
100,0.62,[CCV.VC]
100,0.52,[V.CVCC]
100,0.83,[VC.CVC]
100,0.34,[VC.CCV]
100,0.83,[CVC.CV]
100,0.66,[CCV.CV]
200,0.94,[V]
200,0.87,[VC]
200,1.0,[CV]
200,0.56,[VCC]
200,0.97,[CVC]
200,0.68,[CCV]
200,0.48,[CVCC]
200,0.7,[CCVC]
200,0.44,[CCVCC]
200,0.92,[V.V]
200,0.93,[CV.V]
200,0.91,[V.VC]
200,0.94,[V.CV]
200,0.64,[CCV.V]
200,0.52,[V.VCC]
200,0.88,[V.CVC]
200,0.79,[VC.CV]
200,0.89,[CV.VC]
200,1.0,[CV.CV]
200,0.5,[CV.VCC]
200,0.96,[CV.CVC]
200,0.67,[CCV.VC]
200,0.58,[V.CVCC]
200,0.92,[VC.CVC]
200,0.56,[VC.CCV]
200,0.91,[CVC.CV]
200,0.76,[CCV.CV]
300,0.95,[V]
300,0.92,[VC]
300,1.0,[CV]
300,0.38,[VCC]
300,1.0,[CVC]
300,0.76,[CCV]
300,0.54,[CVCC]
300,0.78,[CCVC]
300,0.47,[CCVCC]
300,0.97,[V.V]
300,0.93,[CV.V]
300,0.95,[V.VC]
300,0.96,[V.CV]
300,0.78,[CCV.V]
300,0.49,[V.VCC]
300,0.95,[V.CVC]
300,0.88,[VC.CV]
300,0.96,[CV.VC]
300,1.0,[CV.CV]
300,0.6,[CV.VCC]
300,0.99,[CV.CVC]
300,0.75,[CCV.VC]
300,0.55,[V.CVCC]
300,0.97,[VC.CVC]
300,0.6,[VC.CCV]
300,0.96,[CVC.CV]
300,0.7,[CCV.CV]
400,0.96,[V]
400,0.97,[VC]
400,1.0,[CV]
400,0.55,[VCC]
400,1.0,[CVC]
400,0.82,[CCV]
400,0.48,[CVCC]
400,0.85,[CCVC]
400,0.49,[CCVCC]
400,0.98,[V.V]
400,0.98,[CV.V]
400,0.97,[V.VC]
400,0.97,[V.CV]
400,0.89,[CCV.V]
400,0.36,[V.VCC]
400,0.98,[V.CVC]
400,0.82,[VC.CV]
400,0.95,[CV.VC]
400,1.0,[CV.CV]
400,0.57,[CV.VCC]
400,1.0,[CV.CVC]
400,0.84,[CCV.VC]
400,0.54,[V.CVCC]
400,0.98,[VC.CVC]
400,0.67,[VC.CCV]
400,0.89,[CVC.CV]
400,0.84,[CCV.CV]
500,0.98,[V]
500,1.0,[VC]
500,1.0,[CV]
500,0.48,[VCC]
500,0.99,[CVC]
500,0.88,[CCV]
500,0.42,[CVCC]
500,0.84,[CCVC]
500,0.5,[CCVCC]
500,0.99,[V.V]
500,0.97,[CV.V]
500,0.99,[V.VC]
500,0.97,[V.CV]
500,0.85,[CCV.V]
500,0.46,[V.VCC]
500,0.97,[V.CVC]
500,0.85,[VC.CV]
500,0.98,[CV.VC]
500,1.0,[CV.CV]
500,0.38,[CV.VCC]
500,1.0,[CV.CVC]
500,0.84,[CCV.VC]
500,0.45,[V.CVCC]
500,1.0,[VC.CVC]
500,0.8,[VC.CCV]
500,0.91,[CVC.CV]
500,0.83,[CCV.CV]
600,0.98,[V]
600,1.0,[VC]
600,1.0,[CV]
600,0.5,[VCC]
600,1.0,[CVC]
600,0.88,[CCV]
