iterations,accuracy,syllable
0,0.35,[V]
0,0.18,[VC]
0,1.0,[CV]
0,0.1,[VCC]
0,0.32,[CVC]
0,0.35,[CCV]
0,0.19,[CVCC]
0,0.19,[CCVC]
0,0.16,[CCVCC]
0,0.39,[V.V]
0,0.31,[CV.V]
0,0.16,[V.VC]
0,0.26,[V.CV]
0,0.15,[CCV.V]
0,0.09,[V.VCC]
0,0.17,[V.CVC]
0,0.07,[VC.CV]
0,0.17,[CV.VC]
0,1.0,[CV.CV]
0,0.16,[CV.VCC]
0,0.36,[CV.CVC]
0,0.12,[CCV.VC]
0,0.09,[V.CVCC]
0,0.14,[VC.CVC]
0,0.04,[VC.CCV]
0,0.23,[CVC.CV]
0,0.33,[CCV.CV]
100,0.91,[V]
100,0.78,[VC]
100,1.0,[CV]
100,0.73,[VCC]
100,0.92,[CVC]
100,0.55,[CCV]
100,0.78,[CVCC]
100,0.72,[CCVC]
100,0.56,[CCVCC]
100,0.91,[V.V]
100,0.88,[CV.V]
100,0.78,[V.VC]
100,0.86,[V.CV]
100,0.65,[CCV.V]
100,0.72,[V.VCC]
100,0.81,[V.CVC]
100,0.68,[VC.CV]
100,0.89,[CV.VC]
100,1.0,[CV.CV]
100,0.65,[CV.VCC]
100,0.9,[CV.CVC]
100,0.6,[CCV.VC]
100,0.7,[V.CVCC]
100,0.72,[VC.CVC]
100,0.28,[VC.CCV]
100,0.74,[CVC.CV]
100,0.57,[CCV.CV]
200,0.97,[V]
200,0.89,[VC]
200,1.0,[CV]
200,0.76,[VCC]
200,0.99,[CVC]
200,0.82,[CCV]
200,0.86,[CVCC]
200,0.81,[CCVC]
200,0.84,[CCVCC]
200,0.97,[V.V]
200,0.91,[CV.V]
200,0.87,[V.VC]
200,0.96,[V.CV]
200,0.81,[CCV.V]
200,0.85,[V.VCC]
200,0.9,[V.CVC]
200,0.77,[VC.CV]
200,0.95,[CV.VC]
200,1.0,[CV.CV]
200,0.83,[CV.VCC]
200,0.97,[CV.CVC]
200,0.79,[CCV.VC]
200,0.82,[V.CVCC]
200,0.93,[VC.CVC]
200,0.32,[VC.CCV]
200,0.78,[CVC.CV]
200,0.82,[CCV.CV]
300,0.98,[V]
300,0.95,[VC]
300,1.0,[CV]
300,0.89,[VCC]
300,0.97,[CVC]
300,0.92,[CCV]
300,0.86,[CVCC]
300,0.85,[CCVC]
300,0.88,[CCVCC]
300,0.94,[V.V]
300,0.99,[CV.V]
300,0.97,[V.VC]
300,0.98,[V.CV]
300,0.85,[CCV.V]
300,0.94,[V.VCC]
300,0.96,[V.CVC]
300,0.81,[VC.CV]
300,0.94,[CV.VC]
300,1.0,[CV.CV]
300,0.87,[CV.VCC]
300,0.98,[CV.CVC]
300,0.83,[CCV.VC]
300,0.87,[V.CVCC]
300,0.94,[VC.CVC]
300,0.45,[VC.CCV]
300,0.77,[CVC.CV]
300,0.84,[CCV.CV]
400,0.97,[V]
400,0.95,[VC]
400,1.0,[CV]
400,0.94,[VCC]
400,0.96,[CVC]
400,0.91,[CCV]
400,0.96,[CVCC]
400,0.93,[CCVC]
400,0.81,[CCVCC]
400,0.99,[V.V]
400,0.99,[CV.V]
400,0.97,[V.VC]
400,0.93,[V.CV]
400,0.91,[CCV.V]
400,0.91,[V.VCC]
400,0.98,[V.CVC]
400,0.81,[VC.CV]
400,0.99,[CV.VC]
400,1.0,[CV.CV]
400,0.95,[CV.VCC]
400,0.99,[CV.CVC]
400,0.92,[CCV.VC]
400,0.93,[V.CVCC]
400,0.96,[VC.CVC]
400,0.41,[VC.CCV]
400,0.78,[CVC.CV]
400,0.95,[CCV.CV]
500,0.98,[V]
500,0.99,[VC]
500,1.0,[CV]
500,0.92,[VCC]
500,0.99,[CVC]
500,0.94,[CCV]
500,0.96,[CVCC]
500,0.93,[CCVC]
500,0.93,[CCVCC]
500,0.99,[V.V]
500,0.97,[CV.V]
500,0.99,[V.VC]
500,0.99,[V.CV]
500,0.93,[CCV.V]
500,0.96,[V.VCC]
500,0.96,[V.CVC]
500,0.77,[VC.CV]
500,0.97,[CV.VC]
500,1.0,[CV.CV]
500,0.96,[CV.VCC]
500,1.0,[CV.CVC]
500,0.94,[CCV.VC]
500,0.97,[V.CVCC]
500,0.99,[VC.CVC]
500,0.44,[VC.CCV]
500,0.79,[CVC.CV]
500,0.93,[CCV.CV]
600,0.98,[V]
600,1.0,[VC]
600,1.0,[CV]
600,0.97,[VCC]
600,1.0,[CVC]
600,0.96,[CCV]
600,0.93,[CVCC]
600,0.93,[CCVC]
600,0.92,[CCVCC]
600,0.99,[V.V]
600,0.99,[CV.V]
600,0.97,[V.VC]
600,1.0,[V.CV]
600,0.95,[CCV.V]
600,0.96,[V.VCC]
600,0.99,[V.CVC]
600,0.71,[VC.CV]
600,1.0,[CV.VC]
600,1.0,[CV.CV]
600,0.95,[CV.VCC]
600,1.0,[CV.CVC]
600,0.96,[CCV.VC]
600,0.96,[V.CVCC]
600,0.98,[VC.CVC]
600,0.41,[VC.CCV]
600,0.72,[CVC.CV]
600,0.99,[CCV.CV]
700,0.98,[V]
700,0.99,[VC]
700,1.0,[CV]
700,0.96,[VCC]
700,1.0,[CVC]
700,0.99,[CCV]
700,0.95,[CVCC]
700,0.93,[CCVC]
700,0.93,[CCVCC]
700,0.97,[V.V]
700,0.99,[CV.V]
700,0.98,[V.VC]
700,0.98,[V.CV]
700,0.94,[CCV.V]
700,0.96,[V.VCC]
