iterations,accuracy,syllable
0,0.39,[V]
0,0.21,[VC]
0,1.0,[CV]
0,0.18,[VCC]
0,0.3,[CVC]
0,0.3,[CCV]
0,0.22,[CVCC]
0,0.19,[CCVC]
0,0.12,[CCVCC]
0,0.31,[V.V]
0,0.31,[CV.V]
0,0.22,[V.VC]
0,0.39,[V.CV]
0,0.24,[CCV.V]
0,0.13,[V.VCC]
0,0.15,[V.CVC]
0,0.11,[VC.CV]
0,0.18,[CV.VC]
0,1.0,[CV.CV]
0,0.11,[CV.VCC]
0,0.37,[CV.CVC]
0,0.05,[CCV.VC]
0,0.18,[V.CVCC]
0,0.62,[VC.CVC]
0,0.06,[VC.CCV]
0,0.31,[CVC.CV]
0,0.32,[CCV.CV]
100,0.9,[V]
100,0.86,[VC]
100,1.0,[CV]
100,0.84,[VCC]
100,0.89,[CVC]
100,0.74,[CCV]
100,0.74,[CVCC]
100,0.8,[CCVC]
100,0.46,[CCVCC]
100,0.91,[V.V]
100,0.92,[CV.V]
100,0.92,[V.VC]
100,0.93,[V.CV]
100,0.72,[CCV.V]
100,0.75,[V.VCC]
100,0.87,[V.CVC]
100,0.69,[VC.CV]
100,0.84,[CV.VC]
100,1.0,[CV.CV]
100,0.77,[CV.VCC]
100,0.88,[CV.CVC]
100,0.53,[CCV.VC]
100,0.82,[V.CVCC]
100,0.95,[VC.CVC]
100,0.27,[VC.CCV]
100,0.64,[CVC.CV]
100,0.8,[CCV.CV]
200,0.97,[V]
200,1.0,[VC]
200,1.0,[CV]
200,0.91,[VCC]
200,0.98,[CVC]
200,0.9,[CCV]
200,0.85,[CVCC]
200,0.84,[CCVC]
200,0.7,[CCVCC]
200,0.94,[V.V]
200,0.98,[CV.V]
200,0.98,[V.VC]
200,0.97,[V.CV]
200,0.82,[CCV.V]
200,0.91,[V.VCC]
200,0.93,[V.CVC]
200,0.67,[VC.CV]
200,0.99,[CV.VC]
200,1.0,[CV.CV]
200,0.89,[CV.VCC]
200,0.95,[CV.CVC]
200,0.8,[CCV.VC]
200,0.87,[V.CVCC]
200,0.99,[VC.CVC]
200,0.38,[VC.CCV]
200,0.76,[CVC.CV]
200,0.88,[CCV.CV]
300,0.98,[V]
300,0.96,[VC]
300,1.0,[CV]
300,0.94,[VCC]
300,0.97,[CVC]
300,0.9,[CCV]
300,0.92,[CVCC]
300,0.87,[CCVC]
300,0.83,[CCVCC]
300,0.98,[V.V]
300,1.0,[CV.V]
300,0.98,[V.VC]
300,0.95,[V.CV]
300,0.87,[CCV.V]
300,0.89,[V.VCC]
300,0.98,[V.CVC]
300,0.76,[VC.CV]
300,0.95,[CV.VC]
300,1.0,[CV.CV]
300,0.92,[CV.VCC]
300,0.99,[CV.CVC]
300,0.83,[CCV.VC]
300,0.98,[V.CVCC]
300,0.98,[VC.CVC]
300,0.34,[VC.CCV]
300,0.78,[CVC.CV]
300,0.91,[CCV.CV]
400,0.99,[V]
400,0.95,[VC]
400,1.0,[CV]
400,0.95,[VCC]
400,1.0,[CVC]
400,0.91,[CCV]
400,0.91,[CVCC]
400,0.96,[CCVC]
400,0.91,[CCVCC]
400,0.97,[V.V]
400,0.98,[CV.V]
400,0.99,[V.VC]
400,0.96,[V.CV]
400,0.93,[CCV.V]
400,0.95,[V.VCC]
400,0.97,[V.CVC]
400,0.79,[VC.CV]
400,0.99,[CV.VC]
400,1.0,[CV.CV]
400,0.93,[CV.VCC]
400,0.99,[CV.CVC]
400,0.88,[CCV.VC]
400,0.95,[V.CVCC]
400,1.0,[VC.CVC]
400,0.41,[VC.CCV]
400,0.75,[CVC.CV]
400,0.93,[CCV.CV]
500,0.99,[V]
500,0.97,[VC]
500,1.0,[CV]
500,0.99,[VCC]
500,0.99,[CVC]
500,0.93,[CCV]
500,0.91,[CVCC]
500,0.94,[CCVC]
500,0.87,[CCVCC]
500,1.0,[V.V]
500,0.99,[CV.V]
500,0.97,[V.VC]
500,0.97,[V.CV]
500,0.91,[CCV.V]
500,0.93,[V.VCC]
500,0.93,[V.CVC]
500,0.91,[VC.CV]
500,0.99,[CV.VC]
500,1.0,[CV.CV]
500,0.92,[CV.VCC]
500,1.0,[CV.CVC]
500,0.92,[CCV.VC]
500,0.98,[V.CVCC]
500,0.99,[VC.CVC]
500,0.45,[VC.CCV]
500,0.76,[CVC.CV]
500,0.94,[CCV.CV]
600,0.99,[V]
600,0.98,[VC]
600,1.0,[CV]
600,0.99,[VCC]
600,0.98,[CVC]
600,0.98,[CCV]
600,0.94,[CVCC]
600,0.91,[CCVC]
600,0.96,[CCVCC]
600,0.98,[V.V]
600,0.97,[CV.V]
600,0.99,[V.VC]
600,0.97,[V.CV]
600,0.94,[CCV.V]
600,0.93,[V.VCC]
600,0.95,[V.CVC]
600,0.8,[VC.CV]
600,0.98,[CV.VC]
600,1.0,[CV.CV]
600,0.93,[CV.VCC]
600,1.0,[CV.CVC]
600,0.92,[CCV.VC]
600,0.98,[V.CVCC]
600,1.0,[VC.CVC]
600,0.45,[VC.CCV]
600,0.74,[CVC.CV]
600,0.94,[CCV.CV]
700,0.98,[V]
700,0.98,[VC]
700,1.0,[CV]
700,0.98,[VCC]
700,1.0,[CVC]
700,0.92,[CCV]
700,0.94,[CVCC]
700,0.96,[CCVC]
700,0.93,[CCVCC]
700,0.98,[V.V]
700,1.0,[CV.V]
700,1.0,[V.VC]
700,0.9,[V.CV]
700,0.98,[CCV.V]
700,0.95,[V.VCC]
700,0.94,[V.CVC]
700,0.82,[VC.CV]
700,1.0,[CV.VC]
700,1.0,[CV.CV]
700,0.92,[CV.VCC]
700,1.0,[CV.CVC]
700,0.95,[CCV.VC]
700,0.96,[V.CVCC]
700,0.99,[VC.CVC]
700,0.58,[VC.CCV]
700,0.78,[CVC.CV]
700,0.96,[CCV.CV]
800,0.98,[V]
800,0.99,[VC]
800,1.0,[CV]
800,0.99,[VCC]
800,1.0,[CVC]
800,0.96,[CCV]
800,0.91,[CVCC]
800,0.97,[CCVC]
800,0.96,[CCVCC]
800,0.99,[V.V]
800,1.0,[CV.V]
800,1.0,[V.VC]
800,0.92,[V.CV]
800,0.98,[CCV.V]
800,0.93,[V.VCC]
800,0.95,[V.CVC]
800,0.85,[VC.CV]
800,0.99,[CV.VC]
800,1.0,[CV.CV]
800,0.95,[CV.VCC]
800,1.0,[CV.CVC]
800,0.91,[CCV.VC]
800,0.93,[V.CVCC]
800,1.0,[VC.CVC]
800,0.63,[VC.CCV]
800,0.81,[CVC.CV]
800,0.98,[CCV.CV]
900,1.0,[V]
900,1.0,[VC]
900,1.0,[CV]
900,0.95,[VCC]
900,1.0,[CVC]
900,1.0,[CCV]
900,0.94,[CVCC]
900,0.98,[CCVC]
900,0.97,[CCVCC]
900,1.0,[V.V]
900,1.0,[CV.V]
900,0.99,[V.VC]
900,0.94,[V.CV]
900,0.98,[CCV.V]
900,0.92,[V.VCC]
900,0.94,[V.CVC]
900,0.83,[VC.CV]
900,1.0,[CV.VC]
900,1.0,[CV.CV]
900,0.94,[CV.VCC]
900,0.99,[CV.CVC]
900,0.95,[CCV.VC]
900,0.99,[V.CVCC]
900,1.0,[VC.CVC]
900,0.54,[VC.CCV]
900,0.89,[CVC.CV]
900,1.0,[CCV.CV]
1000,0.995,[V]
1000,0.997,[VC]
1000,1.0,[CV]
1000,0.973,[VCC]
1000,0.999,[CVC]
1000,0.973,[CCV]
1000,0.957,[CVCC]
1000,0.975,[CCVC]
1000,0.93,[CCVCC]
1000,0.997,[V.V]
1000,0.996,[CV.V]
1000,0.994,[V.VC]
1000,0.92,[V.CV]
1000,0.962,[CCV.V]
1000,0.936,[V.VCC]
1000,0.926,[V.CVC]
1000,0.851,[VC.CV]
1000,0.994,[CV.VC]
1000,1.0,[CV.CV]
1000,0.937,[CV.VCC]
1000,1.0,[CV.CVC]
1000,0.952,[CCV.VC]
1000,0.962,[V.CVCC]
1000,0.999,[VC.CVC]
1000,0.549,[VC.CCV]
1000,0.861,[CVC.CV]
1000,0.975,[CCV.CV]
