iterations,accuracy,syllable
0,0.26,[V]
0,0.16,[VC]
0,1.0,[CV]
0,0.12,[VCC]
0,0.36,[CVC]
0,0.39,[CCV]
0,0.2,[CVCC]
0,0.22,[CCVC]
0,0.06,[CCVCC]
0,0.29,[V.V]
0,0.28,[CV.V]
0,0.23,[V.VC]
0,0.32,[V.CV]
0,0.08,[CCV.V]
0,0.14,[V.VCC]
0,0.12,[V.CVC]
0,0.18,[VC.CV]
0,0.16,[CV.VC]
0,1.0,[CV.CV]
0,0.19,[CV.VCC]
0,0.37,[CV.CVC]
0,0.04,[CCV.VC]
0,0.2,[V.CVCC]
0,0.58,[VC.CVC]
0,0.03,[VC.CCV]
0,0.28,[CVC.CV]
0,0.3,[CCV.CV]
100,0.69,[V]
100,0.61,[VC]
100,1.0,[CV]
100,0.67,[VCC]
100,0.72,[CVC]
100,0.58,[CCV]
100,0.54,[CVCC]
100,0.57,[CCVC]
100,0.39,[CCVCC]
100,0.69,[V.V]
100,0.76,[CV.V]
100,0.67,[V.VC]
100,0.66,[V.CV]
100,0.53,[CCV.V]
100,0.46,[V.VCC]
100,0.54,[V.CVC]
100,0.49,[VC.CV]
100,0.57,[CV.VC]
100,1.0,[CV.CV]
100,0.61,[CV.VCC]
100,0.72,[CV.CVC]
100,0.16,[CCV.VC]
100,0.63,[V.CVCC]
100,0.87,[VC.CVC]
100,0.17,[VC.CCV]
100,0.51,[CVC.CV]
100,0.6,[CCV.CV]
200,0.95,[V]
200,0.91,[VC]
200,1.0,[CV]
200,0.83,[VCC]
200,0.95,[CVC]
200,0.84,[CCV]
200,0.76,[CVCC]
200,0.82,[CCVC]
200,0.69,[CCVCC]
200,0.89,[V.V]
200,0.95,[CV.V]
200,0.85,[V.VC]
200,0.93,[V.CV]
200,0.8,[CCV.V]
200,0.78,[V.VCC]
200,0.91,[V.CVC]
200,0.69,[VC.CV]
200,0.87,[CV.VC]
200,1.0,[CV.CV]
200,0.72,[CV.VCC]
200,0.94,[CV.CVC]
200,0.61,[CCV.VC]
200,0.86,[V.CVCC]
200,0.98,[VC.CVC]
200,0.34,[VC.CCV]
200,0.62,[CVC.CV]
200,0.87,[CCV.CV]
300,0.98,[V]
300,1.0,[VC]
300,1.0,[CV]
300,0.93,[VCC]
300,1.0,[CVC]
300,0.9,[CCV]
300,0.83,[CVCC]
300,0.9,[CCVC]
300,0.77,[CCVCC]
300,0.98,[V.V]
300,0.99,[CV.V]
300,0.98,[V.VC]
300,0.96,[V.CV]
300,0.91,[CCV.V]
300,0.77,[V.VCC]
300,0.97,[V.CVC]
300,0.8,[VC.CV]
300,0.98,[CV.VC]
300,1.0,[CV.CV]
300,0.87,[CV.VCC]
300,0.99,[CV.CVC]
300,0.82,[CCV.VC]
300,0.92,[V.CVCC]
