iterations,accuracy,syllable
0,0.28,[V]
0,0.13,[VC]
0,1.0,[CV]
0,0.06,[VCC]
0,0.33,[CVC]
0,0.26,[CCV]
0,0.12,[CVCC]
0,0.18,[CCVC]
0,0.08,[CCVCC]
0,0.32,[V.V]
0,0.34,[CV.V]
0,0.19,[V.VC]
0,0.45,[V.CV]
0,0.2,[CCV.V]
0,0.1,[V.VCC]
0,0.16,[V.CVC]
0,0.06,[VC.CV]
0,0.14,[CV.VC]
0,1.0,[CV.CV]
0,0.08,[CV.VCC]
0,0.4,[CV.CVC]
0,0.14,[CCV.VC]
0,0.08,[V.CVCC]
0,0.19,[VC.CVC]
0,0.07,[VC.CCV]
0,0.23,[CVC.CV]
0,0.33,[CCV.CV]
100,0.52,[V]
100,0.49,[VC]
100,1.0,[CV]
100,0.32,[VCC]
100,0.74,[CVC]
100,0.5,[CCV]
100,0.56,[CVCC]
100,0.36,[CCVC]
100,0.29,[CCVCC]
100,0.65,[V.V]
100,0.68,[CV.V]
100,0.48,[V.VC]
100,0.62,[V.CV]
100,0.39,[CCV.V]
100,0.38,[V.VCC]
100,0.47,[V.CVC]
100,0.36,[VC.CV]
100,0.52,[CV.VC]
100,1.0,[CV.CV]
100,0.39,[CV.VCC]
100,0.66,[CV.CVC]
100,0.24,[CCV.VC]
100,0.46,[V.CVCC]
100,0.41,[VC.CVC]
100,0.14,[VC.CCV]
100,0.58,[CVC.CV]
100,0.37,[CCV.CV]
200,0.93,[V]
200,0.83,[VC]
200,1.0,[CV]
200,0.65,[VCC]
200,0.92,[CVC]
200,0.65,[CCV]
200,0.59,[CVCC]
200,0.57,[CCVC]
200,0.55,[CCVCC]
200,0.95,[V.V]
200,0.95,[CV.V]
200,0.87,[V.VC]
200,0.91,[V.CV]
200,0.52,[CCV.V]
200,0.74,[V.VCC]
200,0.82,[V.CVC]
200,0.65,[VC.CV]
200,0.83,[CV.VC]
200,1.0,[CV.CV]
200,0.62,[CV.VCC]
200,0.86,[CV.CVC]
200,0.64,[CCV.VC]
200,0.72,[V.CVCC]
200,0.86,[VC.CVC]
200,0.36,[VC.CCV]
200,0.76,[CVC.CV]
200,0.72,[CCV.CV]
300,0.96,[V]
