iterations,accuracy,syllable
0,0.37,[V]
0,0.21,[VC]
0,1.0,[CV]
0,0.16,[VCC]
0,0.37,[CVC]
0,0.4,[CCV]
0,0.26,[CVCC]
0,0.31,[CCVC]
0,0.11,[CCVCC]
0,0.4,[VV]
0,0.4,[CVV]
0,0.27,[VVC]
0,0.3,[VCV]
0,0.22,[CCVV]
0,0.13,[VVCC]
0,0.21,[VCVC]
0,0.23,[VCCV]
0,0.25,[CVVC]
0,0.98,[CVCV]
0,0.15,[CVVCC]
0,0.33,[CVCVC]
0,0.05,[CCVVC]
0,0.2,[VCVCC]
0,0.55,[VCCVC]
0,0.06,[VCCCV]
0,0.57,[CVCCV]
0,0.32,[CCVCV]
100,0.94,[V]
100,0.82,[VC]
100,1.0,[CV]
100,0.77,[VCC]
100,0.92,[CVC]
100,0.82,[CCV]
100,0.81,[CVCC]
100,0.72,[CCVC]
100,0.61,[CCVCC]
100,0.92,[VV]
100,0.87,[CVV]
100,0.91,[VVC]
100,0.94,[VCV]
100,0.69,[CCVV]
100,0.66,[VVCC]
100,0.82,[VCVC]
100,0.93,[VCCV]
100,0.82,[CVVC]
100,1.0,[CVCV]
100,0.67,[CVVCC]
100,0.91,[CVCVC]
100,0.53,[CCVVC]
100,0.79,[VCVCC]
100,0.98,[VCCVC]
100,0.52,[VCCCV]
100,0.95,[CVCCV]
100,0.79,[CCVCV]
200,0.98,[V]
200,0.95,[VC]
200,1.0,[CV]
200,0.94,[VCC]
200,0.99,[CVC]
200,0.87,[CCV]
200,0.88,[CVCC]
200,0.92,[CCVC]
200,0.87,[CCVCC]
200,0.99,[VV]
200,0.96,[CVV]
200,0.98,[VVC]
200,0.99,[VCV]
200,0.94,[CCVV]
200,0.92,[VVCC]
200,0.96,[VCVC]
200,0.98,[VCCV]
200,0.96,[CVVC]
200,1.0,[CVCV]
200,0.9,[CVVCC]
200,0.96,[CVCVC]
200,0.78,[CCVVC]
200,0.95,[VCVCC]
200,0.99,[VCCVC]
200,0.74,[VCCCV]
200,0.98,[CVCCV]
200,0.89,[CCVCV]
300,0.99,[V]
300,0.98,[VC]
300,1.0,[CV]
300,0.95,[VCC]
300,0.99,[CVC]
300,0.94,[CCV]
300,0.93,[CVCC]
300,0.91,[CCVC]
300,0.9,[CCVCC]
300,1.0,[VV]
300,0.98,[CVV]
300,0.99,[VVC]
300,0.99,[VCV]
300,0.96,[CCVV]
300,0.93,[VVCC]
300,0.99,[VCVC]
300,0.99,[VCCV]
300,0.99,[CVVC]
300,1.0,[CVCV]
300,0.99,[CVVCC]
300,0.99,[CVCVC]
300,0.86,[CCVVC]
300,0.98,[VCVCC]
300,1.0,[VCCVC]
300,0.86,[VCCCV]
300,1.0,[CVCCV]
300,0.98,[CCVCV]
400,1.0,[V]
400,1.0,[VC]
400,1.0,[CV]
400,0.99,[VCC]
400,0.99,[CVC]
400,0.99,[CCV]
400,0.92,[CVCC]
400,0.96,[CCVC]
400,0.87,[CCVCC]
400,0.99,[VV]
400,1.0,[CVV]
400,1.0,[VVC]
400,1.0,[VCV]
400,0.95,[CCVV]
400,0.93,[VVCC]
400,1.0,[VCVC]
400,0.98,[VCCV]
400,0.99,[CVVC]
400,1.0,[CVCV]
400,0.99,[CVVCC]
400,0.97,[CVCVC]
400,0.88,[CCVVC]
400,0.98,[VCVCC]
400,1.0,[VCCVC]
400,0.86,[VCCCV]
400,1.0,[CVCCV]
400,0.96,[CCVCV]
500,1.0,[V]
500,1.0,[VC]
500,1.0,[CV]
500,0.98,[VCC]
500,1.0,[CVC]
500,0.97,[CCV]
500,0.99,[CVCC]
500,0.96,[CCVC]
500,0.94,[CCVCC]
500,0.98,[VV]
500,0.99,[CVV]
500,0.98,[VVC]
500,1.0,[VCV]
500,1.0,[CCVV]
500,0.94,[VVCC]
500,0.98,[VCVC]
500,0.99,[VCCV]
500,0.97,[CVVC]
500,1.0,[CVCV]
500,0.97,[CVVCC]
500,0.97,[CVCVC]
500,0.87,[CCVVC]
500,0.98,[VCVCC]
500,1.0,[VCCVC]
500,0.92,[VCCCV]
500,1.0,[CVCCV]
500,0.96,[CCVCV]
600,0.99,[V]
600,1.0,[VC]
600,1.0,[CV]
600,0.97,[VCC]
600,1.0,[CVC]
600,0.96,[CCV]
600,0.94,[CVCC]
600,0.95,[CCVC]
600,0.92,[CCVCC]
600,1.0,[VV]
600,0.99,[CVV]
600,1.0,[VVC]
600,0.99,[VCV]
600,0.95,[CCVV]
600,0.97,[VVCC]
600,0.98,[VCVC]
600,1.0,[VCCV]
600,0.97,[CVVC]
600,1.0,[CVCV]
600,0.97,[CVVCC]
600,0.99,[CVCVC]
600,0.92,[CCVVC]
600,1.0,[VCVCC]
600,1.0,[VCCVC]
600,0.96,[VCCCV]
600,1.0,[CVCCV]
600,0.96,[CCVCV]
700,1.0,[V]
700,0.98,[VC]
700,1.0,[CV]
700,0.96,[VCC]
700,1.0,[CVC]
700,0.98,[CCV]
700,0.89,[CVCC]
700,0.98,[CCVC]
700,0.91,[CCVCC]
700,0.99,[VV]
700,1.0,[CVV]
700,0.99,[VVC]
700,1.0,[VCV]
700,0.96,[CCVV]
700,0.95,[VVCC]
700,0.99,[VCVC]
700,1.0,[VCCV]
700,0.99,[CVVC]
700,1.0,[CVCV]
700,0.98,[CVVCC]
700,1.0,[CVCVC]
700,0.91,[CCVVC]
700,0.99,[VCVCC]
700,1.0,[VCCVC]
700,0.95,[VCCCV]
700,1.0,[CVCCV]
700,0.98,[CCVCV]
800,1.0,[V]
800,0.98,[VC]
800,1.0,[CV]
800,0.98,[VCC]
800,0.99,[CVC]
800,0.99,[CCV]
800,0.96,[CVCC]
800,0.97,[CCVC]
800,0.97,[CCVCC]
800,0.99,[VV]
800,1.0,[CVV]
800,1.0,[VVC]
800,1.0,[VCV]
800,0.99,[CCVV]
800,0.98,[VVCC]
800,0.99,[VCVC]
800,1.0,[VCCV]
800,1.0,[CVVC]
800,1.0,[CVCV]
800,0.96,[CVVCC]
800,0.99,[CVCVC]
800,0.97,[CCVVC]
800,0.98,[VCVCC]
800,1.0,[VCCVC]
800,0.97,[VCCCV]
800,1.0,[CVCCV]
800,0.95,[CCVCV]
900,1.0,[V]
900,0.99,[VC]
900,1.0,[CV]
900,0.99,[VCC]
900,0.99,[CVC]
900,0.99,[CCV]
900,0.97,[CVCC]
900,0.98,[CCVC]
900,0.96,[CCVCC]
900,1.0,[VV]
900,0.99,[CVV]
900,1.0,[VVC]
900,1.0,[VCV]
900,0.98,[CCVV]
900,0.97,[VVCC]
900,0.98,[VCVC]
900,1.0,[VCCV]
900,0.98,[CVVC]
900,1.0,[CVCV]
900,1.0,[CVVCC]
900,0.99,[CVCVC]
900,0.97,[CCVVC]
900,0.98,[VCVCC]
900,1.0,[VCCVC]
900,0.97,[VCCCV]
900,1.0,[CVCCV]
900,1.0,[CCVCV]
1000,0.998,[V]
1000,0.991,[VC]
1000,1.0,[CV]
1000,0.988,[VCC]
1000,0.995,[CVC]
1000,0.989,[CCV]
1000,0.97,[CVCC]
1000,0.976,[CCVC]
1000,0.958,[CCVCC]
1000,0.997,[VV]
1000,1.0,[CVV]
1000,0.996,[VVC]
1000,0.996,[VCV]
1000,0.977,[CCVV]
1000,0.972,[VVCC]
1000,0.993,[VCVC]
1000,0.995,[VCCV]
1000,0.993,[CVVC]
1000,1.0,[CVCV]
1000,0.985,[CVVCC]
1000,0.997,[CVCVC]
1000,0.962,[CCVVC]
1000,0.995,[VCVCC]
1000,1.0,[VCCVC]
1000,0.966,[VCCCV]
1000,1.0,[CVCCV]
1000,0.986,[CCVCV]
