iterations,accuracy,syllable
0,0.31,[V]
0,0.17,[VC]
0,1.0,[CV]
0,0.06,[VCC]
0,0.34,[CVC]
0,0.36,[CCV]
0,0.19,[CVCC]
0,0.15,[CCVC]
0,0.12,[CCVCC]
0,0.27,[VV]
0,0.34,[CVV]
0,0.17,[VVC]
0,0.3,[VCV]
0,0.18,[CCVV]
0,0.13,[VVCC]
0,0.22,[VCVC]
0,0.28,[VCCV]
0,0.15,[CVVC]
0,1.0,[CVCV]
0,0.18,[CVVCC]
0,0.39,[CVCVC]
0,0.08,[CCVVC]
0,0.07,[VCVCC]
0,0.22,[VCCVC]
0,0.15,[VCCCV]
0,0.51,[CVCCV]
0,0.34,[CCVCV]
100,0.86,[V]
100,0.79,[VC]
100,1.0,[CV]
100,0.65,[VCC]
100,0.88,[CVC]
100,0.7,[CCV]
100,0.68,[CVCC]
100,0.68,[CCVC]
100,0.46,[CCVCC]
100,0.92,[VV]
100,0.88,[CVV]
100,0.75,[VVC]
100,0.89,[VCV]
100,0.79,[CCVV]
100,0.61,[VVCC]
100,0.82,[VCVC]
100,0.91,[VCCV]
100,0.84,[CVVC]
100,1.0,[CVCV]
100,0.66,[CVVCC]
100,0.81,[CVCVC]
100,0.63,[CCVVC]
100,0.63,[VCVCC]
100,0.76,[VCCVC]
100,0.64,[VCCCV]
100,0.94,[CVCCV]
100,0.81,[CCVCV]
200,0.95,[V]
200,0.92,[VC]
200,1.0,[CV]
200,0.76,[VCC]
200,0.96,[CVC]
200,0.78,[CCV]
200,0.88,[CVCC]
200,0.89,[CCVC]
200,0.81,[CCVCC]
200,0.96,[VV]
200,0.96,[CVV]
200,0.91,[VVC]
200,0.98,[VCV]
200,0.82,[CCVV]
200,0.84,[VVCC]
200,0.93,[VCVC]
200,0.92,[VCCV]
200,0.91,[CVVC]
200,1.0,[CVCV]
200,0.82,[CVVCC]
200,0.93,[CVCVC]
200,0.78,[CCVVC]
200,0.83,[VCVCC]
200,0.87,[VCCVC]
200,0.93,[VCCCV]
200,1.0,[CVCCV]
200,0.87,[CCVCV]
300,0.99,[V]
300,0.99,[VC]
300,1.0,[CV]
300,0.91,[VCC]
300,0.98,[CVC]
300,0.95,[CCV]
