iterations,accuracy,syllable
0,0.29,[V]
0,0.13,[VC]
0,1.0,[CV]
0,0.14,[VCC]
0,0.35,[CVC]
0,0.37,[CCV]
0,0.11,[CVCC]
0,0.1,[CCVC]
0,0.08,[CCVCC]
0,0.25,[VV]
0,0.36,[CVV]
0,0.13,[VVC]
0,0.35,[VCV]
0,0.14,[CCVV]
0,0.05,[VVCC]
0,0.16,[VCVC]
0,0.24,[VCCV]
0,0.15,[CVVC]
0,1.0,[CVCV]
0,0.07,[CVVCC]
0,0.35,[CVCVC]
0,0.11,[CCVVC]
0,0.13,[VCVCC]
0,0.2,[VCCVC]
0,0.1,[VCCCV]
0,0.47,[CVCCV]
0,0.33,[CCVCV]
100,0.52,[V]
100,0.3,[VC]
100,1.0,[CV]
100,0.23,[VCC]
100,0.58,[CVC]
100,0.49,[CCV]
100,0.27,[CVCC]
100,0.46,[CCVC]
100,0.18,[CCVCC]
100,0.45,[VV]
100,0.52,[CVV]
100,0.36,[VVC]
100,0.58,[VCV]
100,0.42,[CCVV]
100,0.21,[VVCC]
100,0.33,[VCVC]
100,0.34,[VCCV]
100,0.36,[CVVC]
100,1.0,[CVCV]
100,0.2,[CVVCC]
100,0.58,[CVCVC]
100,0.31,[CCVVC]
100,0.27,[VCVCC]
100,0.39,[VCCVC]
100,0.26,[VCCCV]
100,0.77,[CVCCV]
100,0.53,[CCVCV]
200,0.8,[V]
200,0.66,[VC]
200,1.0,[CV]
200,0.44,[VCC]
200,0.83,[CVC]
200,0.63,[CCV]
200,0.47,[CVCC]
200,0.55,[CCVC]
200,0.33,[CCVCC]
200,0.81,[VV]
200,0.85,[CVV]
200,0.68,[VVC]
200,0.88,[VCV]
200,0.7,[CCVV]
200,0.45,[VVCC]
200,0.73,[VCVC]
200,0.79,[VCCV]
200,0.65,[CVVC]
200,1.0,[CVCV]
200,0.5,[CVVCC]
200,0.87,[CVCVC]
200,0.67,[CCVVC]
200,0.51,[VCVCC]
200,0.67,[VCCVC]
200,0.6,[VCCCV]
200,0.91,[CVCCV]
200,0.76,[CCVCV]
300,0.91,[V]
300,0.84,[VC]
300,1.0,[CV]
300,0.61,[VCC]
300,0.92,[CVC]
300,0.86,[CCV]
300,0.7,[CVCC]
300,0.73,[CCVC]
300,0.52,[CCVCC]
300,0.91,[VV]
300,0.94,[CVV]
300,0.88,[VVC]
300,0.89,[VCV]
300,0.78,[CCVV]
300,0.58,[VVCC]
300,0.85,[VCVC]
300,0.93,[VCCV]
300,0.82,[CVVC]
300,1.0,[CVCV]
300,0.61,[CVVCC]
300,0.9,[CVCVC]
300,0.84,[CCVVC]
300,0.65,[VCVCC]
300,0.85,[VCCVC]
300,0.77,[VCCCV]
300,0.97,[CVCCV]
300,0.78,[CCVCV]
400,0.94,[V]
400,0.9,[VC]
400,1.0,[CV]
400,0.73,[VCC]
400,0.97,[CVC]
400,0.87,[CCV]
400,0.76,[CVCC]
400,0.8,[CCVC]
400,0.7,[CCVCC]
400,0.89,[VV]
400,0.95,[CVV]
400,0.89,[VVC]
400,0.96,[VCV]
400,0.82,[CCVV]
400,0.69,[VVCC]
400,0.88,[VCVC]
400,0.93,[VCCV]
400,0.95,[CVVC]
400,1.0,[CVCV]
400,0.7,[CVVCC]
400,0.96,[CVCVC]
400,0.88,[CCVVC]
400,0.75,[VCVCC]
400,0.88,[VCCVC]
400,0.82,[VCCCV]
400,0.99,[CVCCV]
400,0.83,[CCVCV]
500,0.98,[V]
500,0.93,[VC]
500,1.0,[CV]
500,0.76,[VCC]
500,0.98,[CVC]
500,0.87,[CCV]
500,0.8,[CVCC]
500,0.89,[CCVC]
500,0.78,[CCVCC]
500,0.95,[VV]
500,0.95,[CVV]
500,0.95,[VVC]
500,0.96,[VCV]
500,0.85,[CCVV]
500,0.74,[VVCC]
500,0.89,[VCVC]
500,0.96,[VCCV]
500,0.93,[CVVC]
500,1.0,[CVCV]
500,0.77,[CVVCC]
500,0.97,[CVCVC]
500,0.81,[CCVVC]
500,0.86,[VCVCC]
500,0.97,[VCCVC]
500,0.9,[VCCCV]
500,0.98,[CVCCV]
500,0.87,[CCVCV]
600,1.0,[V]
600,0.95,[VC]
600,1.0,[CV]
600,0.87,[VCC]
600,1.0,[CVC]
600,0.9,[CCV]
600,0.9,[CVCC]
600,0.97,[CCVC]
600,0.89,[CCVCC]
600,0.96,[VV]
600,0.99,[CVV]
600,0.97,[VVC]
600,1.0,[VCV]
600,0.97,[CCVV]
600,0.84,[VVCC]
600,0.98,[VCVC]
600,1.0,[VCCV]
600,1.0,[CVVC]
600,1.0,[CVCV]
600,0.89,[CVVCC]
600,0.96,[CVCVC]
600,0.94,[CCVVC]
600,0.91,[VCVCC]
600,0.98,[VCCVC]
600,0.99,[VCCCV]
600,1.0,[CVCCV]
600,0.93,[CCVCV]
700,0.98,[V]
700,0.99,[VC]
700,1.0,[CV]
700,0.94,[VCC]
700,1.0,[CVC]
700,0.94,[CCV]
700,0.91,[CVCC]
700,0.93,[CCVC]
700,0.81,[CCVCC]
700,0.98,[VV]
700,0.98,[CVV]
700,0.98,[VVC]
700,0.98,[VCV]
700,0.94,[CCVV]
700,0.95,[VVCC]
700,0.98,[VCVC]
700,0.99,[VCCV]
700,0.99,[CVVC]
700,1.0,[CVCV]
700,0.9,[CVVCC]
700,0.99,[CVCVC]
700,0.91,[CCVVC]
700,0.94,[VCVCC]
700,0.97,[VCCVC]
700,0.95,[VCCCV]
700,1.0,[CVCCV]
700,0.9,[CCVCV]
800,0.99,[V]
800,0.98,[VC]
800,1.0,[CV]
800,0.88,[VCC]
800,0.97,[CVC]
800,0.92,[CCV]
800,0.93,[CVCC]
800,0.94,[CCVC]
800,0.85,[CCVCC]
800,1.0,[VV]
800,0.99,[CVV]
800,0.97,[VVC]
800,1.0,[VCV]
800,0.96,[CCVV]
800,0.96,[VVCC]
800,0.99,[VCVC]
800,1.0,[VCCV]
800,1.0,[CVVC]
800,1.0,[CVCV]
800,0.96,[CVVCC]
800,0.99,[CVCVC]
800,0.96,[CCVVC]
800,0.97,[VCVCC]
800,1.0,[VCCVC]
800,0.97,[VCCCV]
800,1.0,[CVCCV]
800,0.96,[CCVCV]
900,0.99,[V]
900,0.98,[VC]
900,1.0,[CV]
900,0.94,[VCC]
900,1.0,[CVC]
900,0.98,[CCV]
900,0.94,[CVCC]
900,0.98,[CCVC]
900,0.94,[CCVCC]
900,0.99,[VV]
900,0.99,[CVV]
900,0.98,[VVC]
900,0.99,[VCV]
900,0.93,[CCVV]
900,0.94,[VVCC]
900,0.98,[VCVC]
900,0.98,[VCCV]
900,0.97,[CVVC]
900,1.0,[CVCV]
900,0.97,[CVVCC]
900,0.99,[CVCVC]
900,0.98,[CCVVC]
900,0.94,[VCVCC]
900,0.97,[VCCVC]
900,1.0,[VCCCV]
900,1.0,[CVCCV]
900,0.97,[CCVCV]
1000,0.991,[V]
