iterations,accuracy,syllable
0,0.26,[V]
0,0.17,[VC]
0,1.0,[CV]
0,0.14,[VCC]
0,0.33,[CVC]
0,0.32,[CCV]
0,0.3,[CVCC]
0,0.24,[CCVC]
0,0.14,[CCVCC]
0,0.33,[VV]
0,0.33,[CVV]
0,0.21,[VVC]
0,0.33,[VCV]
0,0.21,[CCVV]
0,0.08,[VVCC]
0,0.24,[VCVC]
0,0.21,[VCCV]
0,0.08,[CVVC]
0,0.99,[CVCV]
0,0.18,[CVVCC]
0,0.31,[CVCVC]
0,0.06,[CCVVC]
0,0.2,[VCVCC]
0,0.59,[VCCVC]
0,0.03,[VCCCV]
0,0.52,[CVCCV]
0,0.24,[CCVCV]
100,0.9,[V]
100,0.85,[VC]
100,1.0,[CV]
100,0.83,[VCC]
100,0.85,[CVC]
100,0.87,[CCV]
100,0.69,[CVCC]
100,0.78,[CCVC]
100,0.63,[CCVCC]
100,0.92,[VV]
100,0.88,[CVV]
100,0.86,[VVC]
100,0.9,[VCV]
100,0.69,[CCVV]
100,0.68,[VVCC]
100,0.79,[VCVC]
100,0.89,[VCCV]
100,0.77,[CVVC]
100,1.0,[CVCV]
100,0.74,[CVVCC]
100,0.89,[CVCVC]
100,0.5,[CCVVC]
100,0.8,[VCVCC]
100,0.98,[VCCVC]
100,0.57,[VCCCV]
100,0.95,[CVCCV]
100,0.77,[CCVCV]
200,0.96,[V]
200,0.95,[VC]
200,1.0,[CV]
200,0.88,[VCC]
200,0.93,[CVC]
200,0.87,[CCV]
200,0.8,[CVCC]
200,0.87,[CCVC]
200,0.82,[CCVCC]
200,0.94,[VV]
200,0.94,[CVV]
200,0.93,[VVC]
200,0.94,[VCV]
200,0.85,[CCVV]
200,0.89,[VVCC]
200,0.91,[VCVC]
200,0.94,[VCCV]
200,0.84,[CVVC]
200,1.0,[CVCV]
200,0.77,[CVVCC]
200,0.91,[CVCVC]
200,0.64,[CCVVC]
200,0.94,[VCVCC]
200,0.98,[VCCVC]
200,0.66,[VCCCV]
200,0.96,[CVCCV]
200,0.87,[CCVCV]
300,0.97,[V]
300,0.94,[VC]
300,1.0,[CV]
300,0.9,[VCC]
300,0.98,[CVC]
300,0.92,[CCV]
300,0.9,[CVCC]
300,0.93,[CCVC]
300,0.79,[CCVCC]
300,0.98,[VV]
300,0.97,[CVV]
300,0.96,[VVC]
300,0.98,[VCV]
300,0.88,[CCVV]
300,0.91,[VVCC]
300,0.94,[VCVC]
300,0.98,[VCCV]
300,0.96,[CVVC]
300,1.0,[CVCV]
300,0.94,[CVVCC]
300,1.0,[CVCVC]
300,0.77,[CCVVC]
300,0.93,[VCVCC]
300,0.98,[VCCVC]
300,0.88,[VCCCV]
300,0.99,[CVCCV]
300,0.93,[CCVCV]
400,1.0,[V]
400,0.99,[VC]
400,1.0,[CV]
400,0.95,[VCC]
400,0.99,[CVC]
400,0.93,[CCV]
400,0.92,[CVCC]
400,0.9,[CCVC]
400,0.89,[CCVCC]
400,0.98,[VV]
400,0.96,[CVV]
400,0.97,[VVC]
400,1.0,[VCV]
400,0.88,[CCVV]
400,0.85,[VVCC]
400,0.95,[VCVC]
400,0.98,[VCCV]
400,0.96,[CVVC]
400,1.0,[CVCV]
400,0.9,[CVVCC]
400,0.98,[CVCVC]
400,0.79,[CCVVC]
400,0.96,[VCVCC]
400,1.0,[VCCVC]
400,0.84,[VCCCV]
400,0.99,[CVCCV]
400,0.94,[CCVCV]
500,0.99,[V]
500,0.96,[VC]
500,1.0,[CV]
500,0.95,[VCC]
500,0.97,[CVC]
500,0.95,[CCV]
500,0.91,[CVCC]
500,0.95,[CCVC]
500,0.95,[CCVCC]
500,0.98,[VV]
500,1.0,[CVV]
500,1.0,[VVC]
500,0.99,[VCV]
500,0.88,[CCVV]
500,0.9,[VVCC]
500,0.95,[VCVC]
500,0.96,[VCCV]
500,0.99,[CVVC]
500,1.0,[CVCV]
500,0.92,[CVVCC]
500,0.98,[CVCVC]
500,0.84,[CCVVC]
500,0.97,[VCVCC]
500,1.0,[VCCVC]
500,0.87,[VCCCV]
500,1.0,[CVCCV]
500,0.95,[CCVCV]
600,0.99,[V]
600,0.99,[VC]
600,1.0,[CV]
600,0.93,[VCC]
600,0.98,[CVC]
600,0.97,[CCV]
600,0.94,[CVCC]
600,0.97,[CCVC]
600,0.87,[CCVCC]
600,0.98,[VV]
600,1.0,[CVV]
600,1.0,[VVC]
600,1.0,[VCV]
600,0.97,[CCVV]
600,0.92,[VVCC]
600,0.96,[VCVC]
600,0.98,[VCCV]
600,0.98,[CVVC]
600,1.0,[CVCV]
600,0.94,[CVVCC]
600,1.0,[CVCVC]
600,0.9,[CCVVC]
600,0.98,[VCVCC]
600,1.0,[VCCVC]
600,0.92,[VCCCV]
600,0.98,[CVCCV]
600,0.96,[CCVCV]
700,0.98,[V]
700,0.99,[VC]
700,1.0,[CV]
700,0.97,[VCC]
700,1.0,[CVC]
700,0.93,[CCV]
700,0.95,[CVCC]
700,0.96,[CCVC]
700,0.84,[CCVCC]
700,1.0,[VV]
700,0.99,[CVV]
700,0.99,[VVC]
700,1.0,[VCV]
700,0.97,[CCVV]
700,0.97,[VVCC]
700,1.0,[VCVC]
700,0.99,[VCCV]
700,0.99,[CVVC]
700,1.0,[CVCV]
700,0.96,[CVVCC]
700,1.0,[CVCVC]
700,0.92,[CCVVC]
700,0.98,[VCVCC]
700,1.0,[VCCVC]
700,0.91,[VCCCV]
700,1.0,[CVCCV]
700,0.96,[CCVCV]
800,1.0,[V]
800,0.98,[VC]
800,1.0,[CV]
800,1.0,[VCC]
800,0.99,[CVC]
800,0.98,[CCV]
800,0.97,[CVCC]
800,0.97,[CCVC]
800,0.91,[CCVCC]
800,0.99,[VV]
800,1.0,[CVV]
800,0.99,[VVC]
800,0.99,[VCV]
800,0.92,[CCVV]
800,0.93,[VVCC]
800,0.96,[VCVC]
800,1.0,[VCCV]
800,0.98,[CVVC]
800,1.0,[CVCV]
800,0.95,[CVVCC]
800,1.0,[CVCVC]
800,0.83,[CCVVC]
800,0.99,[VCVCC]
800,1.0,[VCCVC]
800,0.9,[VCCCV]
800,1.0,[CVCCV]
800,0.97,[CCVCV]
900,0.99,[V]
900,0.99,[VC]
900,1.0,[CV]
900,0.98,[VCC]
900,0.98,[CVC]
900,0.96,[CCV]
900,0.98,[CVCC]
900,0.97,[CCVC]
900,0.93,[CCVCC]
900,0.98,[VV]
900,0.99,[CVV]
900,0.99,[VVC]
900,0.99,[VCV]
900,0.96,[CCVV]
900,0.97,[VVCC]
900,0.99,[VCVC]
900,0.99,[VCCV]
900,0.99,[CVVC]
900,1.0,[CVCV]
900,0.97,[CVVCC]
900,0.98,[CVCVC]
900,0.91,[CCVVC]
900,0.99,[VCVCC]
900,1.0,[VCCVC]
900,0.97,[VCCCV]
900,1.0,[CVCCV]
900,0.97,[CCVCV]
1000,0.995,[V]
1000,0.987,[VC]
1000,1.0,[CV]
1000,0.985,[VCC]
1000,0.994,[CVC]
1000,0.963,[CCV]
1000,0.963,[CVCC]
1000,0.969,[CCVC]
1000,0.943,[CCVCC]
1000,0.995,[VV]
1000,0.995,[CVV]
1000,0.993,[VVC]
1000,0.996,[VCV]
1000,0.967,[CCVV]
1000,0.948,[VVCC]
1000,0.99,[VCVC]
1000,0.996,[VCCV]
1000,0.982,[CVVC]
1000,1.0,[CVCV]
1000,0.977,[CVVCC]
1000,0.991,[CVCVC]
1000,0.916,[CCVVC]
1000,0.98,[VCVCC]
1000,1.0,[VCCVC]
1000,0.925,[VCCCV]
1000,0.997,[CVCCV]
1000,0.969,[CCVCV]
