iterations,accuracy,syllable
0,0.37,[V]
0,0.15,[VC]
0,1.0,[CV]
0,0.11,[VCC]
0,0.3,[CVC]
0,0.37,[CCV]
0,0.2,[CVCC]
0,0.17,[CCVC]
0,0.08,[CCVCC]
0,0.33,[VV]
0,0.39,[CVV]
0,0.23,[VVC]
0,0.3,[VCV]
0,0.21,[CCVV]
0,0.08,[VVCC]
0,0.12,[VCVC]
0,0.18,[VCCV]
0,0.15,[CVVC]
0,1.0,[CVCV]
0,0.12,[CVVCC]
0,0.27,[CVCVC]
0,0.11,[CCVVC]
0,0.09,[VCVCC]
0,0.1,[VCCVC]
0,0.17,[VCCCV]
0,0.49,[CVCCV]
0,0.3,[CCVCV]
100,0.81,[V]
100,0.71,[VC]
100,1.0,[CV]
100,0.45,[VCC]
100,0.81,[CVC]
100,0.59,[CCV]
100,0.45,[CVCC]
100,0.47,[CCVC]
100,0.34,[CCVCC]
100,0.84,[VV]
100,0.86,[CVV]
100,0.72,[VVC]
100,0.81,[VCV]
100,0.5,[CCVV]
100,0.48,[VVCC]
100,0.64,[VCVC]
100,0.73,[VCCV]
100,0.64,[CVVC]
100,1.0,[CVCV]
100,0.46,[CVVCC]
100,0.69,[CVCVC]
100,0.48,[CCVVC]
100,0.44,[VCVCC]
100,0.69,[VCCVC]
100,0.58,[VCCCV]
100,0.87,[CVCCV]
100,0.61,[CCVCV]
200,0.85,[V]
200,0.9,[VC]
200,1.0,[CV]
200,0.52,[VCC]
200,0.85,[CVC]
200,0.71,[CCV]
200,0.62,[CVCC]
200,0.62,[CCVC]
200,0.49,[CCVCC]
200,0.88,[VV]
200,0.91,[CVV]
200,0.85,[VVC]
200,0.93,[VCV]
200,0.64,[CCVV]
200,0.51,[VVCC]
200,0.86,[VCVC]
200,0.81,[VCCV]
200,0.84,[CVVC]
200,1.0,[CVCV]
200,0.57,[CVVCC]
200,0.94,[CVCVC]
200,0.65,[CCVVC]
200,0.54,[VCVCC]
200,0.85,[VCCVC]
200,0.79,[VCCCV]
200,0.92,[CVCCV]
200,0.65,[CCVCV]
300,0.93,[V]
300,0.8,[VC]
300,1.0,[CV]
300,0.61,[VCC]
300,0.94,[CVC]
300,0.7,[CCV]
300,0.65,[CVCC]
300,0.7,[CCVC]
300,0.54,[CCVCC]
300,0.97,[VV]
300,0.92,[CVV]
300,0.87,[VVC]
300,0.89,[VCV]
300,0.65,[CCVV]
300,0.67,[VVCC]
300,0.83,[VCVC]
