iterations,accuracy,syllable
0,0.3,[V]
0,0.19,[VC]
0,1.0,[CV]
0,0.03,[VCC]
0,0.37,[CVC]
0,0.33,[CCV]
0,0.21,[CVCC]
0,0.17,[CCVC]
0,0.06,[CCVCC]
0,0.46,[VV]
0,0.43,[CVV]
0,0.17,[VVC]
0,0.33,[VCV]
0,0.14,[CCVV]
0,0.18,[VVCC]
0,0.18,[VCVC]
0,0.24,[VCCV]
0,0.2,[CVVC]
0,1.0,[CVCV]
0,0.18,[CVVCC]
0,0.29,[CVCVC]
0,0.13,[CCVVC]
0,0.17,[VCVCC]
0,0.15,[VCCVC]
0,0.11,[VCCCV]
0,0.45,[CVCCV]
0,0.37,[CCVCV]
100,0.87,[V]
100,0.78,[VC]
100,1.0,[CV]
100,0.59,[VCC]
100,0.84,[CVC]
100,0.72,[CCV]
100,0.58,[CVCC]
100,0.64,[CCVC]
100,0.53,[CCVCC]
100,0.89,[VV]
100,0.84,[CVV]
100,0.76,[VVC]
100,0.89,[VCV]
100,0.71,[CCVV]
100,0.53,[VVCC]
100,0.7,[VCVC]
100,0.87,[VCCV]
100,0.8,[CVVC]
100,1.0,[CVCV]
100,0.55,[CVVCC]
100,0.86,[CVCVC]
100,0.68,[CCVVC]
100,0.53,[VCVCC]
100,0.89,[VCCVC]
100,0.74,[VCCCV]
100,0.91,[CVCCV]
100,0.71,[CCVCV]
200,0.97,[V]
200,0.87,[VC]
200,1.0,[CV]
200,0.64,[VCC]
200,0.94,[CVC]
200,0.8,[CCV]
200,0.67,[CVCC]
200,0.75,[CCVC]
200,0.64,[CCVCC]
200,0.94,[VV]
200,0.93,[CVV]
200,0.82,[VVC]
200,0.93,[VCV]
200,0.76,[CCVV]
200,0.65,[VVCC]
200,0.89,[VCVC]
200,0.89,[VCCV]
200,0.9,[CVVC]
200,1.0,[CVCV]
200,0.58,[CVVCC]
200,0.9,[CVCVC]
200,0.76,[CCVVC]
200,0.74,[VCVCC]
200,0.84,[VCCVC]
200,0.77,[VCCCV]
200,0.95,[CVCCV]
200,0.83,[CCVCV]
300,0.96,[V]
300,0.93,[VC]
300,1.0,[CV]
300,0.72,[VCC]
300,0.98,[CVC]
300,0.89,[CCV]
300,0.75,[CVCC]
300,0.91,[CCVC]
300,0.76,[CCVCC]
300,0.99,[VV]
300,0.96,[CVV]
300,0.94,[VVC]
300,0.99,[VCV]
300,0.84,[CCVV]
300,0.76,[VVCC]
300,0.94,[VCVC]
300,0.99,[VCCV]
300,0.97,[CVVC]
300,1.0,[CVCV]
300,0.79,[CVVCC]
300,0.96,[CVCVC]
300,0.9,[CCVVC]
300,0.74,[VCVCC]
300,0.99,[VCCVC]
300,0.96,[VCCCV]
300,0.99,[CVCCV]
300,0.88,[CCVCV]
400,0.95,[V]
400,0.96,[VC]
400,1.0,[CV]
400,0.73,[VCC]
400,0.97,[CVC]
400,0.96,[CCV]
400,0.7,[CVCC]
400,0.87,[CCVC]
400,0.73,[CCVCC]
400,0.99,[VV]
400,0.97,[CVV]
400,0.99,[VVC]
400,0.99,[VCV]
400,0.95,[CCVV]
400,0.75,[VVCC]
400,0.98,[VCVC]
400,0.94,[VCCV]
400,0.91,[CVVC]
400,1.0,[CVCV]
400,0.79,[CVVCC]
400,0.98,[CVCVC]
400,0.93,[CCVVC]
400,0.76,[VCVCC]
400,0.97,[VCCVC]
400,0.96,[VCCCV]
400,0.97,[CVCCV]
400,0.96,[CCVCV]
500,0.99,[V]
500,0.97,[VC]
500,1.0,[CV]
500,0.81,[VCC]
500,0.98,[CVC]
500,0.94,[CCV]
500,0.79,[CVCC]
500,0.94,[CCVC]
500,0.64,[CCVCC]
500,0.98,[VV]
500,1.0,[CVV]
500,0.99,[VVC]
500,0.98,[VCV]
500,0.87,[CCVV]
500,0.79,[VVCC]
500,0.96,[VCVC]
500,0.98,[VCCV]
