iterations,accuracy,syllable
0,0.35,[V]
0,0.21,[VC]
0,1.0,[CV]
0,0.21,[VCC]
0,0.45,[CVC]
0,0.39,[CCV]
0,0.2,[CVCC]
0,0.16,[CCVC]
0,0.12,[CCVCC]
100,0.6,[V]
100,0.64,[VC]
100,1.0,[CV]
100,0.49,[VCC]
100,0.81,[CVC]
100,0.46,[CCV]
100,0.51,[CVCC]
100,0.58,[CCVC]
100,0.32,[CCVCC]
200,0.74,[V]
200,0.73,[VC]
200,1.0,[CV]
200,0.65,[VCC]
200,0.96,[CVC]
200,0.6,[CCV]
200,0.62,[CVCC]
200,0.59,[CCVC]
200,0.38,[CCVCC]
300,0.67,[V]
300,0.8,[VC]
300,1.0,[CV]
300,0.66,[VCC]
300,0.9,[CVC]
300,0.61,[CCV]
300,0.66,[CVCC]
300,0.7,[CCVC]
300,0.45,[CCVCC]
400,0.79,[V]
400,0.9,[VC]
400,1.0,[CV]
400,0.76,[VCC]
400,0.98,[CVC]
400,0.8,[CCV]
400,0.77,[CVCC]
400,0.7,[CCVC]
400,0.52,[CCVCC]
500,0.85,[V]
500,0.88,[VC]
500,1.0,[CV]
500,0.82,[VCC]
500,0.95,[CVC]
500,0.7,[CCV]
500,0.76,[CVCC]
500,0.78,[CCVC]
500,0.62,[CCVCC]
600,0.89,[V]
600,0.92,[VC]
600,1.0,[CV]
600,0.82,[VCC]
600,0.97,[CVC]
600,0.82,[CCV]
600,0.83,[CVCC]
600,0.76,[CCVC]
600,0.65,[CCVCC]
700,0.85,[V]
700,0.92,[VC]
700,1.0,[CV]
700,0.83,[VCC]
700,0.99,[CVC]
700,0.81,[CCV]
700,0.81,[CVCC]
700,0.82,[CCVC]
700,0.74,[CCVCC]
800,0.93,[V]
800,0.96,[VC]
800,1.0,[CV]
800,0.88,[VCC]
800,1.0,[CVC]
800,0.84,[CCV]
800,0.87,[CVCC]
800,0.84,[CCVC]
800,0.73,[CCVCC]
900,0.95,[V]
900,0.93,[VC]
900,1.0,[CV]
900,0.91,[VCC]
900,0.99,[CVC]
900,0.9,[CCV]
900,0.84,[CVCC]
900,0.91,[CCVC]
900,0.82,[CCVCC]
1000,0.939,[V]
1000,0.96,[VC]
1000,1.0,[CV]
1000,0.909,[VCC]
1000,0.994,[CVC]
1000,0.859,[CCV]
1000,0.876,[CVCC]
1000,0.876,[CCVC]
1000,0.752,[CCVCC]
