iterations,accuracy,syllable
0,0.35,[V]
0,0.25,[VC]
0,1.0,[CV]
0,0.11,[VCC]
0,0.35,[CVC]
0,0.33,[CCV]
0,0.18,[CVCC]
0,0.18,[CCVC]
0,0.12,[CCVCC]
100,0.6,[V]
100,0.63,[VC]
100,1.0,[CV]
100,0.47,[VCC]
100,0.76,[CVC]
100,0.58,[CCV]
100,0.52,[CVCC]
100,0.5,[CCVC]
100,0.36,[CCVCC]
200,0.78,[V]
200,0.84,[VC]
200,1.0,[CV]
200,0.7,[VCC]
200,0.93,[CVC]
200,0.68,[CCV]
200,0.52,[CVCC]
200,0.64,[CCVC]
200,0.41,[CCVCC]
300,0.9,[V]
300,0.91,[VC]
300,1.0,[CV]
300,0.71,[VCC]
300,0.97,[CVC]
300,0.64,[CCV]
300,0.75,[CVCC]
300,0.78,[CCVC]
300,0.52,[CCVCC]
400,0.92,[V]
400,0.91,[VC]
400,1.0,[CV]
400,0.85,[VCC]
400,0.95,[CVC]
400,0.78,[CCV]
400,0.73,[CVCC]
400,0.76,[CCVC]
400,0.64,[CCVCC]
500,0.84,[V]
500,0.93,[VC]
500,1.0,[CV]
500,0.82,[VCC]
500,0.95,[CVC]
500,0.88,[CCV]
500,0.8,[CVCC]
500,0.88,[CCVC]
500,0.7,[CCVCC]
600,0.95,[V]
600,0.93,[VC]
600,1.0,[CV]
600,0.83,[VCC]
600,0.98,[CVC]
600,0.79,[CCV]
600,0.85,[CVCC]
600,0.83,[CCVC]
600,0.78,[CCVCC]
700,0.9,[V]
700,0.95,[VC]
700,1.0,[CV]
700,0.95,[VCC]
700,1.0,[CVC]
700,0.82,[CCV]
700,0.85,[CVCC]
700,0.91,[CCVC]
700,0.81,[CCVCC]
800,0.98,[V]
800,0.97,[VC]
800,1.0,[CV]
800,0.95,[VCC]
800,0.98,[CVC]
800,0.86,[CCV]
800,0.88,[CVCC]
800,0.88,[CCVC]
800,0.87,[CCVCC]
900,0.95,[V]
900,0.94,[VC]
900,1.0,[CV]
900,0.97,[VCC]
900,1.0,[CVC]
900,0.91,[CCV]
900,0.93,[CVCC]
900,0.84,[CCVC]
900,0.84,[CCVCC]
1000,0.957,[V]
1000,0.97,[VC]
1000,1.0,[CV]
1000,0.936,[VCC]
1000,0.987,[CVC]
1000,0.9,[CCV]
1000,0.914,[CVCC]
1000,0.906,[CCVC]
1000,0.808,[CCVCC]
