iterations,accuracy,syllable
0,0.35,[V]
0,0.17,[VC]
0,1.0,[CV]
0,0.1,[VCC]
0,0.39,[CVC]
0,0.32,[CCV]
0,0.17,[CVCC]
0,0.17,[CCVC]
0,0.12,[CCVCC]
100,0.67,[V]
100,0.69,[VC]
100,1.0,[CV]
100,0.44,[VCC]
100,0.78,[CVC]
100,0.55,[CCV]
100,0.56,[CVCC]
100,0.49,[CCVC]
100,0.36,[CCVCC]
200,0.81,[V]
200,0.74,[VC]
200,1.0,[CV]
200,0.57,[VCC]
200,0.88,[CVC]
200,0.67,[CCV]
200,0.6,[CVCC]
200,0.65,[CCVC]
200,0.4,[CCVCC]
300,0.92,[V]
300,0.91,[VC]
300,1.0,[CV]
300,0.7,[VCC]
300,0.93,[CVC]
300,0.8,[CCV]
300,0.77,[CVCC]
300,0.75,[CCVC]
300,0.61,[CCVCC]
400,0.86,[V]
400,0.93,[VC]
400,1.0,[CV]
400,0.81,[VCC]
400,0.97,[CVC]
400,0.86,[CCV]
400,0.72,[CVCC]
400,0.86,[CCVC]
400,0.7,[CCVCC]
500,0.93,[V]
500,0.93,[VC]
500,1.0,[CV]
500,0.71,[VCC]
500,0.99,[CVC]
500,0.84,[CCV]
500,0.85,[CVCC]
500,0.83,[CCVC]
500,0.77,[CCVCC]
600,0.95,[V]
600,0.97,[VC]
600,1.0,[CV]
600,0.85,[VCC]
600,0.99,[CVC]
600,0.94,[CCV]
600,0.9,[CVCC]
600,0.88,[CCVC]
600,0.82,[CCVCC]
700,0.98,[V]
700,0.94,[VC]
700,1.0,[CV]
700,0.88,[VCC]
700,0.98,[CVC]
700,0.92,[CCV]
700,0.87,[CVCC]
700,0.89,[CCVC]
700,0.86,[CCVCC]
800,0.98,[V]
800,0.97,[VC]
800,1.0,[CV]
800,0.9,[VCC]
800,1.0,[CVC]
800,0.89,[CCV]
800,0.94,[CVCC]
800,0.95,[CCVC]
800,0.86,[CCVCC]
900,0.96,[V]
900,0.96,[VC]
900,1.0,[CV]
900,0.86,[VCC]
900,1.0,[CVC]
900,0.94,[CCV]
900,0.94,[CVCC]
900,0.91,[CCVC]
900,0.89,[CCVCC]
1000,0.968,[V]
1000,0.973,[VC]
1000,1.0,[CV]
1000,0.893,[VCC]
1000,0.994,[CVC]
1000,0.914,[CCV]
1000,0.904,[CVCC]
1000,0.919,[CCVC]
1000,0.869,[CCVCC]
