iterations,accuracy,syllable
0,0.26,[V]
0,0.24,[VC]
0,1.0,[CV]
0,0.11,[VCC]
0,0.35,[CVC]
0,0.37,[CCV]
0,0.15,[CVCC]
0,0.14,[CCVC]
0,0.12,[CCVCC]
100,0.49,[V]
100,0.32,[VC]
100,1.0,[CV]
100,0.26,[VCC]
100,0.6,[CVC]
100,0.36,[CCV]
100,0.31,[CVCC]
100,0.28,[CCVC]
100,0.28,[CCVCC]
200,0.57,[V]
200,0.53,[VC]
200,1.0,[CV]
200,0.42,[VCC]
200,0.86,[CVC]
200,0.58,[CCV]
200,0.58,[CVCC]
200,0.5,[CCVC]
200,0.38,[CCVCC]
300,0.75,[V]
300,0.65,[VC]
300,1.0,[CV]
300,0.55,[VCC]
300,0.91,[CVC]
300,0.57,[CCV]
300,0.53,[CVCC]
300,0.59,[CCVC]
300,0.36,[CCVCC]
400,0.9,[V]
400,0.82,[VC]
400,1.0,[CV]
400,0.63,[VCC]
400,0.93,[CVC]
400,0.7,[CCV]
400,0.75,[CVCC]
400,0.79,[CCVC]
400,0.59,[CCVCC]
500,0.92,[V]
500,0.81,[VC]
500,1.0,[CV]
500,0.64,[VCC]
500,1.0,[CVC]
500,0.74,[CCV]
500,0.73,[CVCC]
500,0.79,[CCVC]
500,0.68,[CCVCC]
600,0.94,[V]
600,0.85,[VC]
600,1.0,[CV]
600,0.83,[VCC]
600,0.98,[CVC]
600,0.77,[CCV]
600,0.8,[CVCC]
600,0.8,[CCVC]
600,0.68,[CCVCC]
700,0.95,[V]
700,0.89,[VC]
700,1.0,[CV]
700,0.76,[VCC]
700,0.98,[CVC]
700,0.78,[CCV]
700,0.86,[CVCC]
700,0.83,[CCVC]
700,0.66,[CCVCC]
800,0.92,[V]
800,0.94,[VC]
800,1.0,[CV]
800,0.88,[VCC]
800,0.98,[CVC]
800,0.81,[CCV]
800,0.92,[CVCC]
800,0.83,[CCVC]
800,0.71,[CCVCC]
900,0.97,[V]
900,0.94,[VC]
900,1.0,[CV]
900,0.88,[VCC]
900,1.0,[CVC]
900,0.86,[CCV]
900,0.86,[CVCC]
900,0.84,[CCVC]
900,0.76,[CCVCC]
1000,0.971,[V]
1000,0.967,[VC]
1000,1.0,[CV]
1000,0.844,[VCC]
1000,0.995,[CVC]
1000,0.855,[CCV]
1000,0.866,[CVCC]
1000,0.87,[CCVC]
1000,0.788,[CCVCC]
