iterations,accuracy,syllable
0,0.35,[V]
0,0.17,[VC]
0,1.0,[CV]
0,0.13,[VCC]
0,0.43,[CVC]
0,0.3,[CCV]
0,0.12,[CVCC]
0,0.16,[CCVC]
0,0.15,[CCVCC]
100,0.67,[V]
100,0.64,[VC]
100,1.0,[CV]
100,0.5,[VCC]
100,0.89,[CVC]
100,0.59,[CCV]
100,0.58,[CVCC]
100,0.6,[CCVC]
100,0.37,[CCVCC]
200,0.81,[V]
200,0.75,[VC]
200,1.0,[CV]
200,0.65,[VCC]
200,0.95,[CVC]
200,0.67,[CCV]
200,0.84,[CVCC]
200,0.62,[CCVC]
200,0.63,[CCVCC]
300,0.91,[V]
300,0.85,[VC]
300,1.0,[CV]
300,0.81,[VCC]
300,0.98,[CVC]
300,0.74,[CCV]
300,0.75,[CVCC]
300,0.81,[CCVC]
300,0.66,[CCVCC]
400,0.9,[V]
400,0.93,[VC]
400,1.0,[CV]
400,0.82,[VCC]
400,0.95,[CVC]
400,0.81,[CCV]
400,0.88,[CVCC]
400,0.75,[CCVC]
400,0.62,[CCVCC]
500,0.95,[V]
500,0.95,[VC]
500,1.0,[CV]
500,0.81,[VCC]
500,0.98,[CVC]
500,0.82,[CCV]
500,0.84,[CVCC]
500,0.76,[CCVC]
500,0.7,[CCVCC]
600,0.93,[V]
600,0.97,[VC]
600,1.0,[CV]
600,0.82,[VCC]
600,0.97,[CVC]
600,0.81,[CCV]
600,0.95,[CVCC]
600,0.81,[CCVC]
600,0.79,[CCVCC]
700,0.98,[V]
700,0.97,[VC]
700,1.0,[CV]
700,0.91,[VCC]
700,1.0,[CVC]
700,0.82,[CCV]
700,0.92,[CVCC]
700,0.91,[CCVC]
700,0.72,[CCVCC]
800,0.95,[V]
800,0.93,[VC]
800,1.0,[CV]
800,0.91,[VCC]
800,0.99,[CVC]
800,0.82,[CCV]
800,0.97,[CVCC]
800,0.85,[CCVC]
800,0.89,[CCVCC]
900,0.98,[V]
900,0.97,[VC]
900,1.0,[CV]
900,0.92,[VCC]
900,1.0,[CVC]
900,0.89,[CCV]
900,0.98,[CVCC]
900,0.91,[CCVC]
900,0.89,[CCVCC]
1000,0.977,[V]
1000,0.972,[VC]
1000,1.0,[CV]
1000,0.961,[VCC]
1000,0.997,[CVC]
1000,0.875,[CCV]
1000,0.975,[CVCC]
1000,0.878,[CCVC]
1000,0.873,[CCVCC]
