iterations,accuracy,syllable
0,0.33,[V]
0,0.26,[VC]
0,1.0,[CV]
0,0.18,[VCC]
0,0.32,[CVC]
0,0.29,[CCV]
0,0.15,[CVCC]
0,0.3,[CCVC]
0,0.11,[CCVCC]
100,0.39,[V]
100,0.48,[VC]
100,1.0,[CV]
100,0.38,[VCC]
100,0.7,[CVC]
100,0.47,[CCV]
100,0.6,[CVCC]
100,0.52,[CCVC]
100,0.3,[CCVCC]
200,0.55,[V]
200,0.71,[VC]
200,1.0,[CV]
200,0.61,[VCC]
200,0.87,[CVC]
200,0.71,[CCV]
200,0.73,[CVCC]
200,0.51,[CCVC]
200,0.56,[CCVCC]
300,0.7,[V]
300,0.81,[VC]
300,1.0,[CV]
300,0.72,[VCC]
300,0.87,[CVC]
300,0.6,[CCV]
300,0.74,[CVCC]
300,0.62,[CCVC]
300,0.45,[CCVCC]
400,0.81,[V]
400,0.89,[VC]
400,1.0,[CV]
400,0.87,[VCC]
400,0.94,[CVC]
400,0.69,[CCV]
400,0.82,[CVCC]
400,0.69,[CCVC]
400,0.63,[CCVCC]
500,0.81,[V]
500,0.91,[VC]
500,1.0,[CV]
500,0.86,[VCC]
500,0.97,[CVC]
500,0.8,[CCV]
500,0.83,[CVCC]
500,0.81,[CCVC]
500,0.74,[CCVCC]
600,0.85,[V]
600,0.93,[VC]
600,1.0,[CV]
600,0.93,[VCC]
600,0.99,[CVC]
600,0.75,[CCV]
600,0.93,[CVCC]
600,0.76,[CCVC]
600,0.65,[CCVCC]
700,0.93,[V]
700,0.96,[VC]
700,1.0,[CV]
700,0.96,[VCC]
700,0.98,[CVC]
700,0.78,[CCV]
700,0.9,[CVCC]
700,0.83,[CCVC]
700,0.73,[CCVCC]
800,0.94,[V]
800,0.96,[VC]
800,1.0,[CV]
800,0.95,[VCC]
800,0.99,[CVC]
800,0.83,[CCV]
800,0.96,[CVCC]
800,0.89,[CCVC]
800,0.81,[CCVCC]
900,0.9,[V]
900,0.95,[VC]
900,1.0,[CV]
900,0.91,[VCC]
900,0.97,[CVC]
900,0.83,[CCV]
900,0.97,[CVCC]
900,0.86,[CCVC]
900,0.79,[CCVCC]
1000,0.921,[V]
1000,0.956,[VC]
1000,1.0,[CV]
1000,0.94,[VCC]
1000,0.997,[CVC]
1000,0.852,[CCV]
1000,0.931,[CVCC]
1000,0.847,[CCVC]
1000,0.832,[CCVCC]
