iterations,accuracy,syllable
0,0.37,[V]
0,0.16,[VC]
0,1.0,[CV]
0,0.17,[VCC]
0,0.34,[CVC]
0,0.32,[CCV]
0,0.28,[CVCC]
0,0.29,[CCVC]
0,0.09,[CCVCC]
100,0.8,[V]
100,0.75,[VC]
100,1.0,[CV]
100,0.7,[VCC]
100,0.91,[CVC]
100,0.6,[CCV]
100,0.77,[CVCC]
100,0.7,[CCVC]
100,0.52,[CCVCC]
200,0.85,[V]
200,0.87,[VC]
200,1.0,[CV]
200,0.86,[VCC]
200,0.96,[CVC]
200,0.75,[CCV]
200,0.91,[CVCC]
200,0.79,[CCVC]
200,0.62,[CCVCC]
300,0.9,[V]
300,0.9,[VC]
300,1.0,[CV]
300,0.91,[VCC]
300,0.96,[CVC]
300,0.9,[CCV]
300,0.9,[CVCC]
300,0.83,[CCVC]
300,0.77,[CCVCC]
400,0.84,[V]
400,0.94,[VC]
400,1.0,[CV]
400,0.92,[VCC]
400,0.98,[CVC]
400,0.84,[CCV]
400,0.91,[CVCC]
400,0.82,[CCVC]
400,0.8,[CCVCC]
500,0.91,[V]
500,0.96,[VC]
500,1.0,[CV]
500,0.91,[VCC]
500,0.99,[CVC]
500,0.86,[CCV]
500,0.97,[CVCC]
500,0.9,[CCVC]
500,0.82,[CCVCC]
600,0.94,[V]
600,0.9,[VC]
600,1.0,[CV]
600,0.94,[VCC]
600,1.0,[CVC]
600,0.94,[CCV]
600,0.9,[CVCC]
600,0.89,[CCVC]
600,0.88,[CCVCC]
700,0.97,[V]
700,0.97,[VC]
700,1.0,[CV]
700,0.98,[VCC]
700,1.0,[CVC]
700,0.91,[CCV]
700,0.96,[CVCC]
700,0.87,[CCVC]
700,0.88,[CCVCC]
800,0.93,[V]
800,0.96,[VC]
800,1.0,[CV]
800,0.94,[VCC]
800,0.99,[CVC]
800,0.94,[CCV]
800,0.97,[CVCC]
800,0.95,[CCVC]
800,0.92,[CCVCC]
900,0.94,[V]
900,0.98,[VC]
900,1.0,[CV]
900,0.96,[VCC]
900,1.0,[CVC]
900,0.94,[CCV]
900,0.96,[CVCC]
900,0.95,[CCVC]
900,0.86,[CCVCC]
1000,0.968,[V]
1000,0.973,[VC]
1000,1.0,[CV]
1000,0.968,[VCC]
1000,0.995,[CVC]
1000,0.925,[CCV]
1000,0.957,[CVCC]
1000,0.934,[CCVC]
1000,0.882,[CCVCC]
