iterations,accuracy,syllable
0,0.36,[V]
0,0.15,[VC]
0,1.0,[CV]
0,0.15,[VCC]
0,0.33,[CVC]
0,0.33,[CCV]
0,0.14,[CVCC]
0,0.19,[CCVC]
0,0.15,[CCVCC]
100,0.6,[V]
100,0.43,[VC]
100,1.0,[CV]
100,0.2,[VCC]
100,0.69,[CVC]
100,0.45,[CCV]
100,0.4,[CVCC]
100,0.32,[CCVC]
100,0.19,[CCVCC]
200,0.67,[V]
200,0.59,[VC]
200,1.0,[CV]
200,0.51,[VCC]
200,0.83,[CVC]
200,0.59,[CCV]
200,0.6,[CVCC]
200,0.49,[CCVC]
200,0.39,[CCVCC]
300,0.79,[V]
300,0.79,[VC]
300,1.0,[CV]
300,0.75,[VCC]
300,0.95,[CVC]
300,0.64,[CCV]
300,0.88,[CVCC]
300,0.68,[CCVC]
300,0.55,[CCVCC]
400,0.92,[V]
400,0.9,[VC]
400,1.0,[CV]
400,0.77,[VCC]
400,0.98,[CVC]
400,0.76,[CCV]
400,0.88,[CVCC]
400,0.68,[CCVC]
400,0.69,[CCVCC]
500,0.93,[V]
500,0.93,[VC]
500,1.0,[CV]
500,0.84,[VCC]
500,0.97,[CVC]
500,0.71,[CCV]
500,0.88,[CVCC]
500,0.77,[CCVC]
500,0.65,[CCVCC]
600,0.92,[V]
600,0.93,[VC]
600,1.0,[CV]
600,0.88,[VCC]
600,0.98,[CVC]
600,0.79,[CCV]
600,0.86,[CVCC]
600,0.79,[CCVC]
600,0.74,[CCVCC]
700,0.94,[V]
700,0.91,[VC]
700,1.0,[CV]
700,0.93,[VCC]
700,0.99,[CVC]
700,0.76,[CCV]
700,0.96,[CVCC]
700,0.81,[CCVC]
700,0.68,[CCVCC]
800,0.97,[V]
800,0.92,[VC]
800,1.0,[CV]
800,0.87,[VCC]
800,0.98,[CVC]
800,0.82,[CCV]
800,0.93,[CVCC]
800,0.84,[CCVC]
800,0.77,[CCVCC]
900,0.98,[V]
900,0.94,[VC]
900,1.0,[CV]
900,0.93,[VCC]
900,0.99,[CVC]
900,0.8,[CCV]
900,0.93,[CVCC]
900,0.83,[CCVC]
900,0.79,[CCVCC]
1000,0.973,[V]
1000,0.965,[VC]
1000,1.0,[CV]
1000,0.905,[VCC]
1000,0.995,[CVC]
1000,0.847,[CCV]
1000,0.951,[CVCC]
1000,0.843,[CCVC]
1000,0.802,[CCVCC]
