iterations,accuracy,syllable
0,0.32,[V]
0,0.11,[VC]
0,1.0,[CV]
0,0.09,[VCC]
0,0.32,[CVC]
0,0.34,[CCV]
0,0.16,[CVCC]
0,0.14,[CCVC]
0,0.11,[CCVCC]
0,0.24,[V.V]
0,0.27,[CV.V]
0,0.18,[V.VC]
0,0.35,[V.CV]
0,0.17,[CCV.V]
0,0.13,[V.VCC]
0,0.23,[V.CVC]
0,0.14,[V.CCV]
0,0.19,[CV.VC]
0,1.0,[CV.CV]
0,0.14,[CV.VCC]
0,0.35,[CV.CVC]
0,0.15,[CCV.VC]
0,0.07,[V.CVCC]
0,0.0,[V.CCVC]
0,0.09,[VC.CCV]
0,0.26,[CV.CCV]
0,0.33,[CCV.CV]
100,0.39,[V]
100,0.17,[VC]
100,1.0,[CV]
100,0.07,[VCC]
100,0.29,[CVC]
100,0.62,[CCV]
100,0.16,[CVCC]
100,0.23,[CCVC]
100,0.08,[CCVCC]
100,0.43,[V.V]
100,0.39,[CV.V]
100,0.19,[V.VC]
100,0.41,[V.CV]
100,0.37,[CCV.V]
100,0.11,[V.VCC]
100,0.15,[V.CVC]
100,0.26,[V.CCV]
100,0.18,[CV.VC]
100,1.0,[CV.CV]
100,0.1,[CV.VCC]
100,0.33,[CV.CVC]
100,0.19,[CCV.VC]
100,0.09,[V.CVCC]
100,0.0,[V.CCVC]
100,0.15,[VC.CCV]
100,0.57,[CV.CCV]
100,0.6,[CCV.CV]
200,0.5,[V]
200,0.24,[VC]
200,1.0,[CV]
200,0.14,[VCC]
200,0.39,[CVC]
200,0.8,[CCV]
200,0.13,[CVCC]
200,0.26,[CCVC]
200,0.17,[CCVCC]
200,0.55,[V.V]
200,0.6,[CV.V]
200,0.25,[V.VC]
200,0.49,[V.CV]
200,0.46,[CCV.V]
200,0.24,[V.VCC]
200,0.22,[V.CVC]
200,0.45,[V.CCV]
200,0.22,[CV.VC]
200,1.0,[CV.CV]
200,0.19,[CV.VCC]
200,0.34,[CV.CVC]
200,0.26,[CCV.VC]
200,0.11,[V.CVCC]
200,0.0,[V.CCVC]
200,0.21,[VC.CCV]
200,0.75,[CV.CCV]
200,0.79,[CCV.CV]
300,0.78,[V]
300,0.32,[VC]
300,1.0,[CV]
300,0.17,[VCC]
300,0.39,[CVC]
300,0.86,[CCV]
300,0.38,[CVCC]
300,0.35,[CCVC]
300,0.28,[CCVCC]
300,0.78,[V.V]
300,0.75,[CV.V]
300,0.37,[V.VC]
300,0.79,[V.CV]
300,0.7,[CCV.V]
300,0.33,[V.VCC]
300,0.39,[V.CVC]
300,0.64,[V.CCV]
300,0.39,[CV.VC]
300,1.0,[CV.CV]
300,0.23,[CV.VCC]
300,0.46,[CV.CVC]
300,0.39,[CCV.VC]
300,0.22,[V.CVCC]
300,0.0,[V.CCVC]
300,0.34,[VC.CCV]
300,0.82,[CV.CCV]
300,0.95,[CCV.CV]
400,0.96,[V]
400,0.5,[VC]
400,1.0,[CV]
400,0.44,[VCC]
400,0.54,[CVC]
400,0.96,[CCV]
400,0.34,[CVCC]
400,0.6,[CCVC]
400,0.38,[CCVCC]
400,0.93,[V.V]
400,0.92,[CV.V]
400,0.5,[V.VC]
400,0.9,[V.CV]
400,0.84,[CCV.V]
400,0.32,[V.VCC]
400,0.58,[V.CVC]
400,0.83,[V.CCV]
400,0.55,[CV.VC]
400,1.0,[CV.CV]
400,0.39,[CV.VCC]
400,0.48,[CV.CVC]
400,0.57,[CCV.VC]
400,0.38,[V.CVCC]
400,0.0,[V.CCVC]
400,0.43,[VC.CCV]
400,0.97,[CV.CCV]
400,0.97,[CCV.CV]
500,0.97,[V]
500,0.55,[VC]
500,1.0,[CV]
500,0.47,[VCC]
500,0.54,[CVC]
500,0.99,[CCV]
500,0.49,[CVCC]
500,0.54,[CCVC]
500,0.43,[CCVCC]
500,0.91,[V.V]
500,0.98,[CV.V]
500,0.55,[V.VC]
500,0.96,[V.CV]
500,0.99,[CCV.V]
500,0.41,[V.VCC]
500,0.56,[V.CVC]
500,0.91,[V.CCV]
500,0.53,[CV.VC]
500,1.0,[CV.CV]
500,0.43,[CV.VCC]
500,0.61,[CV.CVC]
500,0.73,[CCV.VC]
500,0.44,[V.CVCC]
500,0.0,[V.CCVC]
500,0.66,[VC.CCV]
500,1.0,[CV.CCV]
500,0.99,[CCV.CV]
600,0.99,[V]
600,0.62,[VC]
600,1.0,[CV]
600,0.56,[VCC]
600,0.6,[CVC]
600,0.98,[CCV]
600,0.47,[CVCC]
600,0.59,[CCVC]
600,0.49,[CCVCC]
600,0.93,[V.V]
600,0.95,[CV.V]
600,0.61,[V.VC]
600,0.95,[V.CV]
600,0.95,[CCV.V]
600,0.53,[V.VCC]
