iterations,accuracy,syllable
0,0.29,[V]
0,0.3,[VC]
0,1.0,[CV]
0,0.08,[VCC]
0,0.3,[CVC]
0,0.32,[CCV]
0,0.16,[CVCC]
0,0.19,[CCVC]
0,0.1,[CCVCC]
0,0.35,[V.V]
0,0.35,[CV.V]
0,0.17,[V.VC]
0,0.29,[V.CV]
0,0.14,[CCV.V]
0,0.1,[V.VCC]
0,0.15,[V.CVC]
0,0.13,[V.CCV]
0,0.16,[CV.VC]
0,1.0,[CV.CV]
0,0.07,[CV.VCC]
0,0.3,[CV.CVC]
0,0.1,[CCV.VC]
0,0.07,[V.CVCC]
0,0.0,[V.CCVC]
0,0.1,[VC.CCV]
0,0.29,[CV.CCV]
0,0.35,[CCV.CV]
100,0.78,[V]
100,0.5,[VC]
100,1.0,[CV]
100,0.36,[VCC]
100,0.56,[CVC]
100,0.84,[CCV]
100,0.47,[CVCC]
100,0.6,[CCVC]
100,0.34,[CCVCC]
100,0.83,[V.V]
100,0.81,[CV.V]
100,0.55,[V.VC]
100,0.72,[V.CV]
100,0.73,[CCV.V]
100,0.32,[V.VCC]
100,0.55,[V.CVC]
100,0.6,[V.CCV]
100,0.46,[CV.VC]
100,1.0,[CV.CV]
100,0.41,[CV.VCC]
100,0.54,[CV.CVC]
100,0.54,[CCV.VC]
100,0.38,[V.CVCC]
100,0.0,[V.CCVC]
100,0.42,[VC.CCV]
100,0.73,[CV.CCV]
100,0.93,[CCV.CV]
200,0.93,[V]
200,0.77,[VC]
200,1.0,[CV]
200,0.44,[VCC]
200,0.82,[CVC]
200,0.96,[CCV]
200,0.41,[CVCC]
200,0.74,[CCVC]
200,0.48,[CCVCC]
200,0.91,[V.V]
200,0.93,[CV.V]
200,0.67,[V.VC]
200,0.95,[V.CV]
200,0.86,[CCV.V]
200,0.45,[V.VCC]
200,0.78,[V.CVC]
200,0.87,[V.CCV]
200,0.73,[CV.VC]
200,1.0,[CV.CV]
200,0.45,[CV.VCC]
200,0.87,[CV.CVC]
200,0.86,[CCV.VC]
200,0.41,[V.CVCC]
200,0.0,[V.CCVC]
200,0.7,[VC.CCV]
200,0.9,[CV.CCV]
200,0.97,[CCV.CV]
300,0.98,[V]
300,0.83,[VC]
300,1.0,[CV]
300,0.56,[VCC]
300,0.8,[CVC]
300,0.99,[CCV]
300,0.56,[CVCC]
300,0.77,[CCVC]
300,0.56,[CCVCC]
300,0.94,[V.V]
300,0.94,[CV.V]
300,0.81,[V.VC]
300,0.91,[V.CV]
300,0.96,[CCV.V]
300,0.56,[V.VCC]
300,0.81,[V.CVC]
300,0.91,[V.CCV]
300,0.77,[CV.VC]
300,1.0,[CV.CV]
300,0.64,[CV.VCC]
300,0.79,[CV.CVC]
300,0.85,[CCV.VC]
300,0.55,[V.CVCC]
300,0.0,[V.CCVC]
300,0.77,[VC.CCV]
300,0.91,[CV.CCV]
300,0.99,[CCV.CV]
400,0.97,[V]
400,0.82,[VC]
400,1.0,[CV]
400,0.65,[VCC]
400,0.85,[CVC]
400,1.0,[CCV]
400,0.55,[CVCC]
400,0.86,[CCVC]
400,0.68,[CCVCC]
400,0.99,[V.V]
400,0.94,[CV.V]
400,0.82,[V.VC]
400,0.97,[V.CV]
400,0.98,[CCV.V]
400,0.65,[V.VCC]
400,0.76,[V.CVC]
400,0.89,[V.CCV]
400,0.83,[CV.VC]
400,1.0,[CV.CV]
400,0.63,[CV.VCC]
400,0.88,[CV.CVC]
400,0.88,[CCV.VC]
400,0.55,[V.CVCC]
400,0.0,[V.CCVC]
400,0.82,[VC.CCV]
400,0.92,[CV.CCV]
400,0.99,[CCV.CV]
500,0.98,[V]
500,0.85,[VC]
500,1.0,[CV]
500,0.74,[VCC]
500,0.86,[CVC]
500,1.0,[CCV]
500,0.74,[CVCC]
500,0.92,[CCVC]
500,0.71,[CCVCC]
500,0.98,[V.V]
500,0.97,[CV.V]
500,0.88,[V.VC]
500,0.98,[V.CV]
500,0.98,[CCV.V]
500,0.77,[V.VCC]
500,0.91,[V.CVC]
500,0.91,[V.CCV]
500,0.85,[CV.VC]
500,1.0,[CV.CV]
500,0.7,[CV.VCC]
500,0.91,[CV.CVC]
500,0.93,[CCV.VC]
500,0.72,[V.CVCC]
500,0.0,[V.CCVC]
500,0.9,[VC.CCV]
500,0.93,[CV.CCV]
500,1.0,[CCV.CV]
600,0.99,[V]
600,0.91,[VC]
600,1.0,[CV]
600,0.8,[VCC]
600,0.9,[CVC]
600,1.0,[CCV]
600,0.74,[CVCC]
600,0.92,[CCVC]
600,0.75,[CCVCC]
600,1.0,[V.V]
600,0.99,[CV.V]
600,0.91,[V.VC]
600,0.98,[V.CV]
600,0.98,[CCV.V]
600,0.78,[V.VCC]
600,0.9,[V.CVC]
600,0.86,[V.CCV]
600,0.87,[CV.VC]
600,1.0,[CV.CV]
600,0.75,[CV.VCC]
600,0.94,[CV.CVC]
600,0.96,[CCV.VC]
600,0.75,[V.CVCC]
600,0.0,[V.CCVC]
600,0.88,[VC.CCV]
600,0.88,[CV.CCV]
600,1.0,[CCV.CV]
700,1.0,[V]
700,0.91,[VC]
700,1.0,[CV]
700,0.66,[VCC]
700,0.91,[CVC]
700,1.0,[CCV]
700,0.78,[CVCC]
700,0.94,[CCVC]
700,0.77,[CCVCC]
700,0.99,[V.V]
700,0.99,[CV.V]
700,0.93,[V.VC]
700,0.95,[V.CV]
700,1.0,[CCV.V]
700,0.76,[V.VCC]
700,0.94,[V.CVC]
700,0.87,[V.CCV]
700,0.85,[CV.VC]
700,1.0,[CV.CV]
700,0.79,[CV.VCC]
700,0.91,[CV.CVC]
700,0.96,[CCV.VC]
700,0.82,[V.CVCC]
700,0.0,[V.CCVC]
700,0.9,[VC.CCV]
700,0.91,[CV.CCV]
700,1.0,[CCV.CV]
800,0.98,[V]
800,0.88,[VC]
800,1.0,[CV]
800,0.75,[VCC]
800,0.89,[CVC]
800,1.0,[CCV]
800,0.67,[CVCC]
800,0.92,[CCVC]
800,0.81,[CCVCC]
800,0.97,[V.V]
800,0.99,[CV.V]
800,0.93,[V.VC]
800,0.99,[V.CV]
800,0.99,[CCV.V]
800,0.76,[V.VCC]
800,0.89,[V.CVC]
800,0.91,[V.CCV]
800,0.91,[CV.VC]
800,1.0,[CV.CV]
800,0.79,[CV.VCC]
800,0.92,[CV.CVC]
800,0.92,[CCV.VC]
800,0.73,[V.CVCC]
800,0.0,[V.CCVC]
800,0.86,[VC.CCV]
800,0.93,[CV.CCV]
800,0.99,[CCV.CV]
900,1.0,[V]
900,0.94,[VC]
900,1.0,[CV]
900,0.77,[VCC]
900,0.94,[CVC]
900,1.0,[CCV]
900,0.73,[CVCC]
900,0.9,[CCVC]
900,0.79,[CCVCC]
900,0.97,[V.V]
900,0.99,[CV.V]
900,0.89,[V.VC]
900,0.96,[V.CV]
900,0.98,[CCV.V]
900,0.82,[V.VCC]
900,0.94,[V.CVC]
900,0.93,[V.CCV]
900,0.91,[CV.VC]
900,1.0,[CV.CV]
900,0.79,[CV.VCC]
900,0.89,[CV.CVC]
900,0.94,[CCV.VC]
900,0.8,[V.CVCC]
900,0.0,[V.CCVC]
