iterations,accuracy,syllable
0,0.35,[V]
0,0.18,[VC]
0,1.0,[CV]
0,0.06,[VCC]
0,0.34,[CVC]
0,0.41,[CCV]
0,0.18,[CVCC]
0,0.21,[CCVC]
0,0.09,[CCVCC]
0,0.32,[V.V]
0,0.33,[CV.V]
0,0.22,[V.VC]
0,0.28,[V.CV]
0,0.18,[CCV.V]
0,0.08,[V.VCC]
0,0.14,[V.CVC]
0,0.06,[V.CCV]
0,0.13,[CV.VC]
0,1.0,[CV.CV]
0,0.09,[CV.VCC]
0,0.48,[CV.CVC]
0,0.12,[CCV.VC]
0,0.08,[V.CVCC]
0,0.0,[V.CCVC]
0,0.07,[VC.CCV]
0,0.24,[CV.CCV]
0,0.37,[CCV.CV]
100,0.64,[V]
100,0.45,[VC]
100,1.0,[CV]
100,0.35,[VCC]
100,0.47,[CVC]
100,0.66,[CCV]
100,0.32,[CVCC]
100,0.42,[CCVC]
100,0.2,[CCVCC]
100,0.62,[V.V]
100,0.72,[CV.V]
100,0.41,[V.VC]
100,0.71,[V.CV]
100,0.55,[CCV.V]
100,0.3,[V.VCC]
100,0.36,[V.CVC]
100,0.4,[V.CCV]
100,0.46,[CV.VC]
100,1.0,[CV.CV]
100,0.21,[CV.VCC]
100,0.43,[CV.CVC]
100,0.44,[CCV.VC]
100,0.23,[V.CVCC]
100,0.0,[V.CCVC]
100,0.21,[VC.CCV]
100,0.55,[CV.CCV]
100,0.69,[CCV.CV]
200,0.8,[V]
200,0.61,[VC]
200,1.0,[CV]
200,0.57,[VCC]
200,0.84,[CVC]
200,0.85,[CCV]
200,0.65,[CVCC]
200,0.62,[CCVC]
200,0.54,[CCVCC]
200,0.8,[V.V]
200,0.76,[CV.V]
200,0.67,[V.VC]
200,0.79,[V.CV]
200,0.77,[CCV.V]
200,0.51,[V.VCC]
200,0.64,[V.CVC]
200,0.58,[V.CCV]
200,0.68,[CV.VC]
200,1.0,[CV.CV]
200,0.52,[CV.VCC]
200,0.85,[CV.CVC]
200,0.69,[CCV.VC]
200,0.51,[V.CVCC]
200,0.0,[V.CCVC]
200,0.35,[VC.CCV]
200,0.6,[CV.CCV]
200,0.79,[CCV.CV]
300,0.92,[V]
300,0.79,[VC]
300,1.0,[CV]
300,0.77,[VCC]
300,0.93,[CVC]
300,0.93,[CCV]
300,0.79,[CVCC]
300,0.83,[CCVC]
300,0.67,[CCVCC]
300,0.93,[V.V]
300,0.9,[CV.V]
300,0.82,[V.VC]
300,0.92,[V.CV]
300,0.8,[CCV.V]
300,0.79,[V.VCC]
300,0.8,[V.CVC]
300,0.42,[V.CCV]
300,0.84,[CV.VC]
300,1.0,[CV.CV]
300,0.76,[CV.VCC]
300,0.89,[CV.CVC]
300,0.8,[CCV.VC]
300,0.74,[V.CVCC]
300,0.0,[V.CCVC]
300,0.52,[VC.CCV]
300,0.65,[CV.CCV]
300,0.88,[CCV.CV]
400,0.98,[V]
400,0.9,[VC]
400,1.0,[CV]
400,0.84,[VCC]
400,0.92,[CVC]
400,0.94,[CCV]
400,0.85,[CVCC]
400,0.89,[CCVC]
400,0.82,[CCVCC]
400,0.93,[V.V]
400,0.93,[CV.V]
400,0.87,[V.VC]
400,0.94,[V.CV]
400,0.88,[CCV.V]
400,0.87,[V.VCC]
400,0.86,[V.CVC]
400,0.53,[V.CCV]
400,0.88,[CV.VC]
400,1.0,[CV.CV]
400,0.83,[CV.VCC]
400,0.87,[CV.CVC]
400,0.81,[CCV.VC]
400,0.87,[V.CVCC]
400,0.0,[V.CCVC]
400,0.5,[VC.CCV]
400,0.63,[CV.CCV]
400,0.97,[CCV.CV]
500,0.99,[V]
500,0.92,[VC]
500,1.0,[CV]
500,0.88,[VCC]
500,0.91,[CVC]
500,0.98,[CCV]
500,0.94,[CVCC]
500,0.91,[CCVC]
500,0.9,[CCVCC]
500,0.97,[V.V]
500,0.93,[CV.V]
500,0.92,[V.VC]
500,1.0,[V.CV]
500,0.96,[CCV.V]
500,0.94,[V.VCC]
500,0.95,[V.CVC]
500,0.39,[V.CCV]
500,0.95,[CV.VC]
500,1.0,[CV.CV]
500,0.89,[CV.VCC]
500,0.93,[CV.CVC]
500,0.91,[CCV.VC]
500,0.91,[V.CVCC]
500,0.0,[V.CCVC]
500,0.47,[VC.CCV]
500,0.52,[CV.CCV]
500,0.98,[CCV.CV]
600,0.99,[V]
600,0.97,[VC]
600,1.0,[CV]
600,0.94,[VCC]
600,0.96,[CVC]
600,0.98,[CCV]
600,0.93,[CVCC]
600,0.89,[CCVC]
600,0.96,[CCVCC]
600,0.98,[V.V]
600,0.96,[CV.V]
600,0.91,[V.VC]
600,0.99,[V.CV]
600,0.95,[CCV.V]
600,0.92,[V.VCC]
600,0.94,[V.CVC]
600,0.56,[V.CCV]
600,0.97,[CV.VC]
600,1.0,[CV.CV]
600,0.94,[CV.VCC]
600,0.98,[CV.CVC]
600,0.96,[CCV.VC]
600,0.93,[V.CVCC]
600,0.0,[V.CCVC]
600,0.44,[VC.CCV]
600,0.53,[CV.CCV]
600,0.98,[CCV.CV]
700,1.0,[V]
700,0.95,[VC]
700,1.0,[CV]
700,0.92,[VCC]
700,0.96,[CVC]
700,1.0,[CCV]
700,0.94,[CVCC]
700,0.98,[CCVC]
700,0.93,[CCVCC]
700,1.0,[V.V]
700,1.0,[CV.V]
700,0.98,[V.VC]
700,0.99,[V.CV]
700,0.98,[CCV.V]
700,0.89,[V.VCC]
