iterations,accuracy,syllable
0,0.38,[V]
0,0.18,[VC]
0,1.0,[CV]
0,0.17,[VCC]
0,0.32,[CVC]
0,0.39,[CCV]
0,0.19,[CVCC]
0,0.31,[CCVC]
0,0.1,[CCVCC]
0,0.39,[V.V]
0,0.31,[CV.V]
0,0.24,[V.VC]
0,0.34,[V.CV]
0,0.24,[CCV.V]
0,0.06,[V.VCC]
0,0.23,[V.CVC]
0,0.11,[V.CCV]
0,0.22,[CV.VC]
0,1.0,[CV.CV]
0,0.21,[CV.VCC]
0,0.29,[CV.CVC]
0,0.04,[CCV.VC]
0,0.21,[V.CVCC]
0,0.0,[V.CCVC]
0,0.04,[VC.CCV]
0,0.3,[CV.CCV]
0,0.36,[CCV.CV]
100,0.9,[V]
100,0.83,[VC]
100,1.0,[CV]
100,0.76,[VCC]
100,0.85,[CVC]
100,0.81,[CCV]
100,0.76,[CVCC]
100,0.8,[CCVC]
100,0.63,[CCVCC]
100,0.91,[V.V]
100,0.91,[CV.V]
100,0.81,[V.VC]
100,0.92,[V.CV]
100,0.72,[CCV.V]
100,0.71,[V.VCC]
100,0.84,[V.CVC]
100,0.31,[V.CCV]
100,0.84,[CV.VC]
100,1.0,[CV.CV]
100,0.71,[CV.VCC]
100,0.88,[CV.CVC]
100,0.59,[CCV.VC]
100,0.78,[V.CVCC]
100,0.0,[V.CCVC]
100,0.3,[VC.CCV]
100,0.39,[CV.CCV]
100,0.83,[CCV.CV]
200,0.89,[V]
200,0.87,[VC]
200,1.0,[CV]
200,0.86,[VCC]
200,0.92,[CVC]
200,0.91,[CCV]
200,0.81,[CVCC]
200,0.91,[CCVC]
200,0.75,[CCVCC]
200,0.97,[V.V]
200,0.95,[CV.V]
200,0.98,[V.VC]
200,0.96,[V.CV]
200,0.87,[CCV.V]
200,0.73,[V.VCC]
200,0.93,[V.CVC]
200,0.42,[V.CCV]
200,0.9,[CV.VC]
200,1.0,[CV.CV]
200,0.86,[CV.VCC]
200,0.9,[CV.CVC]
200,0.85,[CCV.VC]
200,0.89,[V.CVCC]
200,0.0,[V.CCVC]
200,0.52,[VC.CCV]
200,0.48,[CV.CCV]
200,0.92,[CCV.CV]
300,1.0,[V]
300,0.95,[VC]
300,1.0,[CV]
300,0.91,[VCC]
300,0.98,[CVC]
300,0.94,[CCV]
300,0.9,[CVCC]
300,0.94,[CCVC]
