iterations,accuracy,syllable
0,0.32,[V]
0,0.21,[VC]
0,1.0,[CV]
0,0.19,[VCC]
0,0.3,[CVC]
0,0.32,[CCV]
0,0.13,[CVCC]
0,0.33,[CCVC]
0,0.09,[CCVCC]
0,0.29,[V.V]
0,0.43,[CV.V]
0,0.24,[V.VC]
0,0.35,[V.CV]
0,0.17,[CCV.V]
0,0.12,[V.VCC]
0,0.25,[V.CVC]
0,0.13,[V.CCV]
0,0.16,[CV.VC]
0,0.99,[CV.CV]
0,0.13,[CV.VCC]
0,0.35,[CV.CVC]
0,0.05,[CCV.VC]
0,0.18,[V.CVCC]
0,0.0,[V.CCVC]
0,0.01,[VC.CCV]
0,0.28,[CV.CCV]
0,0.42,[CCV.CV]
100,0.6,[V]
100,0.32,[VC]
100,1.0,[CV]
100,0.32,[VCC]
100,0.43,[CVC]
100,0.58,[CCV]
100,0.2,[CVCC]
100,0.54,[CCVC]
100,0.28,[CCVCC]
100,0.64,[V.V]
100,0.63,[CV.V]
100,0.4,[V.VC]
100,0.71,[V.CV]
100,0.49,[CCV.V]
100,0.25,[V.VCC]
100,0.38,[V.CVC]
100,0.38,[V.CCV]
100,0.37,[CV.VC]
100,1.0,[CV.CV]
100,0.34,[CV.VCC]
100,0.4,[CV.CVC]
100,0.11,[CCV.VC]
100,0.39,[V.CVCC]
100,0.0,[V.CCVC]
100,0.08,[VC.CCV]
100,0.47,[CV.CCV]
100,0.62,[CCV.CV]
200,0.88,[V]
200,0.84,[VC]
200,1.0,[CV]
200,0.79,[VCC]
200,0.73,[CVC]
200,0.86,[CCV]
200,0.59,[CVCC]
200,0.91,[CCVC]
200,0.58,[CCVCC]
200,0.97,[V.V]
200,0.94,[CV.V]
200,0.83,[V.VC]
200,0.98,[V.CV]
200,0.85,[CCV.V]
200,0.61,[V.VCC]
200,0.83,[V.CVC]
200,0.57,[V.CCV]
200,0.85,[CV.VC]
200,1.0,[CV.CV]
200,0.77,[CV.VCC]
200,0.8,[CV.CVC]
200,0.7,[CCV.VC]
200,0.85,[V.CVCC]
200,0.0,[V.CCVC]
200,0.35,[VC.CCV]
200,0.55,[CV.CCV]
200,0.89,[CCV.CV]
300,0.97,[V]
300,0.94,[VC]
300,1.0,[CV]
300,0.87,[VCC]
300,0.93,[CVC]
300,0.93,[CCV]
300,0.81,[CVCC]
300,0.92,[CCVC]
300,0.67,[CCVCC]
300,0.97,[V.V]
300,0.93,[CV.V]
300,0.92,[V.VC]
300,0.93,[V.CV]
300,0.84,[CCV.V]
300,0.83,[V.VCC]
300,0.96,[V.CVC]
300,0.37,[V.CCV]
300,0.9,[CV.VC]
300,1.0,[CV.CV]
300,0.89,[CV.VCC]
300,0.96,[CV.CVC]
300,0.75,[CCV.VC]
300,0.91,[V.CVCC]
300,0.0,[V.CCVC]
300,0.41,[VC.CCV]
300,0.44,[CV.CCV]
300,0.89,[CCV.CV]
400,0.99,[V]
400,0.97,[VC]
400,1.0,[CV]
400,0.92,[VCC]
400,0.92,[CVC]
400,0.98,[CCV]
400,0.88,[CVCC]
400,0.92,[CCVC]
400,0.75,[CCVCC]
400,0.98,[V.V]
400,0.99,[CV.V]
400,0.98,[V.VC]
400,1.0,[V.CV]
400,0.93,[CCV.V]
400,0.81,[V.VCC]
400,0.92,[V.CVC]
400,0.48,[V.CCV]
400,0.94,[CV.VC]
400,1.0,[CV.CV]
400,0.88,[CV.VCC]
400,0.99,[CV.CVC]
400,0.83,[CCV.VC]
400,0.97,[V.CVCC]
400,0.0,[V.CCVC]
400,0.48,[VC.CCV]
400,0.38,[CV.CCV]
400,0.94,[CCV.CV]
500,0.99,[V]
500,0.98,[VC]
500,1.0,[CV]
500,0.99,[VCC]
500,0.94,[CVC]
500,0.98,[CCV]
500,0.86,[CVCC]
500,0.95,[CCVC]
500,0.89,[CCVCC]
500,0.99,[V.V]
500,0.97,[CV.V]
500,0.97,[V.VC]
500,0.98,[V.CV]
500,0.97,[CCV.V]
500,0.9,[V.VCC]
500,0.96,[V.CVC]
500,0.59,[V.CCV]
500,0.92,[CV.VC]
500,1.0,[CV.CV]
500,0.95,[CV.VCC]
500,0.98,[CV.CVC]
500,0.8,[CCV.VC]
500,0.95,[V.CVCC]
500,0.0,[V.CCVC]
500,0.49,[VC.CCV]
500,0.49,[CV.CCV]
500,0.98,[CCV.CV]
600,0.99,[V]
600,0.96,[VC]
600,1.0,[CV]
600,0.99,[VCC]
600,0.97,[CVC]
600,0.99,[CCV]
600,0.93,[CVCC]
600,0.95,[CCVC]
600,0.92,[CCVCC]
600,0.99,[V.V]
600,1.0,[CV.V]
600,0.94,[V.VC]
600,0.99,[V.CV]
600,0.95,[CCV.V]
600,0.88,[V.VCC]
600,0.98,[V.CVC]
600,0.63,[V.CCV]
600,0.97,[CV.VC]
600,1.0,[CV.CV]
600,0.97,[CV.VCC]
600,0.97,[CV.CVC]
600,0.86,[CCV.VC]
600,0.98,[V.CVCC]
600,0.0,[V.CCVC]
600,0.6,[VC.CCV]
600,0.6,[CV.CCV]
600,0.99,[CCV.CV]
700,1.0,[V]
700,0.99,[VC]
700,1.0,[CV]
700,1.0,[VCC]
700,0.98,[CVC]
700,0.98,[CCV]
700,0.95,[CVCC]
700,1.0,[CCVC]
700,0.96,[CCVCC]
700,0.98,[V.V]
700,0.99,[CV.V]
700,1.0,[V.VC]
700,0.98,[V.CV]
700,0.96,[CCV.V]
700,0.95,[V.VCC]
700,0.93,[V.CVC]
700,0.55,[V.CCV]
700,0.97,[CV.VC]
700,1.0,[CV.CV]
700,0.98,[CV.VCC]
700,1.0,[CV.CVC]
700,0.94,[CCV.VC]
700,0.99,[V.CVCC]
700,0.0,[V.CCVC]
700,0.54,[VC.CCV]
700,0.58,[CV.CCV]
700,1.0,[CCV.CV]
800,0.98,[V]
800,0.99,[VC]
800,1.0,[CV]
800,1.0,[VCC]
800,0.98,[CVC]
800,0.99,[CCV]
800,0.93,[CVCC]
800,1.0,[CCVC]
800,0.93,[CCVCC]
800,0.98,[V.V]
800,0.99,[CV.V]
800,0.99,[V.VC]
800,0.97,[V.CV]
800,0.96,[CCV.V]
800,0.93,[V.VCC]
800,0.96,[V.CVC]
800,0.53,[V.CCV]
800,0.96,[CV.VC]
800,1.0,[CV.CV]
800,0.95,[CV.VCC]
800,0.97,[CV.CVC]
800,0.91,[CCV.VC]
800,0.99,[V.CVCC]
800,0.0,[V.CCVC]
800,0.62,[VC.CCV]
800,0.6,[CV.CCV]
800,1.0,[CCV.CV]
900,1.0,[V]
900,0.97,[VC]
900,1.0,[CV]
900,0.99,[VCC]
900,0.99,[CVC]
900,0.99,[CCV]
900,0.91,[CVCC]
900,0.99,[CCVC]
900,0.97,[CCVCC]
900,1.0,[V.V]
900,1.0,[CV.V]
900,0.99,[V.VC]
900,0.98,[V.CV]
900,0.99,[CCV.V]
900,0.93,[V.VCC]
900,0.97,[V.CVC]
900,0.59,[V.CCV]
900,0.99,[CV.VC]
900,1.0,[CV.CV]
900,0.98,[CV.VCC]
900,1.0,[CV.CVC]
900,0.9,[CCV.VC]
900,0.98,[V.CVCC]
900,0.0,[V.CCVC]
900,0.64,[VC.CCV]
900,0.68,[CV.CCV]
900,0.99,[CCV.CV]
1000,0.998,[V]
1000,0.982,[VC]
1000,1.0,[CV]
1000,0.995,[VCC]
1000,0.987,[CVC]
1000,0.993,[CCV]
1000,0.942,[CVCC]
1000,0.996,[CCVC]
1000,0.945,[CCVCC]
1000,0.996,[V.V]
1000,0.999,[CV.V]
1000,0.996,[V.VC]
1000,0.977,[V.CV]
1000,0.996,[CCV.V]
1000,0.946,[V.VCC]
1000,0.978,[V.CVC]
1000,0.618,[V.CCV]
1000,0.988,[CV.VC]
1000,1.0,[CV.CV]
1000,0.98,[CV.VCC]
1000,0.988,[CV.CVC]
1000,0.94,[CCV.VC]
1000,0.995,[V.CVCC]
1000,0.0,[V.CCVC]
1000,0.596,[VC.CCV]
1000,0.627,[CV.CCV]
1000,0.997,[CCV.CV]
