iterations,accuracy,syllable
0,0.36,[V]
0,0.17,[VC]
0,1.0,[CV]
0,0.09,[VCC]
0,0.36,[CVC]
0,0.3,[CCV]
0,0.15,[CVCC]
0,0.2,[CCVC]
0,0.12,[CCVCC]
100,0.53,[V]
100,0.48,[VC]
100,1.0,[CV]
100,0.32,[VCC]
100,0.65,[CVC]
100,0.64,[CCV]
100,0.41,[CVCC]
100,0.44,[CCVC]
100,0.32,[CCVCC]
200,0.66,[V]
200,0.7,[VC]
200,1.0,[CV]
200,0.55,[VCC]
200,0.86,[CVC]
200,0.74,[CCV]
200,0.63,[CVCC]
200,0.7,[CCVC]
200,0.54,[CCVCC]
300,0.89,[V]
300,0.81,[VC]
300,1.0,[CV]
300,0.69,[VCC]
300,0.9,[CVC]
300,0.79,[CCV]
300,0.6,[CVCC]
300,0.75,[CCVC]
300,0.59,[CCVCC]
400,0.92,[V]
400,0.84,[VC]
400,1.0,[CV]
400,0.78,[VCC]
400,0.94,[CVC]
400,0.91,[CCV]
400,0.83,[CVCC]
400,0.88,[CCVC]
400,0.7,[CCVCC]
500,0.95,[V]
500,0.91,[VC]
500,1.0,[CV]
500,0.79,[VCC]
500,0.95,[CVC]
500,0.95,[CCV]
500,0.88,[CVCC]
500,0.89,[CCVC]
500,0.76,[CCVCC]
600,0.94,[V]
600,0.94,[VC]
600,1.0,[CV]
600,0.81,[VCC]
600,0.98,[CVC]
600,0.86,[CCV]
600,0.83,[CVCC]
600,0.93,[CCVC]
600,0.83,[CCVCC]
700,0.94,[V]
700,0.9,[VC]
700,1.0,[CV]
700,0.85,[VCC]
700,0.98,[CVC]
700,0.96,[CCV]
700,0.94,[CVCC]
700,0.93,[CCVC]
700,0.86,[CCVCC]
800,0.95,[V]
800,0.98,[VC]
800,1.0,[CV]
800,0.82,[VCC]
800,0.99,[CVC]
800,0.97,[CCV]
800,0.87,[CVCC]
800,0.94,[CCVC]
800,0.87,[CCVCC]
900,0.93,[V]
900,0.94,[VC]
900,1.0,[CV]
900,0.97,[VCC]
900,0.96,[CVC]
900,0.97,[CCV]
900,0.83,[CVCC]
900,0.95,[CCVC]
900,0.85,[CCVCC]
1000,0.964,[V]
1000,0.967,[VC]
1000,1.0,[CV]
1000,0.884,[VCC]
1000,0.985,[CVC]
1000,0.962,[CCV]
1000,0.91,[CVCC]
1000,0.951,[CCVC]
1000,0.892,[CCVCC]
