iterations,accuracy,syllable
0,0.29,[V]
0,0.19,[VC]
0,1.0,[CV]
0,0.16,[VCC]
0,0.37,[CVC]
0,0.32,[CCV]
0,0.18,[CVCC]
0,0.25,[CCVC]
0,0.15,[CCVCC]
100,0.64,[V]
100,0.71,[VC]
100,1.0,[CV]
100,0.69,[VCC]
100,0.8,[CVC]
100,0.71,[CCV]
100,0.51,[CVCC]
100,0.55,[CCVC]
100,0.39,[CCVCC]
200,0.75,[V]
200,0.79,[VC]
200,1.0,[CV]
200,0.66,[VCC]
200,0.93,[CVC]
200,0.76,[CCV]
200,0.68,[CVCC]
200,0.75,[CCVC]
200,0.6,[CCVCC]
300,0.86,[V]
300,0.82,[VC]
300,1.0,[CV]
300,0.78,[VCC]
300,0.96,[CVC]
300,0.86,[CCV]
300,0.77,[CVCC]
300,0.86,[CCVC]
300,0.76,[CCVCC]
400,0.89,[V]
400,0.91,[VC]
400,1.0,[CV]
400,0.83,[VCC]
400,0.96,[CVC]
400,0.9,[CCV]
400,0.81,[CVCC]
400,0.89,[CCVC]
400,0.71,[CCVCC]
500,0.88,[V]
500,0.96,[VC]
500,1.0,[CV]
500,0.86,[VCC]
500,0.93,[CVC]
500,0.92,[CCV]
500,0.84,[CVCC]
500,0.87,[CCVC]
500,0.84,[CCVCC]
600,0.95,[V]
600,0.96,[VC]
600,1.0,[CV]
600,0.89,[VCC]
600,0.96,[CVC]
600,0.9,[CCV]
600,0.85,[CVCC]
600,0.91,[CCVC]
600,0.76,[CCVCC]
700,0.98,[V]
700,0.96,[VC]
700,1.0,[CV]
700,0.91,[VCC]
700,0.99,[CVC]
700,0.92,[CCV]
700,0.88,[CVCC]
700,0.93,[CCVC]
700,0.78,[CCVCC]
800,0.94,[V]
800,0.96,[VC]
800,1.0,[CV]
800,0.94,[VCC]
800,0.99,[CVC]
800,0.88,[CCV]
800,0.9,[CVCC]
800,0.92,[CCVC]
800,0.83,[CCVCC]
900,0.95,[V]
900,0.93,[VC]
900,1.0,[CV]
900,0.92,[VCC]
900,0.99,[CVC]
900,0.87,[CCV]
900,0.91,[CVCC]
900,0.93,[CCVC]
900,0.81,[CCVCC]
1000,0.973,[V]
1000,0.976,[VC]
1000,1.0,[CV]
1000,0.948,[VCC]
1000,0.992,[CVC]
1000,0.955,[CCV]
1000,0.919,[CVCC]
1000,0.966,[CCVC]
1000,0.854,[CCVCC]
