iterations,accuracy,syllable
0,0.35,[V]
0,0.24,[VC]
0,1.0,[CV]
0,0.18,[VCC]
0,0.4,[CVC]
0,0.31,[CCV]
0,0.21,[CVCC]
0,0.25,[CCVC]
0,0.14,[CCVCC]
100,0.41,[V]
100,0.27,[VC]
100,1.0,[CV]
100,0.35,[VCC]
100,0.6,[CVC]
100,0.37,[CCV]
100,0.32,[CVCC]
100,0.49,[CCVC]
100,0.29,[CCVCC]
200,0.42,[V]
200,0.47,[VC]
200,1.0,[CV]
200,0.46,[VCC]
200,0.64,[CVC]
200,0.54,[CCV]
200,0.4,[CVCC]
200,0.44,[CCVC]
200,0.26,[CCVCC]
300,0.68,[V]
300,0.79,[VC]
300,1.0,[CV]
300,0.7,[VCC]
300,0.79,[CVC]
300,0.85,[CCV]
300,0.63,[CVCC]
300,0.72,[CCVC]
300,0.51,[CCVCC]
400,0.81,[V]
400,0.84,[VC]
400,1.0,[CV]
400,0.76,[VCC]
400,0.93,[CVC]
400,0.82,[CCV]
400,0.76,[CVCC]
400,0.83,[CCVC]
400,0.62,[CCVCC]
500,0.85,[V]
500,0.85,[VC]
500,1.0,[CV]
500,0.72,[VCC]
500,0.95,[CVC]
500,0.89,[CCV]
500,0.73,[CVCC]
500,0.9,[CCVC]
500,0.73,[CCVCC]
600,0.9,[V]
600,0.9,[VC]
600,1.0,[CV]
600,0.78,[VCC]
600,0.99,[CVC]
600,0.92,[CCV]
600,0.82,[CVCC]
600,0.94,[CCVC]
600,0.77,[CCVCC]
700,0.9,[V]
700,0.93,[VC]
700,1.0,[CV]
700,0.77,[VCC]
700,0.95,[CVC]
700,0.97,[CCV]
700,0.81,[CVCC]
700,0.98,[CCVC]
700,0.76,[CCVCC]
800,0.94,[V]
800,0.96,[VC]
800,1.0,[CV]
800,0.88,[VCC]
800,1.0,[CVC]
800,0.97,[CCV]
800,0.87,[CVCC]
800,0.92,[CCVC]
800,0.87,[CCVCC]
900,0.96,[V]
900,0.97,[VC]
900,1.0,[CV]
900,0.9,[VCC]
900,0.98,[CVC]
900,0.97,[CCV]
900,0.84,[CVCC]
900,0.98,[CCVC]
900,0.88,[CCVCC]
1000,0.951,[V]
1000,0.953,[VC]
1000,1.0,[CV]
1000,0.915,[VCC]
1000,0.985,[CVC]
1000,0.97,[CCV]
1000,0.886,[CVCC]
1000,0.961,[CCVC]
1000,0.845,[CCVCC]
