iterations,accuracy,syllable
0,0.3,[V]
0,0.09,[VC]
0,1.0,[CV]
0,0.09,[VCC]
0,0.32,[CVC]
0,0.29,[CCV]
0,0.09,[CVCC]
0,0.09,[CCVC]
0,0.07,[CCVCC]
100,0.41,[V]
100,0.25,[VC]
100,1.0,[CV]
100,0.11,[VCC]
100,0.46,[CVC]
100,0.42,[CCV]
100,0.18,[CVCC]
100,0.26,[CCVC]
100,0.23,[CCVCC]
200,0.55,[V]
200,0.4,[VC]
200,1.0,[CV]
200,0.3,[VCC]
200,0.57,[CVC]
200,0.5,[CCV]
200,0.44,[CVCC]
200,0.37,[CCVC]
200,0.35,[CCVCC]
300,0.53,[V]
300,0.6,[VC]
300,1.0,[CV]
300,0.45,[VCC]
300,0.85,[CVC]
300,0.63,[CCV]
300,0.58,[CVCC]
300,0.67,[CCVC]
300,0.44,[CCVCC]
400,0.75,[V]
400,0.71,[VC]
400,1.0,[CV]
400,0.63,[VCC]
400,0.93,[CVC]
400,0.75,[CCV]
400,0.66,[CVCC]
400,0.69,[CCVC]
400,0.44,[CCVCC]
500,0.8,[V]
500,0.8,[VC]
500,1.0,[CV]
500,0.65,[VCC]
500,0.96,[CVC]
500,0.75,[CCV]
500,0.8,[CVCC]
500,0.7,[CCVC]
500,0.65,[CCVCC]
600,0.85,[V]
600,0.8,[VC]
600,1.0,[CV]
600,0.75,[VCC]
600,0.93,[CVC]
600,0.81,[CCV]
600,0.75,[CVCC]
600,0.78,[CCVC]
600,0.71,[CCVCC]
700,0.87,[V]
700,0.87,[VC]
700,1.0,[CV]
700,0.75,[VCC]
700,0.99,[CVC]
700,0.84,[CCV]
700,0.85,[CVCC]
700,0.86,[CCVC]
700,0.83,[CCVCC]
800,0.85,[V]
800,0.83,[VC]
800,1.0,[CV]
800,0.83,[VCC]
800,0.98,[CVC]
800,0.9,[CCV]
800,0.84,[CVCC]
800,0.84,[CCVC]
800,0.83,[CCVCC]
900,0.92,[V]
900,0.95,[VC]
900,1.0,[CV]
900,0.81,[VCC]
900,0.96,[CVC]
900,0.92,[CCV]
900,0.87,[CVCC]
900,0.91,[CCVC]
900,0.88,[CCVCC]
1000,0.952,[V]
1000,0.942,[VC]
1000,1.0,[CV]
1000,0.869,[VCC]
1000,0.987,[CVC]
1000,0.939,[CCV]
1000,0.915,[CVCC]
1000,0.938,[CCVC]
1000,0.874,[CCVCC]
