iterations,accuracy,syllable
0,0.46,[V]
0,0.17,[VC]
0,1.0,[CV]
0,0.23,[VCC]
0,0.35,[CVC]
0,0.33,[CCV]
0,0.21,[CVCC]
0,0.34,[CCVC]
0,0.05,[CCVCC]
100,0.55,[V]
100,0.47,[VC]
100,1.0,[CV]
100,0.52,[VCC]
100,0.66,[CVC]
100,0.63,[CCV]
100,0.58,[CVCC]
100,0.59,[CCVC]
100,0.29,[CCVCC]
200,0.65,[V]
200,0.59,[VC]
200,1.0,[CV]
200,0.68,[VCC]
200,0.81,[CVC]
200,0.75,[CCV]
200,0.68,[CVCC]
200,0.84,[CCVC]
200,0.63,[CCVCC]
300,0.81,[V]
300,0.87,[VC]
300,1.0,[CV]
300,0.82,[VCC]
300,0.95,[CVC]
300,0.89,[CCV]
300,0.98,[CVCC]
300,0.93,[CCVC]
300,0.84,[CCVCC]
400,0.86,[V]
400,0.9,[VC]
400,1.0,[CV]
400,0.91,[VCC]
400,0.96,[CVC]
400,0.98,[CCV]
400,0.99,[CVCC]
400,0.95,[CCVC]
400,0.86,[CCVCC]
500,0.94,[V]
500,0.91,[VC]
500,1.0,[CV]
500,0.95,[VCC]
500,0.99,[CVC]
500,0.98,[CCV]
500,0.95,[CVCC]
500,0.98,[CCVC]
500,0.95,[CCVCC]
600,0.96,[V]
600,0.93,[VC]
600,1.0,[CV]
600,0.98,[VCC]
600,0.98,[CVC]
600,0.99,[CCV]
600,0.97,[CVCC]
600,0.98,[CCVC]
600,0.97,[CCVCC]
700,0.96,[V]
700,0.95,[VC]
700,1.0,[CV]
700,0.92,[VCC]
700,1.0,[CVC]
700,1.0,[CCV]
700,1.0,[CVCC]
700,1.0,[CCVC]
700,0.99,[CCVCC]
800,0.95,[V]
800,0.96,[VC]
800,1.0,[CV]
800,0.93,[VCC]
800,0.99,[CVC]
800,0.99,[CCV]
800,0.97,[CVCC]
800,1.0,[CCVC]
800,0.97,[CCVCC]
900,0.96,[V]
900,0.96,[VC]
900,1.0,[CV]
900,0.98,[VCC]
900,1.0,[CVC]
900,0.98,[CCV]
900,1.0,[CVCC]
900,0.98,[CCVC]
900,0.99,[CCVCC]
1000,0.931,[V]
1000,0.96,[VC]
1000,1.0,[CV]
1000,0.953,[VCC]
1000,0.988,[CVC]
1000,0.996,[CCV]
1000,0.988,[CVCC]
1000,0.989,[CCVC]
1000,0.983,[CCVCC]
