iterations,accuracy,syllable
0,0.37,[V]
0,0.23,[VC]
0,1.0,[CV]
0,0.22,[VCC]
0,0.36,[CVC]
0,0.36,[CCV]
0,0.24,[CVCC]
0,0.26,[CCVC]
0,0.16,[CCVCC]
100,0.8,[V]
100,0.84,[VC]
100,1.0,[CV]
100,0.88,[VCC]
100,0.97,[CVC]
100,0.91,[CCV]
100,0.94,[CVCC]
100,0.89,[CCVC]
100,0.85,[CCVCC]
200,0.82,[V]
200,0.88,[VC]
200,1.0,[CV]
200,0.93,[VCC]
200,0.92,[CVC]
200,0.94,[CCV]
200,0.95,[CVCC]
200,0.93,[CCVC]
200,0.96,[CCVCC]
300,0.95,[V]
300,0.95,[VC]
300,1.0,[CV]
300,0.94,[VCC]
300,0.99,[CVC]
300,0.97,[CCV]
300,1.0,[CVCC]
300,0.96,[CCVC]
300,0.98,[CCVCC]
400,0.93,[V]
400,0.98,[VC]
400,1.0,[CV]
400,0.99,[VCC]
400,1.0,[CVC]
400,0.99,[CCV]
400,0.98,[CVCC]
400,0.99,[CCVC]
400,0.93,[CCVCC]
500,0.99,[V]
500,0.97,[VC]
500,1.0,[CV]
500,1.0,[VCC]
500,0.99,[CVC]
500,1.0,[CCV]
500,0.98,[CVCC]
500,1.0,[CCVC]
500,0.98,[CCVCC]
600,0.96,[V]
600,0.96,[VC]
600,1.0,[CV]
600,1.0,[VCC]
600,1.0,[CVC]
600,0.99,[CCV]
600,0.99,[CVCC]
600,0.97,[CCVC]
600,0.98,[CCVCC]
700,0.96,[V]
700,0.97,[VC]
700,1.0,[CV]
700,1.0,[VCC]
700,1.0,[CVC]
700,0.99,[CCV]
700,0.99,[CVCC]
700,0.98,[CCVC]
700,0.97,[CCVCC]
800,0.96,[V]
800,0.99,[VC]
800,1.0,[CV]
800,0.95,[VCC]
800,1.0,[CVC]
800,0.96,[CCV]
800,1.0,[CVCC]
800,0.99,[CCVC]
800,1.0,[CCVCC]
900,0.98,[V]
900,1.0,[VC]
900,1.0,[CV]
900,1.0,[VCC]
900,0.97,[CVC]
900,1.0,[CCV]
900,0.99,[CVCC]
900,0.98,[CCVC]
900,0.98,[CCVCC]
1000,0.971,[V]
1000,0.973,[VC]
1000,1.0,[CV]
1000,0.982,[VCC]
1000,0.992,[CVC]
1000,0.992,[CCV]
1000,0.996,[CVCC]
1000,0.99,[CCVC]
1000,0.99,[CCVCC]
