iterations,accuracy,syllable
0,0.27,[V]
0,0.17,[VC]
0,1.0,[CV]
0,0.06,[VCC]
0,0.38,[CVC]
0,0.41,[CCV]
0,0.18,[CVCC]
0,0.19,[CCVC]
0,0.09,[CCVCC]
100,0.43,[V]
100,0.33,[VC]
100,1.0,[CV]
100,0.16,[VCC]
100,0.73,[CVC]
100,0.7,[CCV]
100,0.53,[CVCC]
100,0.61,[CCVC]
100,0.42,[CCVCC]
200,0.69,[V]
200,0.67,[VC]
200,1.0,[CV]
200,0.62,[VCC]
200,0.92,[CVC]
200,0.94,[CCV]
200,0.86,[CVCC]
200,0.9,[CCVC]
200,0.88,[CCVCC]
300,0.76,[V]
300,0.71,[VC]
300,1.0,[CV]
300,0.73,[VCC]
300,0.91,[CVC]
300,1.0,[CCV]
300,0.95,[CVCC]
300,0.93,[CCVC]
300,0.93,[CCVCC]
400,0.81,[V]
400,0.69,[VC]
400,1.0,[CV]
400,0.7,[VCC]
400,0.99,[CVC]
400,1.0,[CCV]
400,0.99,[CVCC]
400,0.97,[CCVC]
400,0.94,[CCVCC]
500,0.82,[V]
500,0.76,[VC]
500,1.0,[CV]
500,0.84,[VCC]
500,0.97,[CVC]
500,0.96,[CCV]
500,0.96,[CVCC]
500,0.97,[CCVC]
500,0.99,[CCVCC]
600,0.74,[V]
600,0.78,[VC]
600,1.0,[CV]
600,0.78,[VCC]
600,1.0,[CVC]
600,1.0,[CCV]
600,0.98,[CVCC]
600,1.0,[CCVC]
600,0.95,[CCVCC]
700,0.79,[V]
700,0.81,[VC]
700,1.0,[CV]
700,0.75,[VCC]
700,0.98,[CVC]
700,0.98,[CCV]
700,0.99,[CVCC]
700,0.99,[CCVC]
700,0.96,[CCVCC]
800,0.87,[V]
800,0.88,[VC]
800,1.0,[CV]
800,0.74,[VCC]
800,1.0,[CVC]
800,1.0,[CCV]
800,0.98,[CVCC]
800,1.0,[CCVC]
800,0.98,[CCVCC]
900,0.84,[V]
900,0.86,[VC]
900,1.0,[CV]
900,0.83,[VCC]
900,0.99,[CVC]
900,1.0,[CCV]
900,0.97,[CVCC]
900,0.98,[CCVC]
900,0.99,[CCVCC]
1000,0.871,[V]
1000,0.85,[VC]
1000,1.0,[CV]
1000,0.844,[VCC]
1000,0.988,[CVC]
1000,0.995,[CCV]
1000,0.992,[CVCC]
1000,0.984,[CCVC]
1000,0.982,[CCVCC]
