iterations,accuracy,syllable
0,0.3,[V]
0,0.19,[VC]
0,1.0,[CV]
0,0.11,[VCC]
0,0.33,[CVC]
0,0.36,[CCV]
0,0.14,[CVCC]
0,0.16,[CCVC]
0,0.09,[CCVCC]
100,0.42,[V]
100,0.35,[VC]
100,1.0,[CV]
100,0.29,[VCC]
100,0.53,[CVC]
100,0.48,[CCV]
100,0.33,[CVCC]
100,0.33,[CCVC]
100,0.22,[CCVCC]
200,0.59,[V]
200,0.4,[VC]
200,1.0,[CV]
200,0.37,[VCC]
200,0.67,[CVC]
200,0.44,[CCV]
200,0.54,[CVCC]
200,0.47,[CCVC]
200,0.31,[CCVCC]
300,0.65,[V]
300,0.6,[VC]
300,1.0,[CV]
300,0.38,[VCC]
300,0.7,[CVC]
300,0.66,[CCV]
300,0.67,[CVCC]
300,0.65,[CCVC]
300,0.44,[CCVCC]
400,0.71,[V]
400,0.66,[VC]
400,1.0,[CV]
400,0.62,[VCC]
400,0.83,[CVC]
400,0.65,[CCV]
400,0.62,[CVCC]
400,0.61,[CCVC]
400,0.57,[CCVCC]
500,0.79,[V]
500,0.74,[VC]
500,1.0,[CV]
500,0.63,[VCC]
500,0.9,[CVC]
500,0.68,[CCV]
500,0.68,[CVCC]
500,0.61,[CCVC]
500,0.59,[CCVCC]
600,0.95,[V]
600,0.82,[VC]
600,1.0,[CV]
600,0.77,[VCC]
600,0.92,[CVC]
600,0.83,[CCV]
600,0.85,[CVCC]
600,0.74,[CCVC]
600,0.75,[CCVCC]
700,0.88,[V]
700,0.88,[VC]
700,1.0,[CV]
700,0.77,[VCC]
700,0.95,[CVC]
700,0.83,[CCV]
700,0.87,[CVCC]
700,0.81,[CCVC]
700,0.75,[CCVCC]
800,0.92,[V]
800,0.9,[VC]
800,1.0,[CV]
800,0.81,[VCC]
800,0.95,[CVC]
800,0.84,[CCV]
800,0.93,[CVCC]
800,0.82,[CCVC]
800,0.77,[CCVCC]
900,0.9,[V]
900,0.88,[VC]
900,1.0,[CV]
900,0.87,[VCC]
900,0.98,[CVC]
900,0.87,[CCV]
900,0.93,[CVCC]
900,0.9,[CCVC]
900,0.76,[CCVCC]
1000,0.921,[V]
1000,0.897,[VC]
1000,1.0,[CV]
1000,0.852,[VCC]
1000,0.969,[CVC]
1000,0.867,[CCV]
1000,0.893,[CVCC]
1000,0.859,[CCVC]
1000,0.828,[CCVCC]
