iterations,accuracy,syllable
0,0.3,[V]
0,0.17,[VC]
0,1.0,[CV]
0,0.17,[VCC]
0,0.34,[CVC]
0,0.39,[CCV]
0,0.22,[CVCC]
0,0.35,[CCVC]
0,0.14,[CCVCC]
100,0.83,[V]
100,0.77,[VC]
100,1.0,[CV]
100,0.79,[VCC]
100,0.89,[CVC]
100,0.93,[CCV]
100,0.88,[CVCC]
100,0.9,[CCVC]
100,0.76,[CCVCC]
200,0.86,[V]
200,0.89,[VC]
200,1.0,[CV]
200,0.96,[VCC]
200,0.98,[CVC]
200,1.0,[CCV]
200,0.95,[CVCC]
200,0.96,[CCVC]
200,0.88,[CCVCC]
300,0.83,[V]
300,0.94,[VC]
300,1.0,[CV]
300,0.96,[VCC]
300,0.97,[CVC]
300,0.98,[CCV]
300,0.94,[CVCC]
300,0.96,[CCVC]
300,0.9,[CCVCC]
400,0.92,[V]
400,0.94,[VC]
400,1.0,[CV]
400,0.94,[VCC]
400,0.98,[CVC]
400,0.99,[CCV]
400,0.97,[CVCC]
400,1.0,[CCVC]
400,0.95,[CCVCC]
500,0.89,[V]
500,0.9,[VC]
500,1.0,[CV]
500,0.95,[VCC]
500,0.97,[CVC]
500,0.99,[CCV]
500,0.97,[CVCC]
500,0.94,[CCVC]
500,0.95,[CCVCC]
600,0.94,[V]
600,0.95,[VC]
600,1.0,[CV]
600,0.96,[VCC]
600,0.99,[CVC]
600,0.98,[CCV]
600,0.99,[CVCC]
600,1.0,[CCVC]
600,0.96,[CCVCC]
700,0.97,[V]
700,0.96,[VC]
700,1.0,[CV]
700,0.93,[VCC]
700,0.98,[CVC]
700,0.97,[CCV]
700,0.99,[CVCC]
700,0.96,[CCVC]
700,0.97,[CCVCC]
800,0.94,[V]
800,0.98,[VC]
800,1.0,[CV]
800,0.99,[VCC]
800,1.0,[CVC]
800,1.0,[CCV]
800,1.0,[CVCC]
800,0.98,[CCVC]
800,0.98,[CCVCC]
900,0.94,[V]
900,0.99,[VC]
900,1.0,[CV]
900,0.99,[VCC]
900,0.99,[CVC]
900,1.0,[CCV]
900,1.0,[CVCC]
900,1.0,[CCVC]
900,0.98,[CCVCC]
1000,0.959,[V]
1000,0.971,[VC]
1000,1.0,[CV]
1000,0.982,[VCC]
1000,0.993,[CVC]
1000,0.992,[CCV]
1000,0.994,[CVCC]
1000,0.992,[CCVC]
1000,0.989,[CCVCC]
