iterations,accuracy,syllable
0,0.38,[V]
0,0.22,[VC]
0,1.0,[CV]
0,0.19,[VCC]
0,0.36,[CVC]
0,0.39,[CCV]
0,0.26,[CVCC]
0,0.28,[CCVC]
0,0.13,[CCVCC]
100,0.62,[V]
100,0.7,[VC]
100,1.0,[CV]
100,0.64,[VCC]
100,0.86,[CVC]
100,0.83,[CCV]
100,0.8,[CVCC]
100,0.84,[CCVC]
100,0.69,[CCVCC]
200,0.82,[V]
200,0.9,[VC]
200,1.0,[CV]
200,0.89,[VCC]
200,0.98,[CVC]
200,0.9,[CCV]
200,0.95,[CVCC]
200,0.88,[CCVC]
200,0.84,[CCVCC]
300,0.83,[V]
300,0.96,[VC]
300,1.0,[CV]
300,0.88,[VCC]
300,1.0,[CVC]
300,0.95,[CCV]
300,0.99,[CVCC]
300,0.94,[CCVC]
300,0.93,[CCVCC]
400,0.9,[V]
400,0.93,[VC]
400,1.0,[CV]
400,0.96,[VCC]
400,0.99,[CVC]
400,0.91,[CCV]
400,0.97,[CVCC]
400,0.94,[CCVC]
400,0.94,[CCVCC]
500,0.93,[V]
500,0.94,[VC]
500,1.0,[CV]
500,0.97,[VCC]
500,0.99,[CVC]
500,0.98,[CCV]
500,0.97,[CVCC]
500,0.97,[CCVC]
500,0.97,[CCVCC]
600,0.9,[V]
600,0.91,[VC]
600,1.0,[CV]
600,0.92,[VCC]
600,1.0,[CVC]
600,0.99,[CCV]
600,0.99,[CVCC]
600,0.99,[CCVC]
600,0.98,[CCVCC]
700,0.94,[V]
700,0.93,[VC]
700,1.0,[CV]
700,1.0,[VCC]
700,1.0,[CVC]
700,0.98,[CCV]
700,1.0,[CVCC]
700,1.0,[CCVC]
700,0.99,[CCVCC]
800,0.91,[V]
800,0.97,[VC]
800,1.0,[CV]
800,0.99,[VCC]
800,1.0,[CVC]
800,0.99,[CCV]
800,0.98,[CVCC]
800,0.98,[CCVC]
800,0.95,[CCVCC]
900,0.95,[V]
900,0.97,[VC]
900,1.0,[CV]
900,0.97,[VCC]
900,1.0,[CVC]
900,1.0,[CCV]
900,1.0,[CVCC]
900,0.98,[CCVC]
900,0.97,[CCVCC]
1000,0.944,[V]
1000,0.964,[VC]
1000,1.0,[CV]
1000,0.973,[VCC]
1000,0.995,[CVC]
1000,0.984,[CCV]
1000,0.996,[CVCC]
1000,0.987,[CCVC]
1000,0.983,[CCVCC]
