iterations,accuracy,syllable
0,0.37,[V]
0,0.16,[VC]
0,1.0,[CV]
0,0.1,[VCC]
0,0.47,[CVC]
0,0.36,[CCV]
0,0.18,[CVCC]
0,0.2,[CCVC]
0,0.15,[CCVCC]
100,0.66,[V]
100,0.66,[VC]
100,1.0,[CV]
100,0.73,[VCC]
100,0.91,[CVC]
100,0.91,[CCV]
100,0.74,[CVCC]
100,0.82,[CCVC]
100,0.76,[CCVCC]
200,0.74,[V]
200,0.71,[VC]
200,1.0,[CV]
200,0.69,[VCC]
200,0.98,[CVC]
200,0.95,[CCV]
200,0.97,[CVCC]
200,0.92,[CCVC]
200,0.91,[CCVCC]
300,0.8,[V]
300,0.83,[VC]
300,1.0,[CV]
300,0.72,[VCC]
300,0.97,[CVC]
300,0.95,[CCV]
300,1.0,[CVCC]
300,0.96,[CCVC]
300,0.94,[CCVCC]
400,0.81,[V]
400,0.81,[VC]
400,1.0,[CV]
400,0.8,[VCC]
400,0.99,[CVC]
400,0.99,[CCV]
400,0.97,[CVCC]
400,0.95,[CCVC]
400,0.97,[CCVCC]
500,0.9,[V]
500,0.85,[VC]
500,1.0,[CV]
500,0.82,[VCC]
500,0.99,[CVC]
500,0.99,[CCV]
500,1.0,[CVCC]
500,0.98,[CCVC]
500,0.98,[CCVCC]
600,0.91,[V]
600,0.88,[VC]
600,1.0,[CV]
600,0.83,[VCC]
600,0.99,[CVC]
600,1.0,[CCV]
600,0.97,[CVCC]
600,1.0,[CCVC]
600,0.99,[CCVCC]
700,0.92,[V]
700,0.9,[VC]
700,1.0,[CV]
700,0.84,[VCC]
700,0.98,[CVC]
700,1.0,[CCV]
700,0.99,[CVCC]
700,0.99,[CCVC]
700,0.99,[CCVCC]
800,0.92,[V]
800,0.91,[VC]
800,1.0,[CV]
800,0.86,[VCC]
800,1.0,[CVC]
800,1.0,[CCV]
800,1.0,[CVCC]
800,1.0,[CCVC]
800,0.98,[CCVCC]
900,0.87,[V]
900,0.95,[VC]
900,1.0,[CV]
900,0.92,[VCC]
900,1.0,[CVC]
900,1.0,[CCV]
900,1.0,[CVCC]
900,1.0,[CCVC]
900,0.99,[CCVCC]
1000,0.912,[V]
1000,0.909,[VC]
1000,1.0,[CV]
1000,0.905,[VCC]
1000,0.997,[CVC]
1000,0.999,[CCV]
1000,0.995,[CVCC]
1000,0.994,[CCVC]
1000,0.988,[CCVCC]
