iterations,accuracy,syllable
0,0.37,[V]
0,0.15,[VC]
0,1.0,[CV]
0,0.1,[VCC]
0,0.41,[CVC]
0,0.31,[CCV]
0,0.2,[CVCC]
0,0.17,[CCVC]
0,0.07,[CCVCC]
100,0.37,[V]
100,0.43,[VC]
100,1.0,[CV]
100,0.35,[VCC]
100,0.66,[CVC]
100,0.58,[CCV]
100,0.49,[CVCC]
100,0.51,[CCVC]
100,0.48,[CCVCC]
200,0.63,[V]
200,0.58,[VC]
200,1.0,[CV]
200,0.47,[VCC]
200,0.92,[CVC]
200,0.85,[CCV]
200,0.78,[CVCC]
200,0.77,[CCVC]
200,0.65,[CCVCC]
300,0.7,[V]
300,0.85,[VC]
300,1.0,[CV]
300,0.73,[VCC]
300,0.92,[CVC]
300,0.92,[CCV]
300,0.97,[CVCC]
300,0.89,[CCVC]
300,0.88,[CCVCC]
400,0.77,[V]
400,0.73,[VC]
400,1.0,[CV]
400,0.68,[VCC]
400,0.98,[CVC]
400,0.98,[CCV]
400,0.94,[CVCC]
400,0.96,[CCVC]
400,0.95,[CCVCC]
500,0.82,[V]
500,0.75,[VC]
500,1.0,[CV]
500,0.75,[VCC]
500,0.98,[CVC]
500,0.98,[CCV]
500,0.96,[CVCC]
500,0.96,[CCVC]
500,0.91,[CCVCC]
600,0.82,[V]
600,0.83,[VC]
600,1.0,[CV]
600,0.76,[VCC]
600,0.99,[CVC]
600,1.0,[CCV]
600,0.97,[CVCC]
600,0.91,[CCVC]
600,0.98,[CCVCC]
700,0.85,[V]
700,0.79,[VC]
700,1.0,[CV]
700,0.85,[VCC]
700,1.0,[CVC]
700,0.98,[CCV]
700,0.99,[CVCC]
700,0.97,[CCVC]
700,0.97,[CCVCC]
800,0.9,[V]
800,0.91,[VC]
800,1.0,[CV]
800,0.86,[VCC]
800,0.99,[CVC]
800,0.99,[CCV]
800,0.99,[CVCC]
800,1.0,[CCVC]
800,1.0,[CCVCC]
900,0.89,[V]
900,0.91,[VC]
900,1.0,[CV]
900,0.9,[VCC]
900,1.0,[CVC]
900,0.99,[CCV]
900,0.99,[CVCC]
900,1.0,[CCVC]
900,0.99,[CCVCC]
1000,0.896,[V]
1000,0.901,[VC]
1000,1.0,[CV]
1000,0.895,[VCC]
1000,0.997,[CVC]
1000,0.993,[CCV]
1000,0.993,[CVCC]
1000,0.989,[CCVC]
1000,0.993,[CCVCC]
